run,run_family,current_group,selected_pulses,unique_events,downstream_pulses,mean_event_selected_count,downstream_per_pulse
44,A,high_20nA,2038,1912,242,1.1658488714425908,0.11874386653581943
45,A,high_20nA,24333,23013,2467,1.1468787243660872,0.10138495047877367
46,A,low_2nA,687,677,20,1.0378457059679767,0.02911208151382824
47,B,low_2nA,5276,5161,240,1.0591357088703564,0.045489006823351025
48,A,high_20nA,14000,13185,1523,1.1568571428571428,0.10878571428571429
49,A,high_20nA,14815,13937,1648,1.160107998650017,0.11123860951738103
50,A,high_20nA,35217,34257,1814,1.0732032825056081,0.051509214299911975
51,A,high_20nA,14740,14295,845,1.0835820895522388,0.057327001356852106
52,B,high_20nA,7152,6933,405,1.087248322147651,0.05662751677852349
53,B,high_20nA,32200,31386,1541,1.0695652173913044,0.047857142857142855
54,B,high_20nA,30440,29665,1491,1.0691852825229962,0.04898160315374507
55,B,high_20nA,17387,16841,1025,1.0869615229769367,0.058952090642434
56,B,high_20nA,40148,38932,2266,1.0831423732190895,0.056441167679585534
57,B,high_20nA,13833,12939,1670,1.176534374322273,0.12072580062170173
