run_family,stratum,high_current,n
A,q0|downstream|dropout|not_lowered|A|B2,1,210
A,q0|downstream|dropout|not_lowered|A|B4,1,251
A,q0|downstream|dropout|not_lowered|A|B6,1,72
A,q0|downstream|dropout|not_lowered|A|B8,1,28
A,q0|downstream|nominal|lowered|A|B2,0,1
A,q0|downstream|nominal|lowered|A|B2,1,22
A,q0|downstream|nominal|not_lowered|A|B2,0,1
A,q0|downstream|nominal|not_lowered|A|B2,1,63
A,q0|downstream|nominal|not_lowered|A|B4,0,2
A,q0|downstream|nominal|not_lowered|A|B4,1,243
A,q0|downstream|nominal|not_lowered|A|B6,1,104
A,q0|downstream|nominal|not_lowered|A|B8,1,65
A,q0|downstream|saturation|not_lowered|A|B2,1,2
A,q0|downstream|saturation|not_lowered|A|B4,1,2
A,q0|downstream|tail|lowered|A|B2,0,1
A,q0|downstream|tail|lowered|A|B2,1,55
A,q0|downstream|tail|not_lowered|A|B2,1,158
A,q0|downstream|tail|not_lowered|A|B4,0,3
A,q0|downstream|tail|not_lowered|A|B4,1,593
A,q0|downstream|tail|not_lowered|A|B6,1,67
A,q0|downstream|tail|not_lowered|A|B8,1,88
A,q0|single|dropout|lowered|A|B2,1,1
A,q0|single|dropout|not_lowered|A|B2,0,24
A,q0|single|dropout|not_lowered|A|B2,1,5208
A,q0|single|nominal|lowered|A|B2,0,28
A,q0|single|nominal|lowered|A|B2,1,2071
A,q0|single|nominal|not_lowered|A|B2,0,81
A,q0|single|nominal|not_lowered|A|B2,1,6340
A,q0|single|saturation|lowered|A|B2,1,2
A,q0|single|saturation|not_lowered|A|B2,1,14
A,q0|single|tail|lowered|A|B2,0,1
A,q0|single|tail|lowered|A|B2,1,90
A,q0|single|tail|not_lowered|A|B2,0,1
A,q0|single|tail|not_lowered|A|B2,1,283
A,q0|three_plus|dropout|not_lowered|A|B2,1,88
A,q0|three_plus|dropout|not_lowered|A|B4,1,88
A,q0|three_plus|dropout|not_lowered|A|B6,1,60
A,q0|three_plus|dropout|not_lowered|A|B8,1,23
A,q0|three_plus|nominal|lowered|A|B2,1,8
A,q0|three_plus|nominal|not_lowered|A|B2,1,45
A,q0|three_plus|nominal|not_lowered|A|B4,0,1
A,q0|three_plus|nominal|not_lowered|A|B4,1,104
A,q0|three_plus|nominal|not_lowered|A|B6,0,1
A,q0|three_plus|nominal|not_lowered|A|B6,1,119
A,q0|three_plus|nominal|not_lowered|A|B8,1,23
A,q0|three_plus|saturation|not_lowered|A|B6,1,1
A,q0|three_plus|saturation|not_lowered|A|B8,1,1
A,q0|three_plus|tail|lowered|A|B2,1,39
A,q0|three_plus|tail|not_lowered|A|B2,1,103
A,q0|three_plus|tail|not_lowered|A|B4,1,381
A,q0|three_plus|tail|not_lowered|A|B6,1,374
A,q0|three_plus|tail|not_lowered|A|B8,1,93
A,q1|downstream|dropout|not_lowered|A|B2,1,20
A,q1|downstream|dropout|not_lowered|A|B4,1,17
A,q1|downstream|dropout|not_lowered|A|B6,1,2
A,q1|downstream|nominal|lowered|A|B2,1,72
A,q1|downstream|nominal|not_lowered|A|B2,0,1
