run,run_family,current_group,stave,selected_pulses
44,A,high_20nA,B2,1884
44,A,high_20nA,B4,93
44,A,high_20nA,B6,44
44,A,high_20nA,B8,17
45,A,high_20nA,B2,22786
45,A,high_20nA,B4,969
45,A,high_20nA,B6,401
45,A,high_20nA,B8,177
46,A,low_2nA,B2,675
46,A,low_2nA,B4,7
46,A,low_2nA,B6,3
46,A,low_2nA,B8,2
47,B,low_2nA,B2,5116
47,B,low_2nA,B4,85
47,B,low_2nA,B6,50
47,B,low_2nA,B8,25
48,A,high_20nA,B2,13044
48,A,high_20nA,B4,599
48,A,high_20nA,B6,245
48,A,high_20nA,B8,112
49,A,high_20nA,B2,13779
49,A,high_20nA,B4,640
49,A,high_20nA,B6,281
49,A,high_20nA,B8,115
50,A,high_20nA,B2,34088
50,A,high_20nA,B4,659
50,A,high_20nA,B6,330
50,A,high_20nA,B8,140
51,A,high_20nA,B2,14200
51,A,high_20nA,B4,303
51,A,high_20nA,B6,177
51,A,high_20nA,B8,60
52,B,high_20nA,B2,6893
52,B,high_20nA,B4,148
52,B,high_20nA,B6,76
52,B,high_20nA,B8,35
53,B,high_20nA,B2,31225
53,B,high_20nA,B4,559
53,B,high_20nA,B6,296
53,B,high_20nA,B8,120
54,B,high_20nA,B2,29493
54,B,high_20nA,B4,536
54,B,high_20nA,B6,298
54,B,high_20nA,B8,113
55,B,high_20nA,B2,16735
55,B,high_20nA,B4,372
55,B,high_20nA,B6,199
55,B,high_20nA,B8,81
56,B,high_20nA,B2,38730
56,B,high_20nA,B4,825
56,B,high_20nA,B6,421
56,B,high_20nA,B8,172
57,B,high_20nA,B2,12774
57,B,high_20nA,B4,656
57,B,high_20nA,B6,273
57,B,high_20nA,B8,130
