run,eventno,stave,run_family,current_group,high_current,downstream_event,event_selected_count,fold,traditional_stratum_score,residualized_cwola_score,nuisance_only_score,shuffled_label_score
47,55423,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.4639971149484885,0.5,0.5063895774513352
54,261871,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.4990878736966642,0.5,0.5411843226050361
56,307661,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5406531854728288,0.5,0.5578379397414632
47,61389,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.39529283037240187,0.5,0.484780232326583
57,376059,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.49030472230254957,0.5,0.5297024812296868
47,55550,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.5002680018039284,0.5,0.5855252583783371
57,373912,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5595922116527622,0.5,0.5107875658286464
56,312936,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5134798086820055,0.5,0.35749766680921014
53,231368,B6,B,high_20nA,1,1,4,holdout_family_B,0.5,0.5513524527036258,0.5,0.47016210426675664
55,292448,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.4349616693335565,0.5,0.5057590899054799
54,259392,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5352382528411775,0.5,0.5114722084635995
56,309564,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.524154509317069,0.5,0.528085521345041
55,301158,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5913496065865687,0.5,0.3979977545588218
56,333929,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.4821887630902498,0.5,0.5667741589725099
56,354524,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.3958033020851115,0.5,0.4986911586914642
57,388101,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5823940275671556,0.5,0.5392682672649218
54,244094,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.46218427934724016,0.5,0.4620542986137704
47,62911,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.4843540702690852,0.5,0.5710985686922514
47,60157,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.5115291245235342,0.5,0.5348537260661754
57,374583,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5476278568871754,0.5,0.5147089266124356
47,63416,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.5294106489644781,0.5,0.5078681935882263
56,306880,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5286521691664215,0.5,0.49481724906235935
47,61887,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.5654404671531142,0.5,0.446630337126951
47,58727,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.4719721512454586,0.5,0.5396591237415103
52,200762,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.4969156710680276,0.5,0.5189910558616488
53,234362,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5423910207142898,0.5,0.4898320687032692
57,379315,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5511047511581538,0.5,0.571437456609626
52,197360,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.48130865786239546,0.5,0.5294121766356646
47,57475,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.39495758810473297,0.5,0.44037528369014095
53,227820,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5693853877795079,0.5,0.44844220944287777
57,366789,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5198811117204025,0.5,0.5316111248853836
47,58817,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.428058329870246,0.5,0.5021252940205247
53,206432,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5131012908966043,0.5,0.4533037111915617
55,294840,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.46591522166545457,0.5,0.5170648387648215
47,54543,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.546949746329393,0.5,0.5003877298828179
54,270703,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.6586962138432799,0.5,0.45513284075758176
54,245861,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5283757876013189,0.5,0.4356867662328335
57,384800,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.6257692216778158,0.5,0.5824165653470733
54,248065,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5064717983016501,0.5,0.5064258075952487
53,213316,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.4669418153354484,0.5,0.4674501937455976
55,300126,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.4262604784230366,0.5,0.40799512037079366
56,354773,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.4486654802988068,0.5,0.5082394388921563
47,59475,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.4963368958067811,0.5,0.4666913799104983
55,288972,B4,B,high_20nA,1,1,3,holdout_family_B,0.5,0.5085074089017593,0.5,0.4693178468686458
56,338020,B4,B,high_20nA,1,1,2,holdout_family_B,0.5,0.4100688382105497,0.5,0.46871520395351174
47,64023,B6,B,low_2nA,0,1,4,holdout_family_B,0.5,0.553000802206978,0.5,0.5066257463294803
47,57183,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.5468447556050445,0.5,0.5084415544214379
56,311659,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.6568012802157156,0.5,0.5840093004690553
53,207104,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.47349393234417364,0.5,0.5075475560027578
57,378821,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.48283455495404776,0.5,0.43711960711243686
54,247822,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.4664203844570194,0.5,0.4346503047990577
53,241667,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.44684316581487193,0.5,0.5366351351172488
52,195012,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.48998771678327274,0.5,0.4953418361276268
47,61710,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.4565257860246876,0.5,0.5150059673687979
47,58286,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.5573521069796058,0.5,0.5760045171161651
57,372035,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.6793675237195913,0.5,0.44492587229844566
54,280239,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.645925745512853,0.5,0.5152777715361445
47,62262,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.5321665228914156,0.5,0.5184811959083534
56,341851,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.4367682013809706,0.5,0.4438172955201024
56,348011,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5819016149145317,0.5,0.4459646300894477
54,260079,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.4997883759362303,0.5,0.5122363298387109
53,216039,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5605530202810187,0.5,0.49956901912824264
53,220755,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5871233659474973,0.5,0.5815857586202541
55,282092,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5199293420301249,0.5,0.5343531493179922
53,235515,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.49364982962043147,0.5,0.5165652908980508
55,305153,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.41839753900437265,0.5,0.5372485445158304
56,333881,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.4628143346461606,0.5,0.5067426082770179
57,376591,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5085148571943625,0.5,0.5248399495458456
56,343027,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.3784822286625687,0.5,0.4460853759935786
52,196957,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.484241536649439,0.5,0.5513534418796273
56,344352,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.48879461163866483,0.5,0.45883631373413
56,357111,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.44425061723438003,0.5,0.5247158968171647
57,388471,B8,B,high_20nA,1,1,4,holdout_family_B,0.5,0.4833823348223621,0.5,0.48759458305838055
47,61068,B4,B,low_2nA,0,1,2,holdout_family_B,0.5,0.4131461976097775,0.5,0.47057083157135615
47,54462,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.47573359633931483,0.5,0.5396784063316787
47,62857,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.5518671762438687,0.5,0.5652398259070699
53,224985,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.49886899990001116,0.5,0.5231495812446852
47,55444,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.467579876922338,0.5,0.38894575788702973
53,210885,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5687336061302269,0.5,0.4954915557897515
53,232885,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5784743728392158,0.5,0.5756055467096327
53,238173,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5510273334283022,0.5,0.5071025448044905
54,247734,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.45741444920977004,0.5,0.5186196541633569
56,312052,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.6696695170339617,0.5,0.5229866163454723
47,55321,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.6660215669970518,0.5,0.4740944191053938
47,59579,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.4133214974543029,0.5,0.5272955105079685
56,349463,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.4474415385691423,0.5,0.516590472219227
47,54284,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.5460698352385402,0.5,0.5146324401272743
52,201688,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.529767168268597,0.5,0.5987453871030506
57,380238,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.4936709536529565,0.5,0.5501881906930789
55,286611,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.4797050071585535,0.5,0.511930420877718
47,62508,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.4655640504323552,0.5,0.56022781753417
47,61230,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.4692863044793471,0.5,0.5166141837581952
55,288226,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5223345100948898,0.5,0.5737098844959074
55,302189,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.48671214410217895,0.5,0.5165713799702705
56,342093,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.37269502117609843,0.5,0.4784853273418401
47,62187,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.4450341298058846,0.5,0.5154246919736507
47,62129,B2,B,low_2nA,0,1,2,holdout_family_B,0.5,0.49806285095373504,0.5,0.4953212206116396
54,246441,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.44500763291520506,0.5,0.5710207205315068
55,291320,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5283683423896519,0.5,0.49996684213724785
47,55401,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.39334553518749354,0.5,0.5422979954038609
54,274617,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5385028966059902,0.5,0.558546174752658
47,63960,B8,B,low_2nA,0,1,4,holdout_family_B,0.5,0.5329010244103873,0.5,0.5276571151481705
52,196803,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.6290515631459268,0.5,0.5790313067848756
57,385692,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.4569276011803491,0.5,0.39612306020753935
56,350256,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5228807505849754,0.5,0.5481410790259829
53,208039,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.4626700095601483,0.5,0.5275224202561416
47,59682,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.4379976655726893,0.5,0.5330086263809223
57,372079,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.413909457760616,0.5,0.5042744997094013
55,288496,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.4563436237187028,0.5,0.5242988949164551
54,262328,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5012631251615699,0.5,0.5056442034921658
52,200173,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5687315793658673,0.5,0.5047840145941251
57,382580,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.6035826051122368,0.5,0.5427749222955001
47,54860,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.4518790833767186,0.5,0.5409158294112445
47,55434,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.5208089447337533,0.5,0.5137331008389514
56,350028,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.44239327047626226,0.5,0.5155532925162485
57,380208,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.6661062988676152,0.5,0.45195198364611966
47,61231,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.6282592131816999,0.5,0.5682135349435821
52,202542,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.4782664834622692,0.5,0.46371338304116205
55,299167,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.4790295508642952,0.5,0.4122229457176981
56,354165,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5270259886981746,0.5,0.4969213504073564
47,63846,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.6380437868839737,0.5,0.5182598414485182
54,280127,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.5122568416314232,0.5,0.5204818558817565
47,55837,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.4127005686482159,0.5,0.5258928290549606
47,64472,B2,B,low_2nA,0,0,1,holdout_family_B,0.5,0.39799295495823134,0.5,0.45606729279154223
56,324202,B2,B,high_20nA,1,0,1,holdout_family_B,0.5,0.47695600623543116,0.5,0.534885864408469
