charge_bin,topology_bin,anomaly_taxon,lowering_bin,run_family,stave,high_current,n
q0,downstream,dropout,not_lowered,A,B2,1,210
q0,downstream,dropout,not_lowered,A,B4,1,251
q0,downstream,dropout,not_lowered,A,B6,1,72
q0,downstream,dropout,not_lowered,A,B8,1,28
q0,downstream,dropout,not_lowered,B,B2,0,10
q0,downstream,dropout,not_lowered,B,B2,1,108
q0,downstream,dropout,not_lowered,B,B4,0,6
q0,downstream,dropout,not_lowered,B,B4,1,196
q0,downstream,dropout,not_lowered,B,B6,0,3
q0,downstream,dropout,not_lowered,B,B6,1,60
q0,downstream,dropout,not_lowered,B,B8,0,1
q0,downstream,dropout,not_lowered,B,B8,1,27
q0,downstream,nominal,lowered,A,B2,0,1
q0,downstream,nominal,lowered,A,B2,1,22
q0,downstream,nominal,lowered,B,B2,0,2
q0,downstream,nominal,lowered,B,B2,1,18
q0,downstream,nominal,not_lowered,A,B2,0,1
q0,downstream,nominal,not_lowered,A,B2,1,63
q0,downstream,nominal,not_lowered,A,B4,0,2
q0,downstream,nominal,not_lowered,A,B4,1,243
q0,downstream,nominal,not_lowered,A,B6,1,104
q0,downstream,nominal,not_lowered,A,B8,1,65
q0,downstream,nominal,not_lowered,B,B2,0,3
q0,downstream,nominal,not_lowered,B,B2,1,40
q0,downstream,nominal,not_lowered,B,B4,0,18
q0,downstream,nominal,not_lowered,B,B4,1,190
q0,downstream,nominal,not_lowered,B,B6,0,14
q0,downstream,nominal,not_lowered,B,B6,1,90
q0,downstream,nominal,not_lowered,B,B8,0,11
q0,downstream,nominal,not_lowered,B,B8,1,81
q0,downstream,saturation,not_lowered,A,B2,1,2
q0,downstream,saturation,not_lowered,A,B4,1,2
q0,downstream,saturation,not_lowered,B,B2,0,1
q0,downstream,saturation,not_lowered,B,B2,1,1
q0,downstream,saturation,not_lowered,B,B4,1,1
q0,downstream,tail,lowered,A,B2,0,1
q0,downstream,tail,lowered,A,B2,1,55
q0,downstream,tail,lowered,B,B2,0,1
q0,downstream,tail,lowered,B,B2,1,56
q0,downstream,tail,not_lowered,A,B2,1,158
q0,downstream,tail,not_lowered,A,B4,0,3
q0,downstream,tail,not_lowered,A,B4,1,593
q0,downstream,tail,not_lowered,A,B6,1,67
q0,downstream,tail,not_lowered,A,B8,1,88
q0,downstream,tail,not_lowered,B,B2,0,4
q0,downstream,tail,not_lowered,B,B2,1,110
q0,downstream,tail,not_lowered,B,B4,0,10
q0,downstream,tail,not_lowered,B,B4,1,626
q0,downstream,tail,not_lowered,B,B6,0,1
q0,downstream,tail,not_lowered,B,B6,1,62
q0,downstream,tail,not_lowered,B,B8,0,2
q0,downstream,tail,not_lowered,B,B8,1,87
q0,single,dropout,lowered,A,B2,1,1
q0,single,dropout,not_lowered,A,B2,0,24
q0,single,dropout,not_lowered,A,B2,1,5208
q0,single,dropout,not_lowered,B,B2,0,153
q0,single,dropout,not_lowered,B,B2,1,3472
q0,single,nominal,lowered,A,B2,0,28
q0,single,nominal,lowered,A,B2,1,2071
q0,single,nominal,lowered,B,B2,0,211
q0,single,nominal,lowered,B,B2,1,1825
q0,single,nominal,not_lowered,A,B2,0,81
q0,single,nominal,not_lowered,A,B2,1,6340
q0,single,nominal,not_lowered,B,B2,0,523
q0,single,nominal,not_lowered,B,B2,1,3901
q0,single,saturation,lowered,A,B2,1,2
q0,single,saturation,lowered,B,B2,1,4
q0,single,saturation,not_lowered,A,B2,1,14
q0,single,saturation,not_lowered,B,B2,1,18
q0,single,tail,lowered,A,B2,0,1
q0,single,tail,lowered,A,B2,1,90
q0,single,tail,lowered,B,B2,0,1
q0,single,tail,lowered,B,B2,1,71
q0,single,tail,not_lowered,A,B2,0,1
q0,single,tail,not_lowered,A,B2,1,283
