method,s17b_truth_res68_frac,s14g_data_only_res68_frac,delta_res68_frac,s17b_truth_bias_frac,s14g_data_only_bias_frac,delta_bias_frac
geant4_birks_lookup,0.040243978309137673,0.040247678,-3.6996908623285196e-06,-0.02309863561869246,-0.0231054174,6.781781307540341e-06
gradient_boosted_trees,0.056684632176214236,0.0580915061,-0.001406873923785766,-0.01673558721036294,-0.0167978973,6.231008963706111e-05
physics_residual_mlp,0.0586801621140033,0.058682585,-2.4228859967015404e-06,-0.014574435323059211,-0.0145969604,2.2525076940787744e-05
ridge,0.09667293554037164,0.0966917384,-1.8802859628366808e-05,-0.023572945894808656,-0.0236552039,8.22580051913456e-05
1d_cnn,0.2657039478238139,0.1077539773,0.1579499705238139,-0.1777390561183705,-6.5609e-05,-0.1776734471183705
old_power_law,0.46235791884618826,0.462323774,3.4144846188244315e-05,-0.2976286420901741,-0.2976044988,-2.4143290174083454e-05
mlp,0.6923472493440915,0.1832730998,0.5090741495440916,-0.5826860883867211,0.0205958663,-0.6032819546867211
