stave_idx,stave,truth_layer_id,train_pulses,median_odd_charge_adc_sample,q16_odd_charge_adc_sample,q84_odd_charge_adc_sample,truth_expected_edep_mev,truth_dedx_mev_cm,birks_predicted_charge_adc_sample,median_charge_over_truth_mev
0,B2,0,249681,50970.0,19389.0,63982.0,18.61489544732408,2.5601601932110523,49763.00000000001,2738.129802782589
1,B4,2,8436,19021.0,7501.200000000001,33609.4,14.90077672435054,2.1823383178270546,39834.08632254492,1276.5106377922084
2,B6,4,3703,16890.0,7514.32,30055.679999999997,17.951007600120665,1.7048705425738218,47988.23575091406,940.8942593220487
3,B8,6,1447,16691.0,7487.12,31987.92,19.762295884681993,2.1581776046509535,52830.333261463464,844.5881033962964
