feature_set,alpha,fold,sigma68_ns,n_pair_residuals
amp_poly,0.0,1,3.670313020507521,630
amp_poly,0.0,2,2.56385495950038,654
amp_poly,0.0,3,2.5792467672023327,558
amp_poly,0.0,4,2.686586530133281,618
amp_poly,0.0,-1,2.875000319335879,0
amp_poly,0.01,1,3.670258328224529,630
amp_poly,0.01,2,2.5637487136656256,654
amp_poly,0.01,3,2.5791898177647328,558
amp_poly,0.01,4,2.6865285540163297,618
amp_poly,0.01,-1,2.8749313534178045,0
amp_poly,0.1,1,3.6697679691110454,630
amp_poly,0.1,2,2.5623320867059616,654
amp_poly,0.1,3,2.5786795083339635,558
amp_poly,0.1,4,2.686009069886982,618
amp_poly,0.1,-1,2.874197158509488,0
amp_poly,1.0,1,3.665041810125309,630
amp_poly,1.0,2,2.556734375025939,654
amp_poly,1.0,3,2.573719165390724,558
amp_poly,1.0,4,2.6782984566444923,618
amp_poly,1.0,-1,2.868448451796616,0
amp_poly,10.0,1,3.63849742286883,630
amp_poly,10.0,2,2.499421578812901,654
amp_poly,10.0,3,2.517194927382167,558
amp_poly,10.0,4,2.646969049778114,618
amp_poly,10.0,-1,2.825520744710503,0
amp_poly,100.0,1,3.5864111939465455,630
amp_poly,100.0,2,2.36908975820663,654
amp_poly,100.0,3,2.372108183936178,558
amp_poly,100.0,4,2.5499433620697642,618
amp_poly,100.0,-1,2.7193881245397797,0
amp_poly_by_stave,0.0,1,3.7520487387138237,630
amp_poly_by_stave,0.0,2,3.458357873031631,654
amp_poly_by_stave,0.0,3,3.0059883367214257,558
amp_poly_by_stave,0.0,4,3.416016986688384,618
amp_poly_by_stave,0.0,-1,3.408102983788816,0
amp_poly_by_stave,0.01,1,3.752001941387717,630
amp_poly_by_stave,0.01,2,3.458214086227498,654
amp_poly_by_stave,0.01,3,3.005761738705338,558
amp_poly_by_stave,0.01,4,3.415961748323288,618
amp_poly_by_stave,0.01,-1,3.40798487866096,0
amp_poly_by_stave,0.1,1,3.7515806121450317,630
amp_poly_by_stave,0.1,2,3.456922276866577,654
amp_poly_by_stave,0.1,3,3.0037258784760397,558
amp_poly_by_stave,0.1,4,3.415888609102072,618
amp_poly_by_stave,0.1,-1,3.40702934414743,0
amp_poly_by_stave,1.0,1,3.7442435310548476,630
amp_poly_by_stave,1.0,2,3.444219162131221,654
amp_poly_by_stave,1.0,3,2.9890201919709773,558
amp_poly_by_stave,1.0,4,3.4150989814373665,618
amp_poly_by_stave,1.0,-1,3.398145466648603,0
amp_poly_by_stave,10.0,1,3.6758715934801827,630
amp_poly_by_stave,10.0,2,3.377810808156711,654
amp_poly_by_stave,10.0,3,2.9305739371312756,558
amp_poly_by_stave,10.0,4,3.3592721831390144,618
amp_poly_by_stave,10.0,-1,3.335882130476796,0
amp_poly_by_stave,100.0,1,3.5050240447685095,630
amp_poly_by_stave,100.0,2,2.98061106400821,654
amp_poly_by_stave,100.0,3,2.901218570878216,558
amp_poly_by_stave,100.0,4,3.223753834428175,618
amp_poly_by_stave,100.0,-1,3.1526518785207776,0
amp_bin_by_stave,0.0,1,3.2444862542252375,630
amp_bin_by_stave,0.0,2,2.6264676972696384,654
amp_bin_by_stave,0.0,3,2.5439645748660964,558
amp_bin_by_stave,0.0,4,2.322817828203145,618
amp_bin_by_stave,0.0,-1,2.684434088641029,0
amp_bin_by_stave,0.01,1,3.2445066126311164,630
amp_bin_by_stave,0.01,2,2.626433058086172,654
amp_bin_by_stave,0.01,3,2.543442017939241,558
amp_bin_by_stave,0.01,4,2.3228121079684265,618
amp_bin_by_stave,0.01,-1,2.684298449156239,0
amp_bin_by_stave,0.1,1,3.244689685257212,630
amp_bin_by_stave,0.1,2,2.6261214393556456,654
amp_bin_by_stave,0.1,3,2.5389029224965802,558
amp_bin_by_stave,0.1,4,2.3227606216068195,618
amp_bin_by_stave,0.1,-1,2.6831186671790643,0
amp_bin_by_stave,1.0,1,3.2465053734715528,630
amp_bin_by_stave,1.0,2,2.6230184110107526,654
amp_bin_by_stave,1.0,3,2.5258696165577863,558
amp_bin_by_stave,1.0,4,2.3210473689384465,618
amp_bin_by_stave,1.0,-1,2.6791101924946346,0
amp_bin_by_stave,10.0,1,3.2473508437120033,630
amp_bin_by_stave,10.0,2,2.617366814583531,654
amp_bin_by_stave,10.0,3,2.4898365910431304,558
amp_bin_by_stave,10.0,4,2.331847383815793,618
amp_bin_by_stave,10.0,-1,2.6716004082886147,0
amp_bin_by_stave,100.0,1,3.174501557451188,630
amp_bin_by_stave,100.0,2,2.5416540768415206,654
amp_bin_by_stave,100.0,3,2.462711504977334,558
amp_bin_by_stave,100.0,4,2.4153279068083195,618
amp_bin_by_stave,100.0,-1,2.6485487615195904,0
