label,base_method,feature,coefficient_ns_per_raw_unit,standardized_coefficient_ns,heldout_run
analytic_template_phase,template_phase,stave_B4,-4.2190059226054615,-1.9888584651603254,58
analytic_template_phase,template_phase,stave_B6,2.4309784083477277,1.14597421164049,58
analytic_template_phase,template_phase,stave_B8,1.7880275142601756,0.8428842535209862,58
analytic_template_phase,template_phase,log_amp,-2.5746586533136875,-0.8449228881837207,58
analytic_template_phase,template_phase,inv_amp_1000,-4.634330634470754,-0.642728749154338,58
analytic_template_phase,template_phase,inv_sqrt_amp_1000,-0.606075447556517,-0.06325029483360833,58
analytic_template_window_3_6,template_window_3_6,stave_B4,-4.643667757535435,-2.189045973953727,58
analytic_template_window_3_6,template_window_3_6,stave_B6,2.4577589834605202,1.158598695818044,58
analytic_template_window_3_6,template_window_3_6,stave_B8,2.18590877407753,1.0304472781369156,58
analytic_template_window_3_6,template_window_3_6,log_amp,-3.7746711131856587,-1.2387296524887772,58
analytic_template_window_3_6,template_window_3_6,inv_amp_1000,-6.8388640364074424,-0.9484723629907164,58
analytic_template_window_3_6,template_window_3_6,inv_sqrt_amp_1000,1.368617804042295,0.14282954369658485,58
analytic_template_mask_no_3_6,template_mask_no_3_6,stave_B4,-4.971233200539227,-2.3434618046406293,58
analytic_template_mask_no_3_6,template_mask_no_3_6,stave_B6,2.605963592729634,1.2284630186295717,58
analytic_template_mask_no_3_6,template_mask_no_3_6,stave_B8,2.3652696078107107,1.1149987860115844,58
analytic_template_mask_no_3_6,template_mask_no_3_6,log_amp,0.4666086501799813,0.1531264456568501,58
analytic_template_mask_no_3_6,template_mask_no_3_6,inv_amp_1000,0.03264346382760716,0.004527275744618698,58
analytic_template_mask_no_3_6,template_mask_no_3_6,inv_sqrt_amp_1000,-3.4742452377665822,-0.36257372988616976,58
analytic_cfd20_mask_no_3_6,cfd20_mask_no_3_6,stave_B4,-5.121226657834405,-2.414169398498652,58
analytic_cfd20_mask_no_3_6,cfd20_mask_no_3_6,stave_B6,3.3193958931316745,1.5647782303174345,58
analytic_cfd20_mask_no_3_6,cfd20_mask_no_3_6,stave_B8,1.8018307647037777,0.849391168181711,58
analytic_cfd20_mask_no_3_6,cfd20_mask_no_3_6,log_amp,-1.2428392553856327,-0.4078611865137964,58
analytic_cfd20_mask_no_3_6,cfd20_mask_no_3_6,inv_amp_1000,-2.978833964925482,-0.41313026178453915,58
analytic_cfd20_mask_no_3_6,cfd20_mask_no_3_6,inv_sqrt_amp_1000,-1.8002301285813815,-0.1878727918449444,58
analytic_template_phase,template_phase,stave_B4,-4.106963471311558,-1.936041147099769,59
analytic_template_phase,template_phase,stave_B6,2.44753029944447,1.1537768479310744,59
analytic_template_phase,template_phase,stave_B8,1.6594331718670463,0.7822642991686749,59
analytic_template_phase,template_phase,log_amp,-2.418673654316402,-0.7885954056832682,59
analytic_template_phase,template_phase,inv_amp_1000,-4.604614139438964,-0.6292847313812585,59
analytic_template_phase,template_phase,inv_sqrt_amp_1000,-0.4453471429772422,-0.045962102027625844,59
analytic_template_window_3_6,template_window_3_6,stave_B4,-4.556276248871078,-2.1478492216904876,59
analytic_template_window_3_6,template_window_3_6,stave_B6,2.452413771665321,1.1560789388131407,59
analytic_template_window_3_6,template_window_3_6,stave_B8,2.1038624772057317,0.991770282877335,59
analytic_template_window_3_6,template_window_3_6,log_amp,-3.518232305351897,-1.1471005305637707,59
analytic_template_window_3_6,template_window_3_6,inv_amp_1000,-6.469293072122839,-0.8841191096228271,59
analytic_template_window_3_6,template_window_3_6,inv_sqrt_amp_1000,1.3941080894576832,0.1438790823195355,59
