method,family,baseline,n_events,n_pair_residuals,sigma68_ns,full_rms_ns,abs_residual_p95_ns,tail_frac_vs_traditional_p95,ci_low,ci_high,delta_vs_traditional_ns,delta_ci_low,delta_ci_high,heldout_run,train_runs
cnn_window_3_6,ml,analytic_template_phase,73,219,0.7592387858464792,2.5415816322726554,2.536702357964613,0.0365296803652968,0.5903020581172306,0.9960994953034593,-0.4282445787274375,-0.6058862330445729,-0.25671109922033425,58,"59,60,61,62,63,65"
mlp_no_window_3_6,ml,analytic_template_phase,73,219,0.9166160202158583,2.391453230226579,2.8150876760136954,0.0319634703196347,0.8048945005500421,1.1025795551442312,-0.27086734435805837,-0.4484551393862216,-0.10550893350099141,58,"59,60,61,62,63,65"
cnn_no_window_3_6,ml,analytic_template_phase,73,219,1.0601594217966306,2.701348741557111,3.080676486670104,0.0365296803652968,0.9768708297534476,1.1696391559579085,-0.1273239427772861,-0.334684781058985,-0.030126533901547556,58,"59,60,61,62,63,65"
analytic_template_phase,traditional,analytic_template_phase,73,219,1.1874833645739167,2.677930132419911,3.676164190705748,0.0502283105022831,1.1349651983677151,1.407457312724681,0.0,0.0,0.0,58,"59,60,61,62,63,65"
mlp_window_3_6,ml,analytic_template_phase,73,219,1.2336666250979178,2.596862952882858,2.948420151937782,0.0319634703196347,1.182742093773727,1.352881375168736,0.046183260524001124,-0.17946179036039367,0.16949581223476193,58,"59,60,61,62,63,65"
analytic_template_window_3_6,traditional,analytic_template_phase,73,219,1.576640385818073,2.0560137580506086,3.8544427788959856,0.0547945205479452,1.403544415778084,1.7816098480609928,0.3891570212441564,0.18986476097314606,0.5121646783133562,58,"59,60,61,62,63,65"
analytic_cfd20_mask_no_3_6,traditional,analytic_template_phase,73,219,2.314830438204661,6.921422385429135,28.657520433080663,0.3607305936073059,2.297710121535275,2.3667591226273488,1.1273470736307445,0.9200582091732963,1.1954327910333644,58,"59,60,61,62,63,65"
analytic_template_mask_no_3_6,traditional,analytic_template_phase,73,219,2.5288751582328133,6.121834024354955,9.631141412256703,0.1552511415525114,2.0973924591136313,3.6304327944890535,1.3413917936588966,0.8707646141922109,2.4260348376802865,58,"59,60,61,62,63,65"
template_phase_uncorrected,traditional,analytic_template_phase,73,219,2.6428031039120548,3.5439701583551564,5.5656373225344895,0.3059360730593607,2.6428031039120548,2.7731729385950494,1.455319739338138,1.261102174136353,1.5955702023457699,58,"59,60,61,62,63,65"
cnn_window_3_6,ml,analytic_template_phase,763,2289,1.092210420085909,2.360479599449084,2.977326755949911,0.031891655744866756,1.0412208087382813,1.2191606828619503,-0.3664977102628275,-0.4240722021863411,-0.23867515865773645,59,"58,60,61,62,63,65"
mlp_no_window_3_6,ml,analytic_template_phase,763,2289,1.1611782227857508,2.414914367647589,2.851468638715952,0.025338575797291395,1.0936135201994737,1.2429644390447168,-0.2975299075629858,-0.3882685384435848,-0.19512369022217432,59,"58,60,61,62,63,65"
cnn_no_window_3_6,ml,analytic_template_phase,763,2289,1.2819629234741932,2.4101890949846223,3.0937589829780707,0.03713411970292704,1.2396566958860393,1.3238220937722858,-0.17674520687454343,-0.2589148728805965,-0.10283471706871926,59,"58,60,61,62,63,65"
mlp_window_3_6,ml,analytic_template_phase,763,2289,1.287793208408195,2.353184881029161,3.034427515847956,0.03407601572739188,1.2289402193826402,1.346068389282443,-0.1709149219405417,-0.255999336690824,-0.08525422463907861,59,"58,60,61,62,63,65"
analytic_template_phase,traditional,analytic_template_phase,763,2289,1.4587081303487366,2.5401850621944355,3.451524941332821,0.05024027959807777,1.3888122364549478,1.5303025571559161,0.0,0.0,0.0,59,"58,60,61,62,63,65"
analytic_template_window_3_6,traditional,analytic_template_phase,763,2289,1.617670054365521,2.61883030868717,3.549760111643089,0.05329838357361293,1.5516375209313062,1.662632279501383,0.15896192401678433,0.0839479359596478,0.22287802615193184,59,"58,60,61,62,63,65"
analytic_template_mask_no_3_6,traditional,analytic_template_phase,763,2289,2.197843833173596,3.1356171227635756,6.363075956813394,0.14416775884665792,2.0530281568213704,2.333411359898118,0.7391357028248595,0.5718166029416454,0.9004346068650637,59,"58,60,61,62,63,65"
analytic_cfd20_mask_no_3_6,traditional,analytic_template_phase,763,2289,2.284488896609886,6.4502408487967475,4.479755443584882,0.3722149410222805,2.278332104299449,2.2905765046458866,0.8257807662611494,0.7520729575149078,0.8964984745971434,59,"58,60,61,62,63,65"
template_phase_uncorrected,traditional,analytic_template_phase,763,2289,2.9923192689628024,3.3427809218901774,5.484638537925619,0.3167321974661424,2.873326745052516,3.1233267450525055,1.5336111386140658,1.4275119775007337,1.689805578746591,59,"58,60,61,62,63,65"
cnn_no_window_3_6,ml,analytic_template_phase,808,2424,0.9935506935218491,2.2488986127201405,2.9326285300651462,0.038366336633663366,0.9040958493229309,1.0879499771513716,-0.35015374474489047,-0.4204336122811463,-0.25863127282695525,60,"58,59,61,62,63,65"
mlp_no_window_3_6,ml,analytic_template_phase,808,2424,1.1211961967529014,2.230627980926951,2.8238073382728497,0.03094059405940594,1.0561258046717072,1.1780765839585166,-0.2225082415138382,-0.2971340376492015,-0.14763899381937456,60,"58,59,61,62,63,65"
cnn_window_3_6,ml,analytic_template_phase,808,2424,1.2537557907826171,2.3774542955613893,3.3779476043479852,0.06023102310231023,1.195004867075449,1.351035544010988,-0.08994864748412246,-0.156165243348789,0.019274883720982936,60,"58,59,61,62,63,65"
mlp_window_3_6,ml,analytic_template_phase,808,2424,1.2691222811693272,2.308353266892535,3.1718568854091513,0.04744224422442244,1.2202594763910237,1.3214446554261239,-0.07458215709741234,-0.1402701447543809,-0.008475393235654119,60,"58,59,61,62,63,65"
analytic_template_phase,traditional,analytic_template_phase,808,2424,1.3437044382667396,2.3952884674835904,3.2295843975977174,0.05033003300330033,1.2787156379724944,1.4073454005769264,0.0,0.0,0.0,60,"58,59,61,62,63,65"
analytic_template_window_3_6,traditional,analytic_template_phase,808,2424,1.5988730927858354,2.262690922338716,3.4927188480914824,0.066006600660066,1.5528895537060858,1.644555138257124,0.25516865451909587,0.1942172443864279,0.3157362636639636,60,"58,59,61,62,63,65"
analytic_cfd20_mask_no_3_6,traditional,analytic_template_phase,808,2424,2.2476680513222034,6.61986811410443,5.162808940634355,0.38985148514851486,2.2421046544576435,2.2518554031898783,0.9039636130554638,0.8387099034952975,0.9685020135391856,60,"58,59,61,62,63,65"
analytic_template_mask_no_3_6,traditional,analytic_template_phase,808,2424,2.316718994830784,3.482475797972142,6.4926753880884505,0.17698019801980197,2.1734591054996577,2.4838995636501693,0.9730145565640442,0.7986884016097942,1.1659109902607332,60,"58,59,61,62,63,65"
template_phase_uncorrected,traditional,analytic_template_phase,808,2424,2.6639289881627697,3.278995401321622,6.3278579763255385,0.33745874587458746,2.6639289881627697,2.7113035001817245,1.32022454989603,1.2538049009147723,1.411441715994421,60,"58,59,61,62,63,65"
mlp_no_window_3_6,ml,analytic_template_phase,933,2799,1.1439557198516268,2.4363972365692907,2.7862647271277146,0.01786352268667381,1.0972033801252876,1.1882305344641304,-0.9860086736884068,-1.0634474002454015,-0.8536722202285156,61,"58,59,60,62,63,65"
cnn_no_window_3_6,ml,analytic_template_phase,933,2799,1.2769598043620762,2.5485939882058504,3.135100845812392,0.022865309038942478,1.237678483417796,1.3388718020997858,-0.8530045891779574,-0.925768934912384,-0.7247710518978353,61,"58,59,60,62,63,65"
mlp_window_3_6,ml,analytic_template_phase,933,2799,1.2814007499316626,2.527658372508953,3.042273761465703,0.020364415862808145,1.2337808959841428,1.3346219974595799,-0.848563643608371,-0.9194306003800996,-0.7188653258251941,61,"58,59,60,62,63,65"
cnn_window_3_6,ml,analytic_template_phase,933,2799,1.2846392876624324,2.5774119651944716,3.154276811511583,0.023579849946409433,1.2424175916727522,1.3528635768314003,-0.8453251058776012,-0.9164136015086792,-0.7111060913797179,61,"58,59,60,62,63,65"
analytic_template_window_3_6,traditional,analytic_template_phase,933,2799,1.88039885830004,2.7199686952225033,4.115746179697045,0.043586995355484104,1.8106366171635528,1.956191403770794,-0.2495655352399937,-0.32940073186722674,-0.1195682430458187,61,"58,59,60,62,63,65"
analytic_template_phase,traditional,analytic_template_phase,933,2799,2.1299643935400336,3.008059720087321,4.2949951734585605,0.050017863522686674,1.9845489151817721,2.210510707443413,0.0,0.0,0.0,61,"58,59,60,62,63,65"
analytic_cfd20_mask_no_3_6,traditional,analytic_template_phase,933,2799,2.43832917454911,5.871003004994521,5.309021274967164,0.08145766345123258,2.432102826962914,2.4457293066906307,0.30836478100907616,0.22819131338076404,0.45668672600068516,61,"58,59,60,62,63,65"
