model,mask,check,value,detail,heldout_run
all,all,train_heldout_event_id_overlap,0.0,must be zero,58
all,all,feature_audit,0.0,"ML features are same-pulse normalized samples after explicit window masks plus stave one-hot; no run id, event id, event order, other-stave timing, pair residual, or held-out target",58
mlp,window_3_6,nominal_sigma68_ns,1.2336666250979178,held-out run metric,58
mlp,window_3_6,shuffled_target_negative_control_sigma68_ns,1.193056121127102,same architecture and mask trained with shuffled train residual targets,58
cnn,window_3_6,nominal_sigma68_ns,0.7592387858464792,held-out run metric,58
cnn,window_3_6,shuffled_target_negative_control_sigma68_ns,1.2787305988955824,same architecture and mask trained with shuffled train residual targets,58
mlp,no_window_3_6,nominal_sigma68_ns,0.9166160202158583,held-out run metric,58
mlp,no_window_3_6,shuffled_target_negative_control_sigma68_ns,1.179939496777097,same architecture and mask trained with shuffled train residual targets,58
cnn,no_window_3_6,nominal_sigma68_ns,1.0601594217966306,held-out run metric,58
cnn,no_window_3_6,shuffled_target_negative_control_sigma68_ns,1.2015941156787295,same architecture and mask trained with shuffled train residual targets,58
all,all,train_heldout_event_id_overlap,0.0,must be zero,59
all,all,feature_audit,0.0,"ML features are same-pulse normalized samples after explicit window masks plus stave one-hot; no run id, event id, event order, other-stave timing, pair residual, or held-out target",59
mlp,window_3_6,nominal_sigma68_ns,1.287793208408195,held-out run metric,59
mlp,window_3_6,shuffled_target_negative_control_sigma68_ns,1.471274536524057,same architecture and mask trained with shuffled train residual targets,59
cnn,window_3_6,nominal_sigma68_ns,1.092210420085909,held-out run metric,59
cnn,window_3_6,shuffled_target_negative_control_sigma68_ns,1.4368968914417772,same architecture and mask trained with shuffled train residual targets,59
mlp,no_window_3_6,nominal_sigma68_ns,1.1611782227857508,held-out run metric,59
mlp,no_window_3_6,shuffled_target_negative_control_sigma68_ns,1.4635216797801067,same architecture and mask trained with shuffled train residual targets,59
cnn,no_window_3_6,nominal_sigma68_ns,1.2819629234741932,held-out run metric,59
cnn,no_window_3_6,shuffled_target_negative_control_sigma68_ns,1.4656345797094468,same architecture and mask trained with shuffled train residual targets,59
all,all,train_heldout_event_id_overlap,0.0,must be zero,60
all,all,feature_audit,0.0,"ML features are same-pulse normalized samples after explicit window masks plus stave one-hot; no run id, event id, event order, other-stave timing, pair residual, or held-out target",60
mlp,window_3_6,nominal_sigma68_ns,1.2691222811693272,held-out run metric,60
mlp,window_3_6,shuffled_target_negative_control_sigma68_ns,1.351010109503762,same architecture and mask trained with shuffled train residual targets,60
cnn,window_3_6,nominal_sigma68_ns,1.2537557907826171,held-out run metric,60
cnn,window_3_6,shuffled_target_negative_control_sigma68_ns,1.319849701189071,same architecture and mask trained with shuffled train residual targets,60
