run,event_id,pair,method,family,residual_ns,heldout_run
58,58:399989:1517:11021,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,2.022985470252607,58
58,58:399989:1517:11021,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,0.3025916232717236,58
58,58:400792:2281:11821,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,-19.567612087488648,58
58,58:400792:2281:11821,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,-22.81206858190999,58
58,58:400792:2281:11821,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-3.2444564944213425,58
58,58:401022:2495:12051,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.184646500804405,58
58,58:401022:2495:12051,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,2.1258491592109863,58
58,58:401022:2495:12051,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.05879734159341865,58
58,58:401083:2548:12110,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,-0.8689662909455009,58
58,58:401083:2548:12110,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,-2.2123706706726267,58
58,58:401083:2548:12110,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-1.3434043797271258,58
58,58:401283:2737:12310,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.0432028132667597,58
58,58:401283:2737:12310,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.308841877966529,58
58,58:401283:2737:12310,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.7343609353002307,58
58,58:401498:2943:12525,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,3.131795287525577,58
58,58:401498:2943:12525,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,2.6710310409211786,58
58,58:401498:2943:12525,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.4607642466043984,58
58,58:401532:2974:12559,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,1.0573158977123072,58
58,58:401532:2974:12559,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.9318625684993194,58
58,58:401532:2974:12559,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,0.8745466707870122,58
58,58:401733:3159:12760,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,1.9984882867398426,58
58,58:401733:3159:12760,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,2.265156384732329,58
58,58:401733:3159:12760,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,0.26666809799248625,58
58,58:402308:3701:13332,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.466604021930891,58
58,58:402308:3701:13332,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,2.435961664180752,58
58,58:402308:3701:13332,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.030642357750139126,58
58,58:402542:3915:13565,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.052631431109532,58
58,58:402542:3915:13565,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,2.0632096350407068,58
58,58:402542:3915:13565,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,0.010578203931174812,58
58,58:402594:3966:13616,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.1007365511751743,58
58,58:402594:3966:13616,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.7636368657626917,58
58,58:402594:3966:13616,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.3370996854124826,58
58,58:402626:3997:13647,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.079132666048551,58
58,58:402626:3997:13647,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.5761164818797013,58
58,58:402626:3997:13647,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.5030161841688496,58
58,58:402712:4076:13733,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,1.8110959079789666,58
58,58:402712:4076:13733,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,2.0567297453773534,58
58,58:402712:4076:13733,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,0.24563383739838685,58
58,58:403406:4719:14427,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,1.9729566292810432,58
58,58:403406:4719:14427,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.36173179054677,58
58,58:403406:4719:14427,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.6112248387342731,58
58,58:403541:4843:14562,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.4795179522653257,58
58,58:403541:4843:14562,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,2.2747957367317753,58
58,58:403541:4843:14562,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.2047222155335504,58
58,58:404100:5367:15118,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.02513277344967,58
58,58:404100:5367:15118,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,2.0042233413946633,58
58,58:404100:5367:15118,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.020909432055006505,58
58,58:404147:5411:15165,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.0215256367077643,58
58,58:404147:5411:15165,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.6564663325512754,58
58,58:404147:5411:15165,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.3650593041564889,58
58,58:404180:5444:15198,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.047840172314409,58
58,58:404180:5444:15198,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.9659499962333982,58
58,58:404180:5444:15198,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.08189017608101068,58
58,58:404302:5557:15320,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,1.1472952216823415,58
58,58:404302:5557:15320,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.4831756320820304,58
58,58:404302:5557:15320,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,0.33588041039968886,58
58,58:404573:5824:15589,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.173835301541615,58
58,58:404573:5824:15589,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.9442039442191401,58
58,58:404573:5824:15589,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.22963135732247508,58
58,58:405501:6684:16516,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.0745709450556546,58
58,58:405501:6684:16516,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.6683256235585162,58
58,58:405501:6684:16516,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.40624532149713843,58
58,58:405830:6983:16845,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.0434899658497443,58
58,58:405830:6983:16845,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.2146558763422775,58
58,58:405830:6983:16845,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.8288340895074668,58
58,58:405995:7135:17010,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.125082685104516,58
58,58:405995:7135:17010,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.3918608022998171,58
58,58:405995:7135:17010,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.733221882804699,58
58,58:406327:7441:17342,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,2.2393657897339594,58
58,58:406327:7441:17342,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,2.105749166313416,58
58,58:406327:7441:17342,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.1336166234205436,58
58,58:406604:7705:17619,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,8.789284401967215,58
58,58:406604:7705:17619,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,8.632007943282439,58
58,58:406604:7705:17619,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,-0.1572764586847768,58
58,58:406641:7736:17656,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,1.7281611741655851,58
58,58:406641:7736:17656,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.8063381436112778,58
58,58:406641:7736:17656,B6-B8,mlp_window_3_6_shuffled,ml_shuffled,0.07817696944569263,58
58,58:406766:7856:17781,B4-B6,mlp_window_3_6_shuffled,ml_shuffled,1.8906017351319377,58
58,58:406766:7856:17781,B4-B8,mlp_window_3_6_shuffled,ml_shuffled,1.8815201905388363,58
