method,a_gate_stratum,n_runs,n_pair_rows,sigma68_ns,sigma68_ci_low_ns,sigma68_ci_high_ns,mean_abs_pair_cov_ns2,cov_ci_low_ns2,cov_ci_high_ns2,correlated_fraction
pair_median,all,21,65484,2.090504189144874,1.9053532241534596,17.09650133406182,228.5346093364996,212.57557134327232,289.5562118783328,0.36641949668744095
pair_median,high_A_width_gate,7,17750,2.0070817419506475,1.647115643494982,27.47099991549186,250.56800477665809,190.9452674374379,327.4526873120649,0.3829002739696033
pair_median,low_A_width_gate,7,25722,2.016276615536787,1.9725910962536632,30.35037161457282,228.76789895146868,185.39457508045015,287.3186254246495,0.3550703747183644
pair_median,mid_A_width_gate,7,22012,2.258982806364397,1.9656879967742682,24.144667734714375,202.55681010551748,160.0751655845499,279.27355851187133,0.35820652881825327
traditional_s05d_static_priors,all,21,65484,7.811125173139162,7.463050343568253,8.715362444741459,59.16184255393456,48.450212565140944,66.99863545047641,0.3937017460308739
traditional_s05d_static_priors,high_A_width_gate,7,17750,8.065251666966057,7.849555901659009,10.188076112568032,54.94967620365621,50.82591649845015,65.71328459157853,0.3798842552561597
traditional_s05d_static_priors,low_A_width_gate,7,25722,7.387881256831954,7.271891922371485,9.822661535180982,63.72391627006563,44.77335499673072,88.08117873155904,0.3955455916725465
traditional_s05d_static_priors,mid_A_width_gate,7,22012,8.041416484822427,7.51129731311313,8.656007207844226,58.753617293773075,49.89910304534736,67.39638507655624,0.40700600458526365
ridge,all,21,65484,7.0717405077670215,6.799697476346456,7.250372653020803,55.530653968520234,51.06205219268195,64.21750978198874,0.38003363634590687
ridge,high_A_width_gate,7,17750,7.555906382678707,6.851721658978049,9.870282552293622,52.83908654215614,43.80853447846347,58.12661483433262,0.36311738601432897
ridge,low_A_width_gate,7,25722,6.683784176303828,6.256915356705019,7.110342843096503,55.729859802298435,49.96322413784523,66.54960431414916,0.37115962834692534
ridge,mid_A_width_gate,7,22012,7.131410187858602,6.264561841827015,7.213866849710946,58.43840915987046,53.719957945135064,75.00289641414835,0.4108655703642408
gradient_boosted_trees,all,21,65484,3.9222052854330434,3.5946960904815244,4.221778008949666,69.80499469194102,65.55804365418068,75.04562342874486,0.32202861383078923
gradient_boosted_trees,high_A_width_gate,7,17750,3.6567837101349605,3.486763903219079,14.98751131677253,68.35994441899614,55.38915707443543,84.16126068023041,0.3012527337100539
gradient_boosted_trees,low_A_width_gate,7,25722,3.9343334124852323,3.628812800200251,5.260501961093345,73.76242341885076,49.3550666212282,99.91241431963186,0.3158110611786191
gradient_boosted_trees,mid_A_width_gate,7,22012,4.070137926521676,4.024487709816123,14.345696243749568,66.8738864956487,54.72884011858346,80.61398974693546,0.3592023326326427
extra_trees_s05e_dynamic,all,21,65484,2.1983933271176834,1.94635051174485,2.4586524230222775,36.063303763691906,27.37651684312367,41.146468247399746,0.2911434353663659
extra_trees_s05e_dynamic,high_A_width_gate,7,17750,2.2672802824919183,2.0008346899222875,6.523106917545428,32.01932797472179,27.96845429870357,35.661453096382594,0.24112573323456585
extra_trees_s05e_dynamic,low_A_width_gate,7,25722,2.0268575420624337,1.8070739125065065,5.498674952036861,40.83185085843075,26.786149338910832,50.340947535634776,0.29927826622039666
extra_trees_s05e_dynamic,mid_A_width_gate,7,22012,2.3451927933694208,1.9371819454538297,4.419283927268141,35.217970573628385,21.05388967076744,45.94090345562172,0.35404179982989686
mlp,all,21,65484,4.269163950157181,4.012365167770839,4.983905332497141,207.01596608771158,176.6846533005294,270.7473187821142,0.3735191758149073
mlp,high_A_width_gate,7,17750,3.9124785812448124,3.534014721790711,22.457526024038284,230.60708668506396,167.61397891311805,280.26556503653376,0.38935902856667154
mlp,low_A_width_gate,7,25722,3.8294791535305537,3.4954216063399586,4.140248155212209,204.46121545640463,175.2726953907126,281.376316944725,0.36126634750349945
mlp,mid_A_width_gate,7,22012,4.285746066879412,4.009843867871112,15.831997278769915,182.47353446065847,123.09906473424216,219.93337035510547,0.3666060293120626
cnn_1d,all,21,65484,5.79709612846942,4.65416118623386,6.813811522788429,233.69622862597447,218.78762269516056,279.5899437340409,0.3760249346552139
cnn_1d,high_A_width_gate,7,17750,4.51187283392106,4.0852267851608675,34.960339321410615,259.37411359439767,167.68150786961988,335.8317970811632,0.3943657545010928
cnn_1d,low_A_width_gate,7,25722,6.821915053787508,4.253080012572163,6.764866173794803,232.33806206433036,189.91141014830202,325.6377714553029,0.3647234065975124
cnn_1d,mid_A_width_gate,7,22012,5.16038095450719,3.9325751701868827,22.786953211380904,205.3232238180655,153.16356900704048,255.16173943554404,0.364852371401092
support_gated_cnn_new,all,21,65484,4.888263752427487,4.317118784333629,14.096266329115913,228.15409861559377,192.82564478161527,263.09132401888075,0.37142911668211565
support_gated_cnn_new,high_A_width_gate,7,17750,3.7958851810428813,3.3531736444258855,26.610210365313762,254.86581097365544,175.1107587871458,319.26301884503937,0.39088968643872996
support_gated_cnn_new,low_A_width_gate,7,25722,4.555468076829843,3.969396811619161,36.47347669725975,225.73855324904267,104.35238220651406,273.3485861217755,0.35586122233157375
support_gated_cnn_new,mid_A_width_gate,7,22012,5.145113447088576,4.342682390877902,26.616286635048947,199.80857045883144,128.96203148886048,243.43504524685756,0.36421186105556025
