method,method_class,n_pair_rows,n_runs,sigma68_ns,sigma68_ci_low_ns,sigma68_ci_high_ns,full_rms_ns,full_rms_ci_low_ns,full_rms_ci_high_ns,tail_fraction_abs_gt_5ns,correlated_fraction,mean_abs_pair_cov_ns2,note
pair_median,traditional,65484,21,2.090504189144874,1.8081109295878273,2.276741244918338,20.680328523812705,15.276652036744148,26.397211503828142,0.14177509009834463,0.36641949668744095,228.5346093364996,strong traditional B-pair train-median centering
traditional_s05d_static_priors,traditional,65484,21,7.811125173139162,7.424588434997883,9.278013510791903,10.821907311185893,9.999501723465896,12.049211818163537,0.484530572353552,0.3937017460308739,59.16184255393456,traditional S05d-style Ridge using static priors plus B saturation/support covariates
ridge,ml,65484,21,7.0717405077670215,6.480182509239002,7.602307785833012,10.49918604277762,10.164099164071946,11.191471782601678,0.44887300714678396,0.38003363634590687,55.530653968520234,"standardized Ridge residual model with saturation, q-shift, amplitude, topology, baseline, and run-family support covariates"
gradient_boosted_trees,ml,65484,21,3.9222052854330434,3.6304317517202365,4.285834169065204,12.349296931974235,11.45295224991844,14.39969620197187,0.19722374931280923,0.32202861383078923,69.80499469194102,gradient-boosted tree residual model with B saturation/support covariates
extra_trees_s05e_dynamic,ml,65484,21,2.1983933271176834,2.012298116254619,3.0113699455159213,8.85957894357421,8.323650664261299,9.11177597535809,0.16040559525991083,0.2911434353663659,36.063303763691906,S05e-style ExtraTrees dynamic-weight residual model with explicit B2 saturation features
mlp,ml,65484,21,4.269163950157181,4.024661907314685,5.546437032413281,19.185903688185398,16.00542928381894,22.844871749577838,0.24598375175615417,0.3735191758149073,207.01596608771158,tabular MLP residual model with B saturation/support covariates
cnn_1d,ml,65484,21,5.79709612846942,4.2043071723951515,5.947631573328624,20.52317319041698,19.933409648248716,24.947459617128096,0.3707623236210372,0.3760249346552139,233.69622862597447,compact two-channel 1D-CNN over left/right waveforms with support auxiliaries
support_gated_cnn_new,ml,65484,21,4.888263752427487,4.369814393022546,5.726278774144915,20.33004069825825,17.549921521735055,27.66843743482755,0.30725062610714066,0.37142911668211565,228.15409861559377,new support-gated residual CNN suppressing waveform corrections outside A/B support
waveform_only_mlp,control,65484,21,3.8892144422055708,3.7069200593322655,4.263978678079517,19.70316802210373,15.837247585024148,24.362620176843556,0.21831287031946736,0.3787369363395991,221.30098501808544,control: waveform-only MLP without A/B support priors
pool_label_control,control,65484,21,6.385608472031155,5.320428794816483,9.739977469512596,19.571165040413167,15.30569296755242,19.960615898018045,0.4693818337303769,0.3664194966874409,228.5346093364996,control: pair and run-family/pool labels only
ml_shuffled_target_control,control,65484,21,5.005683761941663,4.712885306319566,7.724207968358631,20.653116875272826,17.21497936483428,22.137517142173657,0.31630627328813143,0.37671666896169514,236.0738813465531,control: S05e-style ExtraTrees trained on shuffled targets
