stratum,method,n,bias,res68,mae,res68_ci95,bias_ci95,mae_ci95
all_heldout,mlp,97589,-0.0004958057403564586,0.01702021797895434,0.06058541774665283,"[0.01411007382243873, 0.023591098658740556]","[-0.0010771179199218883, 0.0004102533049881464]","[0.04571799947565681, 0.07565065275136101]"
all_heldout,traditional_clipped_template,97589,0.0009998329554705143,0.02988636875691873,0.14061177116666654,"[0.027583723961558684, 0.03221567704050608]","[-0.0004653368527812618, 0.002225137237500746]","[0.1143910334701615, 0.17256244179911093]"
all_heldout,gradient_boosted_trees,97589,-0.01336032512280999,0.032454251812858326,0.077274087999036,"[0.029752093930565663, 0.036345303758694755]","[-0.015426243308681522, -0.011036653541992743]","[0.062113563947626994, 0.09345616453029527]"
all_heldout,1d_cnn,97589,0.03161540687084197,0.08658110468387605,0.15268431112805847,"[0.0756032114094496, 0.10365348668456079]","[0.023441441610455502, 0.04108597549796103]","[0.12541376160343767, 0.17885892286352598]"
all_heldout,waveform_transformer,97589,0.004980356097221361,0.10854492511153237,0.16340269081747583,"[0.09366062805615373, 0.12899276910960683]","[-0.0068040089309215675, 0.024099294047802675]","[0.14031642068198566, 0.19378503191520702]"
all_heldout,gated_residual_cnn,97589,0.012193874120712267,0.08209680199623111,0.1400443411637104,"[0.07335232623755936, 0.09393776973575355]","[0.003449715152382838, 0.023127464637160308]","[0.11971060633447218, 0.16510504368762471]"
near_knee,mlp,33885,-0.003075338900089264,0.010836530029773727,0.020409652361075444,"[0.009880734953582299, 0.013362196337878707]","[-0.003413503222167505, -0.0022652161791920787]","[0.01683156028905105, 0.028830784998229164]"
near_knee,traditional_clipped_template,33885,0.001437066671506032,0.03311377850182329,0.056728506817606626,"[0.030632264238012505, 0.03596175752815969]","[-0.0009714707878475858, 0.00388344245614946]","[0.047611095778260365, 0.07200424865492908]"
near_knee,gradient_boosted_trees,33885,-0.016397288681153005,0.028831496701366286,0.03663969227071349,"[0.027245017492886214, 0.031368473828119095]","[-0.01817249823610317, -0.015441623004352006]","[0.031902468556365096, 0.04559717808011629]"
near_knee,1d_cnn,33885,0.025130719542503344,0.06276538408994675,0.06895490385195764,"[0.059310092703700086, 0.06970609041512012]","[0.020188149288296688, 0.0333165331184864]","[0.06152705636291743, 0.08442000758951836]"
near_knee,waveform_transformer,33885,-0.008598818778991713,0.06068251110315326,0.07123556760524852,"[0.05470685870647432, 0.07266769529074432]","[-0.014495505087077625, 0.0011115724593400828]","[0.06095002982547402, 0.08998040618934242]"
near_knee,gated_residual_cnn,33885,0.0288774675130844,0.06458663619756698,0.07001525324465419,"[0.06022699634730815, 0.07385402488708498]","[0.024371340721845613, 0.03608499880880116]","[0.06196429271836285, 0.08163127089425035]"
hard_saturated,mlp,24799,-0.004599272608757032,0.011693693780899052,0.020050311875011526,"[0.01067499978601934, 0.01313322713911535]","[-0.004808811083436013, -0.004329730942845345]","[0.01653445129680001, 0.026211004117696127]"
hard_saturated,traditional_clipped_template,24799,0.0017880704357537691,0.035465867533975834,0.05607176274353763,"[0.03316162697562441, 0.03768479623550147]","[-0.0008417850412308081, 0.0054862134856907855]","[0.04733784261759152, 0.07087032174635166]"
hard_saturated,gradient_boosted_trees,24799,-0.020064016898866693,0.029361371388755407,0.0373692796171004,"[0.028382759530840393, 0.03081547505783417]","[-0.021809918156376108, -0.019227112645907513]","[0.0319387844430373, 0.04594693282811291]"
hard_saturated,1d_cnn,24799,0.02108007729053496,0.06465066871643066,0.0666502831248451,"[0.06023334502637386, 0.07149098769053817]","[0.01613156985491513, 0.029892152026295655]","[0.05842758606835888, 0.07977266607024504]"
hard_saturated,waveform_transformer,24799,-0.0013604903221130504,0.05998064398765562,0.06943800780108887,"[0.05363997571945191, 0.0733842828342319]","[-0.006588760167360319, 0.006239193528890597]","[0.06068923520135451, 0.0880003289457917]"
hard_saturated,gated_residual_cnn,24799,0.030713976025581347,0.06365695014595985,0.06759614467599519,"[0.06085613419488074, 0.06963302678704261]","[0.026478364542126643, 0.03576023302972316]","[0.06140530463787232, 0.07924623050511152]"
pileup_multiplicity_ge2,mlp,10690,0.008141683936119082,0.08540085430145267,0.12313378454209546,"[0.08308029086887839, 0.0903115960419178]","[0.0035551014021038795, 0.012401445660740173]","[0.1198912407734826, 0.12873046769520136]"
pileup_multiplicity_ge2,traditional_clipped_template,10690,-0.01537876008627076,0.20434485392902754,0.2871135303602303,"[0.1697913595684628, 0.25451587239812457]","[-0.034652830530680814, -0.011382272769686272]","[0.2729461971009109, 0.31074215306464503]"
pileup_multiplicity_ge2,gradient_boosted_trees,10690,-0.03071924725146495,0.08417579748120801,0.16317292684776283,"[0.07263853065674515, 0.1100964468137449]","[-0.03386026232971901, -0.029229666928408476]","[0.1564092844713302, 0.17355345118139562]"
pileup_multiplicity_ge2,1d_cnn,10690,0.13302352666854858,0.26606305396556856,0.29145517576603663,"[0.25292901127040385, 0.27864366406857993]","[0.11148570764809847, 0.14144114089012147]","[0.28213550970143814, 0.29726479178681947]"
pileup_multiplicity_ge2,waveform_transformer,10690,0.10014456301927566,0.21743423612117768,0.29165315376197914,"[0.21314909324049952, 0.2243932891297341]","[0.07375150813907386, 0.11387712033838034]","[0.2830019274767882, 0.29699083572828144]"
pileup_multiplicity_ge2,gated_residual_cnn,10690,-0.041051401197910314,0.1734791868209839,0.23095342815083333,"[0.16232980801403527, 0.20802838219553235]","[-0.049742322355508864, -0.0337894090116024]","[0.22573124294380043, 0.2407777906822515]"
high_recovery_tail,mlp,29717,0.0006993031501769942,0.01765026338100435,0.025146267740602798,"[0.014028288855552663, 0.02463155665397645]","[-0.00021017168462276366, 0.0017351633459329484]","[0.021344594472889365, 0.029376748889544016]"
high_recovery_tail,traditional_clipped_template,29717,0.007773810395384467,0.020896721360557716,0.038388791206874544,"[0.020329888366791293, 0.02140695052407503]","[0.00705403682090958, 0.008470409147480939]","[0.03357387345204398, 0.04251166574680752]"
high_recovery_tail,gradient_boosted_trees,29717,-0.02866906428444735,0.036228570392733264,0.04325148650224362,"[0.03521143963470217, 0.0376505113569342]","[-0.02970465994908568, -0.027681243713695076]","[0.040224035817771675, 0.04594720334696176]"
high_recovery_tail,1d_cnn,29717,0.07615438163280486,0.10024954257011415,0.10378435037742073,"[0.08708216448128225, 0.11958498862624171]","[0.07115733502805234, 0.0834956331923604]","[0.08947909935258666, 0.11758846876666111]"
high_recovery_tail,waveform_transformer,29717,0.08505870521068573,0.12390492711067204,0.10589678023976634,"[0.10674019802063704, 0.13866646206378938]","[0.0736010168492794, 0.09468476082757116]","[0.09258139263611187, 0.11586108955030422]"
high_recovery_tail,gated_residual_cnn,29717,0.05591057360172272,0.08088474667072297,0.07284183724733875,"[0.07469775469005108, 0.08713909689784051]","[0.05185735215246678, 0.058773226387798805]","[0.0667978111633179, 0.07814877200197147]"
high_pedestal_drift,mlp,23800,-0.00020499035716056713,0.08605227470397947,0.1890606493011886,"[0.039747144363224504, 0.1453486732430756]","[-0.001069505706429484, 0.0007546982169151173]","[0.1451507458105218, 0.23376490787672527]"
high_pedestal_drift,traditional_clipped_template,23800,0.005489900852512886,0.26920762199443377,0.45611766346828186,"[0.10129939608649692, 0.49551733249383456]","[0.0038079698635881754, 0.00694034775480818]","[0.3624803072875675, 0.5433040786338499]"
high_pedestal_drift,gradient_boosted_trees,23800,-0.013065789387675344,0.12322782164670316,0.21272043798409945,"[0.058964596766065344, 0.2435420007217787]","[-0.014545403811228663, -0.011383495788699289]","[0.17051168465422875, 0.25426143359964937]"
high_pedestal_drift,1d_cnn,23800,0.04140171468257903,0.25045472493171694,0.39010488491562223,"[0.13674184808686382, 0.3958502600270516]","[0.032345729589462295, 0.050979056432843194]","[0.3153450200131668, 0.4629675355103978]"
high_pedestal_drift,waveform_transformer,23800,0.013762161731719957,0.2595930309176446,0.41518513257208955,"[0.17402087388813495, 0.4069957980906966]","[4.1665732860552803e-05, 0.032794307410717004]","[0.3427884275909196, 0.5031328237375344]"
high_pedestal_drift,gated_residual_cnn,23800,0.01763156920671463,0.21122512053251277,0.35527962763722887,"[0.12170970960468058, 0.33576604951858546]","[0.010920334838330733, 0.025186643972992886]","[0.28483038710238784, 0.4226529769202949]"
large_timing_bias_proxy,mlp,42423,0.0014536392688751232,0.026235768365859946,0.08417819768552777,"[0.02024777731299402, 0.03495337544679643]","[3.779280930759078e-05, 0.0025351065248251114]","[0.07084231998623497, 0.09913793254552807]"
large_timing_bias_proxy,traditional_clipped_template,42423,0.000310322151587189,0.024683532137986627,0.1733927995763925,"[0.02305892195923051, 0.026742977881113964]","[-0.0014676207163342241, 0.0018056551581570423]","[0.14610663407651048, 0.20627370930141897]"
large_timing_bias_proxy,gradient_boosted_trees,42423,-0.02352778592677318,0.03811101260162275,0.08976183944936503,"[0.03620622482867443, 0.04002431453007409]","[-0.02467099874868647, -0.02201837988169395]","[0.0772515337818527, 0.10088752459755511]"
large_timing_bias_proxy,1d_cnn,42423,0.05911675214767456,0.1076617574989796,0.1971782899810852,"[0.09406609018146991, 0.1256898323222995]","[0.04914194017648697, 0.0666757208108902]","[0.17109527175619038, 0.22559562060044266]"
large_timing_bias_proxy,waveform_transformer,42423,0.07168921947479248,0.13225120544433597,0.2143874734384659,"[0.117939839335382, 0.1476251655685903]","[0.06425031040981413, 0.07761093594133857]","[0.19127301327051394, 0.24077949756042596]"
large_timing_bias_proxy,gated_residual_cnn,42423,0.04860212028026581,0.09055209639072419,0.17340326771874642,"[0.08599052551537756, 0.09657220122233033]","[0.043132591731846345, 0.051808123737573625]","[0.15433463833273392, 0.19796900027594058]"
