path,suffix,bytes,sha256,row_count,columns_preview,labelish_columns,exact_12147_rows,exact_10636_rows,exact_1511_rows,plausible_label_table
/home/billy/.tb-workers/tb-planner/configs/p01e_strict_latent_timing_audit.json,.json,2538,edc86092e02eabd7725f419333f89d4fd8ae53212d7f4b84869a71127b6533e1,,,,False,False,False,False
/home/billy/.tb-workers/tb-planner/configs/s07e_1781012659_1186_11c940a0.json,.json,1665,1d87753a581da4c346be6882b03c9c15b141fc7dbc3421c3bf047d39181811c1,,,,False,False,False,False
/home/billy/.tb-workers/tb-planner/configs/s07f_1781012109_1290_18206042.json,.json,1578,e9feebbf0592bd6c9dcc4877ee5c0479c46400ec68cc5c9c3fd45504182bf701,,,,False,False,False,False
/home/billy/.tb-workers/tb-planner/configs/s11b_1781012659_s07d_two_pulse_fit.json,.json,1451,94223ee094719d945d646821b4e6da75d397b7669e553e9c4f4c5d730d1701a5,,,,False,False,False,False
/home/billy/.tb-workers/tb-planner/reports/1780997954.15037.36463764__s01_full_dataset_templates/q_template_per_pulse.csv.gz,.csv.gz,27338762,afccd71367fbce78238afc2b98e144e1453585a59632c1e6f7ba5413a1fd5fff,640737.0,run|group|eventno|evt|stave|channel|amplitude_adc|peak_sample|area_adc_samples|q_template_rmse|q_autoencoder_rmse|template_mse|autoencoder_mse,run|eventno|evt,False,False,False,False
/home/billy/.tb-workers/tb-planner/reports/1780997954.15037.36463764__s01_full_dataset_templates/q_template_summary_by_group_stave.csv,.csv,1801,5d6a0a557c7898654e4a150200d3b04140048e5a0eb036da43b277b79f51789e,16.0,group|stave|n|q_template_rmse_median|q_template_rmse_p68|q_template_rmse_p95|q_autoencoder_rmse_median,,False,False,False,False
/home/billy/.tb-workers/tb-planner/reports/1780997954.15157.07ef03cf__s02_timing_pickoff/head_to_head_benchmark.csv,.csv,772,a24c5122b2fee3d9994a59613def8a54964493e6f95230b47d546474fcc314e0,3.0,method|metric|value|ci_low|ci_high|n_pair_residuals|median_ns|sigma68_ns|full_rms_ns|tail_frac_abs_gt5ns|core_sigma_ns|chi2_ndf,,False,False,False,False
/home/billy/.tb-workers/tb-planner/reports/1780997954.15157.07ef03cf__s02_timing_pickoff/manifest.json,.json,5106,7480f8488f2c9935c8b010bebfe1704fd6d1d14426f3f08e75197e03100d0ccb,,,,False,False,False,False
/home/billy/.tb-workers/tb-planner/reports/1780997954.15157.07ef03cf__s02_timing_pickoff/ml_residual_calibration.csv,.csv,316,c5038788610206b97414a8c4aaa52e73a23f78c9a5c2b03845c8a67cd760fb52,7.0,n|pred_mean_ns|target_mean_ns,,False,False,False,False
/home/billy/.tb-workers/tb-planner/reports/1780997954.15157.07ef03cf__s02_timing_pickoff/ml_ridge_cv.csv,.csv,637,e769c630852d78184a030ae0402f748283c96c554143c7af7d5c70671148dbe2,20.0,alpha|fold|sigma68_ns|n_pair_residuals,,False,False,False,False
/home/billy/.tb-workers/tb-planner/reports/1780997954.15157.07ef03cf__s02_timing_pickoff/reproduction_match_table.csv,.csv,335,0cf3bb0ef000657eb7e95142aa27ed387d13c1bb2f716892b22cf2ce3bd52020,6.0,quantity|report_value|reproduced|delta|tolerance|pass,,False,False,False,False
/home/billy/.tb-workers/tb-planner/reports/1780997954.15157.07ef03cf__s02_timing_pickoff/result.json,.json,1331,7cdb03ee8e4fd732f65cf0dffce01f5551a4f7f7bf4e125b0b60ba7993f9b3f3,,,,False,False,False,False
/home/billy/.tb-workers/tb-planner/reports/1780997954.15157.07ef03cf__s02_timing_pickoff/single_stave_variance_decomposition.csv,.csv,262,cf1bbe72b9650695a47d15b1fd38bd13d83365aeab966cd2bf65f0e8733317d1,6.0,stave|sigma68_ns|method|spacing_cm,,False,False,False,False
/home/billy/.tb-workers/tb-planner/reports/1780997954.15157.07ef03cf__s02_timing_pickoff/traditional_scan_metrics.csv,.csv,6153,d40124e53c9ffdc8ac34c311efe3160ea64884b1fa2c49ea320f6c6f93ba6bc6,44.0,method|spacing_cm|split|n_pair_residuals|median_ns|sigma68_ns|full_rms_ns|tail_frac_abs_gt5ns|core_sigma_ns|chi2_ndf,,False,False,False,False
