max_depth,min_samples_leaf,n_estimators,roc_auc,average_precision,brier
7,15,300,0.9935388613774774,0.9978076135616774,0.026079409023539998
5,20,250,0.9899557544163233,0.9963511875921535,0.03419929134224324
4,25,150,0.9847498686674728,0.9939905349767357,0.04450262132182892
