path,line,kind,text
/home/billy/Desktop/test_beam/scripts/s07_ml_rigour_scoreboard.py,516,text_hit,"            ""S07c: event-level clean-timing RF vs q_template/downstream-span baseline"","
/home/billy/Desktop/test_beam/docs/07_ml_methods.md,11,text_hit,## A. Event-level clean-timing classifier (App. A)
/home/billy/Desktop/test_beam/docs/07_ml_methods.md,15,text_hit,- **Weak labels:** clean = ≥2 downstream staves & downstream span <5 ns & all-span <10 ns;
/home/billy/Desktop/test_beam/docs/07_ml_methods.md,16,text_hit,  topology-violating = ≥2 downstream & (downstream span >10 ns OR B2 displaced >20 ns).
/home/billy/Desktop/test_beam/docs/07_ml_methods.md,17,text_hit,"- **Split by run** (not random). 12,147 events (10,636 clean : 1,511 violating, **~7:1**)."
/home/billy/Desktop/test_beam/docs/07_ml_methods.md,19,text_hit,- **Traditional baseline to beat:** simple cuts on Δt_B / downstream span / q_template.
/home/billy/Desktop/test_beam/docs/07_ml_methods.md,21,text_hit,"  calibration. Class imbalance 7:1. Output is **clean-timing probability, NOT** a"
/home/billy/Desktop/test_beam/studies/STUDY_TEMPLATE.md,34,text_hit,"small/imbalanced classes. State explicitly what the output *is* (e.g. ""clean-timing probability,"
/home/billy/Desktop/test_beam/studies/STUDIES.md,136,text_hit,"- Graph = {B2,B4,B6,B8} nodes with pulse features + edges; predict clean-timing probability and"
/home/billy/Desktop/test_beam/studies/STUDIES.md,138,text_hit,- **Benchmark:** vs the RF clean-timing classifier (App. A) and the inverse-variance combined
/home/billy/Desktop/test_beam/fleet/FLEET_STANDARD.md,59,text_hit,"3. **""You've hit your usage limit"" is usually a LIE.** It appears from `codex exec` and from"
/home/billy/Desktop/test_beam/fleet/FLEET_STANDARD.md,70,text_hit,"   the path appears twice per line; that is ONE healthy session, not duplicates.)"
/home/billy/Desktop/test_beam/fleet/FLEET_STANDARD.md,94,text_hit,count changes or the canonical repo disappears. A worker can only ever write inside its own
/home/billy/Desktop/test_beam/fleet/AUTONOMOUS_SCIENCE_REVIEW.md,52,text_hit,Popper arxiv.org/abs/2502.09858 · Hidden Pitfalls arxiv.org/abs/2509.08713 · RE-Bench arxiv.org/abs/2411.15114 ·
/home/billy/Desktop/test_beam/reports/1780997954.15217.702122ea__s07_ml_rigour_scoreboard/result.json,43,text_hit,"    ""S07c: event-level clean-timing RF vs q_template/downstream-span baseline"""
/home/billy/Desktop/test_beam/reports/1780997954.15217.702122ea__s07_ml_rigour_scoreboard/REPORT.md,87,text_hit,- **S07c: event-level clean-timing RF vs `q_template`/downstream-span baseline.** Question: does the App.A clean-timing RF add information beyond strong conventional timing/template cuts without label leakage? Expected information gain: determines whether S03/S04/S09 should consume RF clean-timing scores or stay with a
/home/billy/Desktop/test_beam/reports/1780997954.15397.168324f2__s18_astack_independent_reproduction/REPORT.md,69,text_hit,| sample_iii_analysis | ml_ridge_timewalk               |      2514 |  -0.0131319 |           1.38289 |            1.33704 |             1.42639 |       3.22602 |              1.38671 |               4.82667 |         0.863166 |                 0.00238663 |         1.41511 |           0.0378852 |     -0.028408  | 34.53
/home/billy/Desktop/test_beam/reports/1780997954.15517.0cbc248c__p01_self_supervised_waveform_representation/result.json,118,text_hit,"      ""masked_sample_mse"": 0.019415110912587775,"
/home/billy/HIBEAM/Reconstruction/docs/tech_manual/chapters/dbscan_clustering.tex,547,text_hit,"disappear, and even a careful sorter will make mistakes."
/home/billy/HIBEAM/Reconstruction/methods/hough_transform.py,6,text_hit,Lines appear as peaks in the accumulator.  Widely used in TPC tracking:
/home/billy/HIBEAM/notes/documentations/README.md,186,text_hit,| Simulation seed | 9012 (appears in dataset filenames as `_9012_`) |
/home/billy/HIBEAM/full_pipeline/run/lunarc_00_extract_vertices.slurm,88,text_hit,    # Combine and deduplicate (same event might appear in multiple chunks)
/home/billy/HIBEAM/notes/reconstruction/CHANGELOG.md,21,text_hit,**Impact**: ALL previous results were comparing reconstruction to wrong ground truth. Errors appeared 2-5× larger than actual.
/home/billy/HIBEAM/notes/reconstruction/CHANGELOG.md,44,text_hit,   - Diagnoses why vertex errors appear large
