method,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,average_precision_ci_low,average_precision_ci_high,note,brier,brier_ci_low,brier_ci_high
traditional_span_q_template,0.9124552019021761,0.8835558918110561,0.9289624103310608,0.9606239382654218,0.9168825728736449,0.9768043167075653,Uses downstream span; overlaps weak-label definition.,,,
traditional_q_template_only,0.7169178521167816,0.6901820428462827,0.7400956594992651,0.8818900733465731,0.8225326284596296,0.909616909729526,No timing-span feature.,,,
rf_clean_timing,0.9935388613774774,0.9915177429763289,0.9952289700517033,0.9978076135616774,0.995905755189431,0.998622392619629,"RF excludes timing spans, pair residuals, run, and sample.",0.026079409023539998,0.023589496717546895,0.02949052335039923
leaky_rf_control,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,RF with forbidden label-defining timing spans.,0.0024996926169972658,0.0021720802039258604,0.0030372051348087235
