run,fold,label_clean,traditional_span_q_score,q_template_only_score,rf_score,leaky_rf_score
31,1,0,-0.6308217068854625,-0.38179262569945005,0.0038448701114731755,0.0019344619016902216
31,1,0,-0.3021820806875552,-0.474010088216006,0.0016320653598152544,0.0013339664807235708
31,1,0,0.345796842815026,-0.4036586899602921,0.02430870878076648,0.0044905167416622975
31,1,1,-1.0316831332424232,-0.37071252237473357,0.6825385559440437,0.8962620204823086
31,1,0,-1.9261905697948714,-0.5865449017829669,0.031000956390842892,0.01369206939055751
31,1,1,0.12538547045211657,-0.49623895870910123,0.9196059729384568,0.9736254845495186
31,1,1,0.2041473237560261,-0.32871248889144106,0.8887807831051271,0.9744523985095067
31,1,1,0.28279061604883954,-0.5113215258418479,0.9269959699771899,0.9722862524972223
31,1,1,-1.29289527060393,-0.3835257986415211,0.8678466017137073,0.9743499439372566
31,1,0,-1.359811782708953,-0.5187357007629838,0.024859623099806445,0.018708956395184426
31,1,0,-0.030565569508260837,-0.521370009959433,0.001376603437430707,0.002830149093979445
31,1,1,0.24997267532348433,-0.09078166018146598,0.8741532051915459,0.9663375506747601
31,1,1,0.32504761073204724,-0.5017085045956995,0.9832530945515813,0.9849201800157935
31,1,1,0.23317631366821656,-0.550542559490139,0.9818851493446555,0.9842335488535614
31,1,0,-0.24686997838592983,-0.35174910761308287,0.01425414389968247,0.003002054040077336
31,1,1,0.8064791231280208,0.48529941754508743,0.9809931105433249,0.9908042302036953
31,1,1,0.6629354489940011,-0.4911353689343592,0.7879892100679062,0.9294847842279925
31,1,1,0.18111713000852447,-0.40499943767955116,0.9163273604914235,0.9580979528913228
31,1,1,0.44338431158045855,-0.2951001205557389,0.922418101984578,0.9822114169724088
31,1,0,0.03697154099220379,-0.5496783523447668,0.0016130911405544545,0.0019746243320118676
31,1,0,-0.24719811629557592,-0.5252309130057986,0.0431716160641309,0.011566290939401938
31,1,0,-0.9270990702157202,-0.28917265850383256,0.03403800653914006,0.009579774849595175
31,1,0,-0.8832085450588993,-0.6228081572756411,0.0030302576487013285,0.0022227642129642494
31,1,1,0.5407499075960319,0.37227460757448716,0.9517367447721409,0.9907464414968412
31,1,1,0.1729165200889729,-0.3290675521453536,0.8764986757702025,0.969627756061703
31,1,1,-1.4498580505472367,-0.38184711286335576,0.5980834140194686,0.8938015353412451
31,1,0,-2.45773637789547,-0.49972246253240304,0.1340411508857396,0.029994898859196054
31,1,0,-1.228133762755804,-0.5783445759176825,0.016815814972060136,0.01584438196400269
31,1,1,0.16925439524112684,-0.5738849140417404,0.9797795759546456,0.9824762587610534
31,1,0,-0.5400757512130149,-0.6129682489596685,0.03485916834908655,0.01978490052712883
31,1,1,0.3875139348788378,-0.5025638653007798,0.9856030160367854,0.9903573416230617
31,1,1,0.23944905515410475,-0.40066081451630703,0.9582211159202897,0.9893899824636864
31,1,1,0.40199998359279066,-0.3644452198482261,0.7269016905359466,0.8793688439133841
31,1,1,0.0923816938963322,0.05934492096678068,0.9798453830021,0.9887351798770737
31,1,0,0.022098172351121437,-0.5854384113677181,0.004567187347510858,0.0030751158924143696
31,1,1,0.4776884388072685,0.2754889281141975,0.9447431905562184,0.9847441483940501
31,1,0,-0.021615289541667415,-0.5952377499295628,0.0015727169993068081,0.0019746243320118676
31,1,1,0.5657790514753975,-0.24781310601653794,0.7616505022555148,0.9489029416504267
31,1,1,0.4484037793042852,-0.4658027245120799,0.8182002241521142,0.9673262014563971
31,1,0,-0.10464618557980276,-0.40604705698892485,0.002379138667177553,0.0021316079338771863
31,1,0,-0.13082300778185513,-0.5029597753024733,0.0016620152928280773,0.0019746243320118676
31,1,0,0.08226424187598247,-0.3474603925374046,0.06345742842872963,0.025723938787219607
31,1,0,0.0034544133661758014,-0.5551795526688749,0.0020114906718269056,0.002243217254607455
31,1,1,0.41832801722676843,-0.5680666319543837,0.7550881606159698,0.9498427601805151
31,1,0,0.1310907251062552,-0.5097366485531107,0.0020317699565743285,0.0022518073656124242
31,1,1,0.6632975031332763,0.3965479388801477,0.8808916236841712,0.9883912850923737
31,1,0,-0.08494668166128172,-0.6128130785859461,0.258947559572868,0.059409024505879746
31,1,0,0.1308141928030383,-0.3888780708744906,0.009376510597703565,0.005377660588702951
31,1,1,-0.8809252137507819,-0.4045350391100151,0.9407043575360586,0.9722412158287393
31,1,1,-1.3661429454513616,-0.4210108503455918,0.6785686795890788,0.9278432617459246
31,1,1,0.0396528804724402,-0.3657392644730695,0.9482501244671306,0.9878514292533093
31,1,0,-1.3439169462293372,-0.4016377173486554,0.007991597068229512,0.01818780713438305
31,1,1,0.6226633993382343,-0.012977389064149199,0.6142668564198853,0.8753946900338165
31,1,1,0.33048699766640066,-0.411969897733338,0.9393235906316607,0.9810727131841643
