search_root,path,kind,suffix,bytes,is_source_like,conversion_token_hit
data,data/root/root/hrdb_run_0046.root,filesystem,.root,412227,False,root
data,data/root/root/hrdb_run_0047.root,filesystem,.root,3098718,False,root
data,data/root/root/hrdb_run_0048.root,filesystem,.root,8995827,False,root
data,data/root/root/hrdb_run_0049.root,filesystem,.root,9203548,False,root
data,data/root/root/hrdb_run_0050.root,filesystem,.root,13217424,False,root
data,data/root/root/hrdb_run_0051.root,filesystem,.root,6036876,False,root
data,data/root/root/hrdb_run_0052.root,filesystem,.root,2941826,False,root
data,data/root/root/hrdb_run_0053.root,filesystem,.root,11713879,False,root
data,data/root/root/hrdb_run_0054.root,filesystem,.root,11056922,False,root
data,data/root/root/hrdb_run_0055.root,filesystem,.root,7153324,False,root
data,data/root/root/hrdb_run_0056.root,filesystem,.root,15273160,False,root
data,data/root/root/hrdb_run_0057.root,filesystem,.root,8881910,False,root
data,data/root/root/hrdb_run_0058.root,filesystem,.root,9623179,False,root
data,data/root/root/hrdb_run_0059.root,filesystem,.root,12032616,False,root
data,data/root/root/hrdb_run_0060.root,filesystem,.root,10174098,False,root
data,data/root/root/hrdb_run_0061.root,filesystem,.root,10362658,False,root
data,data/root/root/hrdb_run_0062.root,filesystem,.root,10634393,False,root
data,data/root/root/hrdb_run_0063.root,filesystem,.root,10494181,False,root
data,data/root/root/hrdb_run_0064.root,filesystem,.root,10006223,False,root
data,data/root/root/hrdb_run_0065.root,filesystem,.root,10600278,False,root
data,data/sorted-a/hrda_run_0012-sorted.root,filesystem,.root,25801710,False,sort;sorted;root
data,data/sorted-a/hrda_run_0013-sorted.root,filesystem,.root,82464565,False,sort;sorted;root
data,data/sorted-a/hrda_run_0014-sorted.root,filesystem,.root,6001886,False,sort;sorted;root
data,data/sorted-a/hrda_run_0015-sorted.root,filesystem,.root,164877109,False,sort;sorted;root
data,data/sorted-a/hrda_run_0016-sorted.root,filesystem,.root,20657093,False,sort;sorted;root
data,data/sorted-a/hrda_run_0017-sorted.root,filesystem,.root,9766059,False,sort;sorted;root
data,data/sorted-a/hrda_run_0018-sorted.root,filesystem,.root,120873411,False,sort;sorted;root
data,data/sorted-a/hrda_run_0019-sorted.root,filesystem,.root,118569477,False,sort;sorted;root
data,data/sorted-a/hrda_run_0020-sorted.root,filesystem,.root,93521112,False,sort;sorted;root
data,data/sorted-a/hrda_run_0021-sorted.root,filesystem,.root,6795,False,sort;sorted;root
data,data/sorted-a/hrda_run_0022-sorted.root,filesystem,.root,6795,False,sort;sorted;root
data,data/sorted-a/hrda_run_0023-sorted.root,filesystem,.root,6603848,False,sort;sorted;root
data,data/sorted-a/hrda_run_0024-sorted.root,filesystem,.root,42235235,False,sort;sorted;root
data,data/sorted-a/hrda_run_0025-sorted.root,filesystem,.root,5768659,False,sort;sorted;root
data,data/sorted-a/hrda_run_0026-sorted.root,filesystem,.root,88314988,False,sort;sorted;root
data,data/sorted-a/hrda_run_0027-sorted.root,filesystem,.root,58011722,False,sort;sorted;root
data,data/sorted-a/hrda_run_0028-sorted.root,filesystem,.root,9071168,False,sort;sorted;root
data,data/sorted-a/hrda_run_0029-sorted.root,filesystem,.root,43674830,False,sort;sorted;root
data,data/sorted-a/hrda_run_0030-sorted.root,filesystem,.root,9117933,False,sort;sorted;root
data,data/sorted-a/hrda_run_0031-sorted.root,filesystem,.root,65955980,False,sort;sorted;root
data,data/sorted-a/hrda_run_0032-sorted.root,filesystem,.root,68999370,False,sort;sorted;root
data,data/sorted-a/hrda_run_0033-sorted.root,filesystem,.root,92475690,False,sort;sorted;root
data,data/sorted-a/hrda_run_0034-sorted.root,filesystem,.root,65019593,False,sort;sorted;root
data,data/sorted-a/hrda_run_0035-sorted.root,filesystem,.root,46754225,False,sort;sorted;root
data,data/sorted-a/hrda_run_0036-sorted.root,filesystem,.root,37226919,False,sort;sorted;root
data,data/sorted-a/hrda_run_0037-sorted.root,filesystem,.root,82854608,False,sort;sorted;root
data,data/sorted-a/hrda_run_0039-sorted.root,filesystem,.root,50872738,False,sort;sorted;root
data,data/sorted-a/hrda_run_0040-sorted.root,filesystem,.root,54532162,False,sort;sorted;root
data,data/sorted-a/hrda_run_0041-sorted.root,filesystem,.root,56745351,False,sort;sorted;root
data,data/sorted-a/hrda_run_0042-sorted.root,filesystem,.root,56633658,False,sort;sorted;root
data,data/sorted-a/hrda_run_0043-sorted.root,filesystem,.root,31027,False,sort;sorted;root
data,data/sorted-a/hrda_run_0044-sorted.root,filesystem,.root,7496792,False,sort;sorted;root
data,data/sorted-a/hrda_run_0045-sorted.root,filesystem,.root,79303852,False,sort;sorted;root
data,data/sorted-a/hrda_run_0046-sorted.root,filesystem,.root,2520712,False,sort;sorted;root
data,data/sorted-a/hrda_run_0047-sorted.root,filesystem,.root,19113075,False,sort;sorted;root
data,data/sorted-a/hrda_run_0048-sorted.root,filesystem,.root,53036833,False,sort;sorted;root
data,data/sorted-a/hrda_run_0049-sorted.root,filesystem,.root,54061443,False,sort;sorted;root
data,data/sorted-a/hrda_run_0050-sorted.root,filesystem,.root,73323053,False,sort;sorted;root
data,data/sorted-a/hrda_run_0051-sorted.root,filesystem,.root,35098402,False,sort;sorted;root
data,data/sorted-a/hrda_run_0052-sorted.root,filesystem,.root,17314122,False,sort;sorted;root
data,data/sorted-a/hrda_run_0053-sorted.root,filesystem,.root,65120859,False,sort;sorted;root
data,data/sorted-a/hrda_run_0054-sorted.root,filesystem,.root,61683595,False,sort;sorted;root
data,data/sorted-a/hrda_run_0055-sorted.root,filesystem,.root,41228545,False,sort;sorted;root
data,data/sorted-a/hrda_run_0056-sorted.root,filesystem,.root,84522644,False,sort;sorted;root
data,data/sorted-a/hrda_run_0057-sorted.root,filesystem,.root,52584479,False,sort;sorted;root
data,data/sorted-a/hrda_run_0058-sorted.root,filesystem,.root,56657994,False,sort;sorted;root
data,data/sorted-a/hrda_run_0059-sorted.root,filesystem,.root,69459047,False,sort;sorted;root
data,data/sorted-a/hrda_run_0060-sorted.root,filesystem,.root,59705764,False,sort;sorted;root
data,data/sorted-a/hrda_run_0061-sorted.root,filesystem,.root,60421463,False,sort;sorted;root
data,data/sorted-a/hrda_run_0062-sorted.root,filesystem,.root,62060489,False,sort;sorted;root
