stack,run,raw_file,sorted_file,raw_entries,sorted_entries,entry_delta_sorted_minus_raw,evt_mismatch_count,first_evt_raw,first_evt_sorted,last_evt_raw,last_evt_sorted,status
hrda,0,hrda_run_0000.root,hrda_run_0000-sorted.root,0,,,,,,,,missing_sorted_file
hrda,1,hrda_run_0001.root,hrda_run_0001-sorted.root,0,,,,,,,,missing_sorted_file
hrda,2,hrda_run_0002.root,hrda_run_0002-sorted.root,0,,,,,,,,missing_sorted_file
hrda,3,hrda_run_0003.root,hrda_run_0003-sorted.root,0,,,,,,,,missing_sorted_file
hrda,12,hrda_run_0012.root,hrda_run_0012-sorted.root,15043,15043.0,0.0,0.0,278.0,278.0,8.0,8.0,pass
hrda,13,hrda_run_0013.root,hrda_run_0013-sorted.root,51109,51109.0,0.0,0.0,14.0,14.0,100.0,100.0,pass
hrda,14,hrda_run_0014.root,hrda_run_0014-sorted.root,3495,3495.0,0.0,0.0,11.0,11.0,8.0,8.0,pass
hrda,15,hrda_run_0015.root,hrda_run_0015-sorted.root,103882,103882.0,0.0,0.0,9.0,9.0,94.0,94.0,pass
hrda,16,hrda_run_0016.root,hrda_run_0016-sorted.root,11984,11984.0,0.0,0.0,25.0,25.0,198.0,198.0,pass
hrda,17,hrda_run_0017.root,hrda_run_0017-sorted.root,5670,5670.0,0.0,0.0,1.0,1.0,185.0,185.0,pass
hrda,18,hrda_run_0018.root,hrda_run_0018-sorted.root,75391,75391.0,0.0,0.0,186.0,186.0,142.0,142.0,pass
hrda,19,hrda_run_0019.root,hrda_run_0019-sorted.root,73816,73816.0,0.0,0.0,143.0,143.0,14.0,14.0,pass
hrda,20,hrda_run_0020.root,hrda_run_0020-sorted.root,57759,57759.0,0.0,0.0,15.0,15.0,14.0,14.0,pass
hrda,21,hrda_run_0021.root,hrda_run_0021-sorted.root,0,0.0,0.0,0.0,,,,,pass
hrda,22,hrda_run_0022.root,hrda_run_0022-sorted.root,0,0.0,0.0,0.0,,,,,pass
hrda,23,hrda_run_0023.root,hrda_run_0023-sorted.root,3815,3815.0,0.0,0.0,4.0,4.0,3614.0,3614.0,pass
hrda,24,hrda_run_0024.root,hrda_run_0024-sorted.root,24988,24988.0,0.0,0.0,3615.0,3615.0,10731.0,10731.0,pass
hrda,25,hrda_run_0025.root,hrda_run_0025-sorted.root,3315,3315.0,0.0,0.0,2.0,2.0,3064.0,3064.0,pass
hrda,26,hrda_run_0026.root,hrda_run_0026-sorted.root,54079,54079.0,0.0,0.0,3064.0,3064.0,3446.0,3446.0,pass
hrda,27,hrda_run_0027.root,hrda_run_0027-sorted.root,34986,34986.0,0.0,0.0,7346.0,7346.0,6578.0,6578.0,pass
hrda,28,hrda_run_0028.root,hrda_run_0028-sorted.root,5222,5222.0,0.0,0.0,2.0,2.0,5041.0,5041.0,pass
hrda,29,hrda_run_0029.root,hrda_run_0029-sorted.root,25873,25873.0,0.0,0.0,5042.0,5042.0,13320.0,13320.0,pass
hrda,30,hrda_run_0030.root,hrda_run_0030-sorted.root,5243,5243.0,0.0,0.0,2.0,2.0,5072.0,5072.0,pass
hrda,31,hrda_run_0031.root,hrda_run_0031-sorted.root,39994,39994.0,0.0,0.0,5073.0,5073.0,10109.0,10109.0,pass
hrda,32,hrda_run_0032.root,hrda_run_0032-sorted.root,41913,41913.0,0.0,0.0,10110.0,10110.0,594.0,594.0,pass
hrda,33,hrda_run_0033.root,hrda_run_0033-sorted.root,57167,57167.0,0.0,0.0,595.0,595.0,6246.0,6246.0,pass
hrda,34,hrda_run_0034.root,hrda_run_0034-sorted.root,39721,39721.0,0.0,0.0,6247.0,6247.0,11624.0,11624.0,pass
hrda,35,hrda_run_0035.root,hrda_run_0035-sorted.root,27764,27764.0,0.0,0.0,11625.0,11625.0,5479.0,5479.0,pass
hrda,36,hrda_run_0036.root,hrda_run_0036-sorted.root,21755,21755.0,0.0,0.0,5480.0,5480.0,10002.0,10002.0,pass
hrda,37,hrda_run_0037.root,hrda_run_0037-sorted.root,50511,50511.0,0.0,0.0,10003.0,10003.0,8319.0,8319.0,pass
hrda,39,hrda_run_0039.root,hrda_run_0039-sorted.root,30336,30336.0,0.0,0.0,8320.0,8320.0,4757.0,4757.0,pass
hrda,40,hrda_run_0040.root,hrda_run_0040-sorted.root,32645,32645.0,0.0,0.0,4758.0,4758.0,3279.0,3279.0,pass
hrda,41,hrda_run_0041.root,hrda_run_0041-sorted.root,34021,34021.0,0.0,0.0,3280.0,3280.0,3229.0,3229.0,pass
hrda,42,hrda_run_0042.root,hrda_run_0042-sorted.root,33976,33976.0,0.0,0.0,3230.0,3230.0,2177.0,2177.0,pass
hrda,43,hrda_run_0043.root,hrda_run_0043-sorted.root,13,13.0,0.0,0.0,2178.0,2178.0,2189.0,2189.0,pass
hrda,44,hrda_run_0044.root,hrda_run_0044-sorted.root,4299,4299.0,0.0,0.0,2190.0,2190.0,6339.0,6339.0,pass
hrda,45,hrda_run_0045.root,hrda_run_0045-sorted.root,48208,48208.0,0.0,0.0,6340.0,6340.0,2949.0,2949.0,pass
hrda,46,hrda_run_0046.root,hrda_run_0046-sorted.root,1444,1444.0,0.0,0.0,2950.0,2950.0,4344.0,4344.0,pass
hrda,47,hrda_run_0047.root,hrda_run_0047-sorted.root,10982,10982.0,0.0,0.0,4345.0,4345.0,14868.0,14868.0,pass
hrda,48,hrda_run_0048.root,hrda_run_0048-sorted.root,31671,31671.0,0.0,0.0,14869.0,14869.0,12480.0,12480.0,pass
hrda,49,hrda_run_0049.root,hrda_run_0049-sorted.root,32325,32325.0,0.0,0.0,12481.0,12481.0,9560.0,9560.0,pass
hrda,50,hrda_run_0050.root,hrda_run_0050-sorted.root,44824,44824.0,0.0,0.0,9561.0,9561.0,2894.0,2894.0,pass
hrda,51,hrda_run_0051.root,hrda_run_0051-sorted.root,20566,20566.0,0.0,0.0,2895.0,2895.0,6245.0,6245.0,pass
hrda,52,hrda_run_0052.root,hrda_run_0052-sorted.root,10010,10010.0,0.0,0.0,6247.0,6247.0,15844.0,15844.0,pass
hrda,53,hrda_run_0053.root,hrda_run_0053-sorted.root,39621,39621.0,0.0,0.0,15845.0,15845.0,4722.0,4722.0,pass
