event_id,run,median_peak_sample,max_peak_sample,max_amplitude_adc,median_amplitude_adc,max_template_sse,max_baseline_absmax_adc,max_baseline_span_adc,max_late_charge_over_amp,mean_early_charge_over_amp,max_norm_peak_height,phase_atom,saturation_atom,q_template_atom,baseline_atom,delayed_peak_atom,anomaly_atom,run_family_atom,amplitude_atom,fold_threshold_amp95,fold_threshold_sse90,fold_threshold_baseline90,fold_threshold_late90
58:391631:10103:2692,58,8.0,9,3882.5,2949.5,0.026691387484717194,12.5,16.0,6.528139085640696,0.0010229465190272067,1.0,late_phase_ge7,amp_bulk,q_template_sse_bulk,baseline_bulk,delayed_or_late_charge,any_high_risk_atom,early,amp_high,4693.5999999999985,5.640401324221906,1318.1000000000013,6.601856206928997
58:391841:10300:2900,58,12.0,13,5070.5,3077.0,3.8628530837783934,37.0,53.0,6.469613259668508,-0.0023406828628054965,1.0,late_phase_ge7,amp_top5_proxy,q_template_sse_bulk,baseline_bulk,delayed_or_late_charge,any_high_risk_atom,early,amp_high,4693.5999999999985,5.640401324221906,1318.1000000000013,6.601856206928997
58:392066:10514:3123,58,8.0,8,5431.0,2216.0,0.0617165402665887,12.0,16.0,5.538758976247468,0.0012667563389880112,1.0,late_phase_ge7,amp_top5_proxy,q_template_sse_bulk,baseline_bulk,prompt_peak,any_high_risk_atom,early,amp_high,4693.5999999999985,5.640401324221906,1318.1000000000013,6.601856206928997
58:392204:10642:3261,58,8.0,10,3628.0,3032.5,0.02652038310422743,25.5,40.0,6.41510474090408,-0.0018444507932153433,1.0,late_phase_ge7,amp_bulk,q_template_sse_bulk,baseline_bulk,delayed_or_late_charge,any_high_risk_atom,early,amp_mid,4693.5999999999985,5.640401324221906,1318.1000000000013,6.601856206928997
58:392294:10722:3348,58,9.0,9,2771.5,1661.5,0.14517413641576374,25.5,41.0,5.7591556918636115,0.0029235492949165848,1.0,late_phase_ge7,amp_bulk,q_template_sse_bulk,baseline_bulk,delayed_or_late_charge,any_high_risk_atom,early,amp_low,4693.5999999999985,5.640401324221906,1318.1000000000013,6.601856206928997
58:392636:11042:3687,58,9.0,10,4675.5,3248.0,0.3635082452735838,23.0,35.0,7.05942118226601,-0.0011598154914436215,1.0,late_phase_ge7,amp_bulk,q_template_sse_bulk,baseline_bulk,delayed_or_late_charge,any_high_risk_atom,early,amp_high,4693.5999999999985,5.640401324221906,1318.1000000000013,6.601856206928997
58:393248:11615:4294,58,16.0,16,3724.0,2459.0,5.786773427312515,18.0,34.0,3.870679137860919,-0.00022603264980139342,1.0,late_phase_ge7,amp_bulk,q_template_sse_top10,baseline_bulk,delayed_or_late_charge,any_high_risk_atom,early,amp_mid,4693.5999999999985,5.640401324221906,1318.1000000000013,6.601856206928997
58:394656:12923:5698,58,9.0,11,4076.0,3165.0,0.0634745001521738,20.5,30.0,6.494847890088322,0.0016276822681338574,1.0,late_phase_ge7,amp_bulk,q_template_sse_bulk,baseline_bulk,delayed_or_late_charge,any_high_risk_atom,early,amp_high,4693.5999999999985,5.640401324221906,1318.1000000000013,6.601856206928997
58:394684:12945:5726,58,4.0,5,2932.0,2371.0,3.141122844064199,2305.0,2745.0,2.8744884038199183,0.543600907606261,1.0,early_phase_le5,amp_bulk,q_template_sse_bulk,baseline_excursion_top10,prompt_peak,any_high_risk_atom,early,amp_low,4693.5999999999985,5.640401324221906,1318.1000000000013,6.601856206928997
58:394786:13037:5828,58,17.0,17,2201.5,1717.0,6.42451392730973,27.5,39.0,2.5725101921956903,-0.0015713860225827735,1.0,late_phase_ge7,amp_bulk,q_template_sse_top10,baseline_bulk,delayed_or_late_charge,any_high_risk_atom,early,amp_low,4693.5999999999985,5.640401324221906,1318.1000000000013,6.601856206928997
58:394965:13201:6007,58,8.0,8,3699.0,1871.5,0.02773336475266878,22.5,38.0,5.875371722087051,-0.0012029305833230486,1.0,late_phase_ge7,amp_bulk,q_template_sse_bulk,baseline_bulk,prompt_peak,no_high_risk_atom,early,amp_mid,4693.5999999999985,5.640401324221906,1318.1000000000013,6.601856206928997
58:395467:13673:6509,58,8.0,10,4611.5,3101.0,0.034082699954174456,14.5,20.0,6.323647403231053,-2.1035282291489786e-05,1.0,late_phase_ge7,amp_bulk,q_template_sse_bulk,baseline_bulk,delayed_or_late_charge,any_high_risk_atom,early,amp_high,4693.5999999999985,5.640401324221906,1318.1000000000013,6.601856206928997
58:396978:15063:8018,58,9.0,11,3170.0,3148.0,0.07075770198223877,9.0,16.0,5.7845425867507885,-0.0011470988136518098,1.0,late_phase_ge7,amp_bulk,q_template_sse_bulk,baseline_bulk,delayed_or_late_charge,any_high_risk_atom,early,amp_low,4693.5999999999985,5.640401324221906,1318.1000000000013,6.601856206928997
58:398418:42:9453,58,8.0,8,4086.0,2825.0,0.06479052938748148,17.0,29.0,6.62139011257954,0.0003455482482169632,1.0,late_phase_ge7,amp_bulk,q_template_sse_bulk,baseline_bulk,delayed_or_late_charge,any_high_risk_atom,early,amp_high,4693.5999999999985,5.640401324221906,1318.1000000000013,6.601856206928997
58:398580:196:9615,58,10.0,11,3259.5,2753.0,0.4969853346584629,18.5,24.0,6.960116582297898,-0.002079543832478045,1.0,late_phase_ge7,amp_bulk,q_template_sse_bulk,baseline_bulk,delayed_or_late_charge,any_high_risk_atom,early,amp_mid,4693.5999999999985,5.640401324221906,1318.1000000000013,6.601856206928997
58:399270:859:10304,58,11.0,12,2923.5,2176.5,2.037174555983806,35.5,46.0,6.603557379852916,0.0028916515197333105,1.0,late_phase_ge7,amp_bulk,q_template_sse_bulk,baseline_bulk,delayed_or_late_charge,any_high_risk_atom,early,amp_low,4693.5999999999985,5.640401324221906,1318.1000000000013,6.601856206928997
58:399602:1163:10635,58,11.0,11,2681.0,2133.0,0.731581547553432,9.0,13.0,6.6602014173815745,-0.00017823954718580414,1.0,late_phase_ge7,amp_bulk,q_template_sse_bulk,baseline_bulk,delayed_or_late_charge,any_high_risk_atom,early,amp_low,4693.5999999999985,5.640401324221906,1318.1000000000013,6.601856206928997
58:399989:1517:11021,58,12.0,14,2976.5,1606.5,3.930859471227662,18.5,23.0,6.801780614816059,0.004214341404783695,1.0,late_phase_ge7,amp_bulk,q_template_sse_bulk,baseline_bulk,delayed_or_late_charge,any_high_risk_atom,early,amp_low,4693.5999999999985,5.640401324221906,1318.1000000000013,6.601856206928997
58:400792:2281:11821,58,9.0,10,2916.0,2094.0,16.233291925823266,2091.0,2565.0,5.886341929321872,-0.49615757377475944,1.0,late_phase_ge7,amp_bulk,q_template_sse_top10,baseline_excursion_top10,delayed_or_late_charge,any_high_risk_atom,early,amp_low,4693.5999999999985,5.640401324221906,1318.1000000000013,6.601856206928997
58:401022:2495:12051,58,6.0,8,2916.0,2443.5,1.822330524402381,1555.5,1900.0,3.1323731138545954,0.38351306512758737,1.0,central_phase_6,amp_bulk,q_template_sse_bulk,baseline_excursion_top10,prompt_peak,any_high_risk_atom,early,amp_low,4693.5999999999985,5.640401324221906,1318.1000000000013,6.601856206928997
58:401083:2548:12110,58,9.0,10,2457.5,2347.0,0.020599908135741554,13.0,17.0,5.6,-0.0037900967491236843,1.0,late_phase_ge7,amp_bulk,q_template_sse_bulk,baseline_bulk,delayed_or_late_charge,any_high_risk_atom,early,amp_low,4693.5999999999985,5.640401324221906,1318.1000000000013,6.601856206928997
