method,family,baseline,n_heldout_runs,n_pair_residuals,sigma68_ns,full_rms_ns,abs_residual_p95_ns,tail_frac_vs_traditional_p95,ci_low,ci_high,delta_vs_traditional_ns,delta_ci_low,delta_ci_high
hgb_no_samples_0_3,ml,s02b_global_template_timewalk,7,11460,1.1706765959085075,2.138993260273799,2.791717247752716,0.0237347294938918,1.141403124550574,1.2143084869609315,-0.5216816540715992,-0.7751397527075891,-0.31792506243661617
hgb_full,ml,s02b_global_template_timewalk,7,11460,1.1748920307678556,2.148204356750649,2.7916000159141316,0.023909249563699827,1.1409799297656944,1.2193782337878114,-0.517466219212251,-0.7719893813107072,-0.31620253426962913
hgb_only_samples_0_3,ml,s02b_global_template_timewalk,7,11460,1.2005752086342878,2.155159385687641,2.8351839401689625,0.023385689354275742,1.1648291314104338,1.2390771692194797,-0.49178304134581885,-0.7655499682105137,-0.28933341719999667
hgb_run_family_control,run_family_control,s02b_global_template_timewalk,7,11460,1.2089532275674904,2.1599561379257466,2.830133532749456,0.023211169284467714,1.1616346220205755,1.2645504328329984,-0.4834050224126163,-0.7587352159445664,-0.2627386329766923
mlp_no_samples_0_3,ml,s02b_global_template_timewalk,7,11460,1.32003148314821,2.289816015522615,2.9871689892910807,0.02617801047120419,1.264867002448645,1.3868019062134367,-0.3723267668318966,-0.6610447657874554,-0.13964329626501423
ridge_no_samples_0_3,ml,s02b_global_template_timewalk,7,11460,1.3613118232451822,2.3331517030455378,3.0155068257187394,0.027050610820244327,1.3051513867140254,1.419844580740771,-0.33104642673492446,-0.6357272351488362,-0.11162241748690913
ridge_full,ml,s02b_global_template_timewalk,7,11460,1.3638563353726727,2.33689076749038,3.012708795044478,0.027399650959860383,1.3057185573742132,1.4166878866277863,-0.32850191460743394,-0.635690770068817,-0.10869725459738254
ridge_run_family_control,run_family_control,s02b_global_template_timewalk,7,11460,1.377843822635826,2.36068969234766,3.1398859626243643,0.02975567190226876,1.3234798452834302,1.4312391700887255,-0.3145144273442806,-0.5960630440058449,-0.11562214815384295
ridge_only_samples_0_3,ml,s02b_global_template_timewalk,7,11460,1.3824398958810538,2.3644128539169964,3.1161468696959314,0.02905759162303665,1.3327751001333137,1.4272702848114387,-0.3099183540990529,-0.582566536189679,-0.1082350724529517
early_late_gated_full,ml,s02b_global_template_timewalk,7,11460,1.405613418038484,2.3666892820383922,3.1297063351409333,0.028708551483420594,1.3174832646151249,1.4986852043533108,-0.2867448319416226,-0.584498975447437,-0.024725832276349738
