species,ke_MeV,channel,n_events,scint_gen_mean,wls_gen_mean,arrival_mean,detected_mean,pe_sat_mean,adc_mean,eps_wls_capture,eps_transport,eps_detect_given_arrival,pe_sat_over_detected,adc_over_detected
deuteron,110,readout,2000,231659.604,43228.19,907.0565,274.101,263.722220845446,3893.295,0.18660219241331347,0.020982985871025366,0.30218734996111046,0.9621352014237307,14.203870106274694
deuteron,110,f1far,2000,231659.604,43228.19,906.4945,273.4195,263.0949381711359,3893.0925,0.18660219241331347,0.020969985095374108,0.3016229000837843,0.962239116709437,14.238532730840339
deuteron,110,f2near,2000,231659.604,43228.19,906.8265,273.545,263.2074143991663,3893.486,0.18660219241331347,0.02097766526889051,0.30165086706222194,0.9622088299883613,14.233438739512694
deuteron,110,f2far,2000,231659.604,43228.19,907.0985,274.2045,263.8162659530387,3893.352,0.18660219241331347,0.020983957459241295,0.30228745830800074,0.9621150125291114,14.198716651258458
deuteron,70,readout,2000,364465.1355,68005.3585,1425.843,429.518,404.5324268529444,3891.894,0.1865894755796196,0.020966627210707228,0.30123793433077833,0.9418288100916479,9.061073109858027
deuteron,70,f1far,2000,364465.1355,68005.3585,1426.577,431.3115,406.1161278202608,3892.171,0.1865894755796196,0.020977420477828964,0.3023401470793375,0.9415842791584754,9.02403715180328
deuteron,70,f2near,2000,364465.1355,68005.3585,1428.042,431.063,405.8981025457884,3891.828,0.1865894755796196,0.02099896289790164,0.30185596782167473,0.9416213002410051,9.028443638168898
deuteron,70,f2far,2000,364465.1355,68005.3585,1428.1795,431.3945,406.1959228991311,3891.4665,0.1865894755796196,0.021000984797396517,0.30205901989210737,0.9415880890904523,9.020667857378802
proton,100,readout,2000,149063.846,27820.8135,583.72,175.7695,171.43466887141943,3894.689,0.18663689584394597,0.020981413789355943,0.3011195436168026,0.975337978838305,22.15793411257357
proton,100,f1far,2000,149063.846,27820.8135,585.068,176.2025,171.83882728848204,3894.098,0.18663689584394597,0.021029866721905887,0.30116584738867963,0.9752348989854404,22.100129112810546
proton,100,f2near,2000,149063.846,27820.8135,584.962,176.617,172.23611405482595,3894.436,0.18663689584394597,0.021026056624835934,0.3019290141923749,0.9751955590618454,22.050176370338075
proton,100,f2far,2000,149063.846,27820.8135,583.2135,176.3715,171.9963854804171,3894.71,0.18663689584394597,0.020963207995337737,0.30241326718260125,0.9751937556828463,22.082422613630886
proton,140,readout,2000,117320.533,21901.456,459.2395,138.6505,135.84660405398373,3894.3405,0.18668050203965575,0.020968446116093834,0.3019132718331067,0.9797772388414303,28.08746091791952
proton,140,f1far,2000,117320.533,21901.456,459.2005,138.5335,135.73692459115048,3894.497,0.18668050203965575,0.020966665412564353,0.3016841227307026,0.9798130025672526,28.112312184417487
proton,140,f2near,2000,117320.533,21901.456,459.62,138.893,136.0821378515169,3893.912,0.18668050203965575,0.0209858193902725,0.30219094034202165,0.9797623915641314,28.035336554038
proton,140,f2far,2000,117320.533,21901.456,460.1165,138.838,136.02835826854235,3894.0655,0.18668050203965575,0.021008489115974756,0.30174531884859596,0.979763164757072,28.047548221668418
proton,60,readout,2000,235055.1215,43869.628,920.526,278.1985,267.6168375005012,3894.936,0.18663549094376997,0.020983218731647324,0.30221688469418573,0.9619636248955376,14.000564345242696
proton,60,f1far,2000,235055.1215,43869.628,919.057,277.274,266.7575754072023,3894.6085,0.18663549094376997,0.02094973315023323,0.30169401897814824,0.9620720854000098,14.046064542654559
proton,60,f2near,2000,235055.1215,43869.628,921.7845,278.371,267.76831076839403,3894.4515,0.18663549094376997,0.021011906004764845,0.3019914090549364,0.9619116602246428,13.990148039846105
proton,60,f2far,2000,235055.1215,43869.628,920.4875,277.6355,267.0942724293674,3894.1665,0.18663549094376997,0.02098234113131755,0.30161789269273076,0.9620321336045548,14.02618361124568
