component,run,feature,coefficient_ns_per_raw_unit,standardized_coefficient_ns
population,-1,stave_B4,-3.056536020947367,-1.4408648982352106
population,-1,stave_B6,1.390137173741316,0.6553169482213198
population,-1,stave_B8,1.6663988472150097,0.7855479500181141
population,-1,log_amp,-1.792099447776546,-0.5856533323377024
population,-1,inv_amp_1000,-2.7960689752475933,-0.3903656984388056
population,-1,inv_sqrt_amp_1000,-1.2113308998170804,-0.12662753416513145
run_deviation,44,stave_B4,-2.0130301693411514,-0.9489515223161484
run_deviation,44,stave_B6,0.8981185456218038,0.4233771426123819
run_deviation,44,stave_B8,1.1149116237193872,0.5255743797037853
run_deviation,44,log_amp,-0.9374363940814673,-0.30635171989456833
run_deviation,44,inv_amp_1000,-1.2806965182257228,-0.17880102216758115
run_deviation,44,inv_sqrt_amp_1000,0.5734518848835997,0.05994629391202882
run_deviation,45,stave_B4,-2.3354418989372596,-1.1009378692038085
run_deviation,45,stave_B6,1.115933092100403,0.5260559045164411
run_deviation,45,stave_B8,1.2195088068343674,0.5748819646861939
run_deviation,45,log_amp,-2.363688487483493,-0.7724471100197436
run_deviation,45,inv_amp_1000,-2.6515401964341003,-0.37018769918861155
run_deviation,45,inv_sqrt_amp_1000,-2.4252463421727666,-0.2535252457431052
run_deviation,46,stave_B4,-1.4761227498111915,-0.69585093750348
run_deviation,46,stave_B6,0.4811415091364732,0.2268122825471514
run_deviation,46,stave_B8,0.9949812406747167,0.46903865495632785
run_deviation,46,log_amp,0.6564080897536718,0.21451241760864448
run_deviation,46,inv_amp_1000,-1.459895913773408,-0.20381946692772498
run_deviation,46,inv_sqrt_amp_1000,-2.0426057178711328,-0.21352557370135422
run_deviation,47,stave_B4,-1.9432487954397955,-0.9160562671920401
run_deviation,47,stave_B6,0.6335887966110371,0.2986766230449904
run_deviation,47,stave_B8,1.309659998828735,0.6173796441470387
run_deviation,47,log_amp,0.9280698267746468,0.303290750614872
run_deviation,47,inv_amp_1000,1.398621173835513,0.19526475784713285
run_deviation,47,inv_sqrt_amp_1000,-0.2893235194905363,-0.030244686942763787
run_deviation,48,stave_B4,-2.1956793980892195,-1.0350531944669825
run_deviation,48,stave_B6,1.0566614660442686,0.4981149920389441
run_deviation,48,stave_B8,1.1390179320448663,0.5369382024279985
run_deviation,48,log_amp,0.20651054537241315,0.06748709688532326
run_deviation,48,inv_amp_1000,1.262031091082181,0.17619509843392142
run_deviation,48,inv_sqrt_amp_1000,-0.5500294911178695,-0.05749781351146525
run_deviation,49,stave_B4,-2.321386552836666,-1.0943121155107063
run_deviation,49,stave_B6,1.2572442753332576,0.5926706351307381
run_deviation,49,stave_B8,1.0641422775029359,0.5016414803797452
run_deviation,49,log_amp,0.5841542807898269,0.1909000650429046
run_deviation,49,inv_amp_1000,1.5982523290883952,0.22313572814161076
run_deviation,49,inv_sqrt_amp_1000,0.052761515173172686,0.005515471095638618
run_deviation,50,stave_B4,-2.191240833230538,-1.0329608349267758
run_deviation,50,stave_B6,1.0005888196505757,0.4716820930362405
run_deviation,50,stave_B8,1.1906520135795393,0.5612787418903359
run_deviation,50,log_amp,0.10450335797013728,0.03415141939339628
run_deviation,50,inv_amp_1000,1.4722473489629038,0.2055438795467099
run_deviation,50,inv_sqrt_amp_1000,-1.7155169241171724,-0.17933306081130432
run_deviation,51,stave_B4,-3.4167917955962936,-1.6106910990457886
run_deviation,51,stave_B6,1.8010867947213975,0.8490404573686899
run_deviation,51,stave_B8,1.6157050008747942,0.7616506416770507
run_deviation,51,log_amp,-4.123290865483546,-1.3474804864005225
run_deviation,51,inv_amp_1000,-7.152230892569434,-0.9985396041691845
run_deviation,51,inv_sqrt_amp_1000,-0.7957490091159879,-0.08318431805373766
run_deviation,52,stave_B4,-2.2043741950901525,-1.0391519610805826
run_deviation,52,stave_B6,0.9808631672785362,0.4623833313325088
run_deviation,52,stave_B8,1.223511027811629,0.5767686297480797
run_deviation,52,log_amp,0.7565792510841656,0.24724808666435874
run_deviation,52,inv_amp_1000,1.6253169320578924,0.22691428036427946
run_deviation,52,inv_sqrt_amp_1000,-0.04288671148374754,-0.004483199862612637
run_deviation,53,stave_B4,-1.88761474486861,-0.8898301242428667
run_deviation,53,stave_B6,0.9823394766955186,0.4630792702657607
run_deviation,53,stave_B8,0.9052752681727008,0.4267508539769218
run_deviation,53,log_amp,-2.626544749001894,-0.8583478370553321
run_deviation,53,inv_amp_1000,-4.863909193846586,-0.6790616849610155
run_deviation,53,inv_sqrt_amp_1000,-0.24122832289917023,-0.025217013537857182
run_deviation,54,stave_B4,-2.009766133057561,-0.947412840856038
run_deviation,54,stave_B6,0.9785561030758185,0.46129577083759254
run_deviation,54,stave_B8,1.0312100299819804,0.4861170700185576
run_deviation,54,log_amp,-2.9992395949189428,-0.9801435212888234
run_deviation,54,inv_amp_1000,-5.521146754158192,-0.7708201507007735
run_deviation,54,inv_sqrt_amp_1000,-0.7657766501926382,-0.08005113132156633
run_deviation,55,stave_B4,-2.1289018734539504,-1.0035739674666824
run_deviation,55,stave_B6,0.9934895567763711,0.4683354684230565
