max_iter,learning_rate,max_leaf_nodes,l2_regularization,max_bins,random_state,fold,sigma68_ns,n_pair_residuals
60,0.05,7,0.0,64,20260610,0,1.5573393563037443,654
60,0.05,7,0.0,64,20260610,1,1.5745114574677075,651
60,0.05,7,0.0,64,20260610,2,1.377746991281537,645
60,0.05,7,0.0,64,20260610,-1,1.5031992683509963,0
60,0.05,7,0.1,64,20260610,0,1.530400497435085,654
60,0.05,7,0.1,64,20260610,1,1.5420424277660558,651
60,0.05,7,0.1,64,20260610,2,1.3499269853929763,645
60,0.05,7,0.1,64,20260610,-1,1.4741233035313723,0
60,0.05,15,0.0,64,20260610,0,1.3621935922356665,654
60,0.05,15,0.0,64,20260610,1,1.4855688291586873,651
60,0.05,15,0.0,64,20260610,2,1.2360781074028488,645
60,0.05,15,0.0,64,20260610,-1,1.361280176265734,0
60,0.05,15,0.1,64,20260610,0,1.3875538975813069,654
60,0.05,15,0.1,64,20260610,1,1.4643632180926147,651
60,0.05,15,0.1,64,20260610,2,1.234942811692591,645
60,0.05,15,0.1,64,20260610,-1,1.362286642455504,0
100,0.05,7,0.0,64,20260610,0,1.571229916647548,654
100,0.05,7,0.0,64,20260610,1,1.6246554815734022,651
100,0.05,7,0.0,64,20260610,2,1.3729973940242761,645
100,0.05,7,0.0,64,20260610,-1,1.5229609307484087,0
100,0.05,7,0.1,64,20260610,0,1.5744196265751296,654
100,0.05,7,0.1,64,20260610,1,1.6600747239338354,651
100,0.05,7,0.1,64,20260610,2,1.3573284979205682,645
100,0.05,7,0.1,64,20260610,-1,1.5306076161431779,0
100,0.05,15,0.0,64,20260610,0,1.5075182232852944,654
100,0.05,15,0.0,64,20260610,1,1.587087322805104,651
100,0.05,15,0.0,64,20260610,2,1.3458104297239242,645
100,0.05,15,0.0,64,20260610,-1,1.4801386586047742,0
100,0.05,15,0.1,64,20260610,0,1.4831101365756467,654
100,0.05,15,0.1,64,20260610,1,1.6292393846043431,651
100,0.05,15,0.1,64,20260610,2,1.340419245317599,645
100,0.05,15,0.1,64,20260610,-1,1.4842562554991963,0
