alpha_global,alpha_dev,fold,sigma68_ns,n_pair_residuals
0.01,1.0,0,1.6560117245687924,498
0.01,1.0,1,1.7673907544152934,474
0.01,1.0,2,1.5153879795972895,489
0.01,1.0,3,1.6587748258733175,489
0.01,1.0,-1,1.649391321113673,0
0.01,10.0,0,1.7000095394920214,498
0.01,10.0,1,1.7755523468155383,474
0.01,10.0,2,1.554505913271426,489
0.01,10.0,3,1.701470752674741,489
0.01,10.0,-1,1.6828846380634317,0
0.01,100.0,0,1.7401654661904438,498
0.01,100.0,1,1.7823688396179451,474
0.01,100.0,2,1.5946195701721335,489
0.01,100.0,3,1.7462500056890735,489
0.01,100.0,-1,1.715850970417399,0
0.01,1000.0,0,1.7269038926177482,498
0.01,1000.0,1,1.775314788581348,474
0.01,1000.0,2,1.6090441839843528,489
0.01,1000.0,3,1.7358891365669782,489
0.01,1000.0,-1,1.711788000437607,0
0.01,10000.0,0,1.7152177232772494,498
0.01,10000.0,1,1.7730779237305716,474
0.01,10000.0,2,1.611020354082444,489
0.01,10000.0,3,1.7318023215971772,489
0.01,10000.0,-1,1.7077795806718605,0
0.1,1.0,0,1.6454469589130698,498
0.1,1.0,1,1.7616274194100028,474
0.1,1.0,2,1.4970954569070127,489
0.1,1.0,3,1.6569386299767506,489
0.1,1.0,-1,1.640277116301709,0
0.1,10.0,0,1.7204856835318343,498
0.1,10.0,1,1.7996371154998876,474
0.1,10.0,2,1.5674086571164845,489
0.1,10.0,3,1.7292239606960687,489
0.1,10.0,-1,1.7041888542110688,0
0.1,100.0,0,1.760978446143217,498
0.1,100.0,1,1.8066068812022638,474
0.1,100.0,2,1.617068606667733,489
0.1,100.0,3,1.7711893566314783,489
0.1,100.0,-1,1.738960822661173,0
0.1,1000.0,0,1.7444741543405988,498
0.1,1000.0,1,1.798619146833312,474
0.1,1000.0,2,1.6233846789426192,489
0.1,1000.0,3,1.7698295914487905,489
0.1,1000.0,-1,1.7340768928913302,0
0.1,10000.0,0,1.7324001601519212,498
0.1,10000.0,1,1.7968386181573646,474
0.1,10000.0,2,1.6244593107636016,489
0.1,10000.0,3,1.7619910291828504,489
0.1,10000.0,-1,1.7289222795639345,0
1.0,1.0,0,1.3831685820164288,498
1.0,1.0,1,1.4869315813286543,474
1.0,1.0,2,1.2377346250589323,489
1.0,1.0,3,1.3946789640675714,489
1.0,1.0,-1,1.3756284381178967,0
1.0,10.0,0,1.710055253844194,498
1.0,10.0,1,1.79650326751516,474
1.0,10.0,2,1.554311710517704,489
1.0,10.0,3,1.7186450840311316,489
1.0,10.0,-1,1.6948788289770473,0
1.0,100.0,0,1.781835186117706,498
1.0,100.0,1,1.8338133038078728,474
1.0,100.0,2,1.6339848503420298,489
1.0,100.0,3,1.8012424037886126,489
1.0,100.0,-1,1.7627189360140552,0
1.0,1000.0,0,1.7720905533160778,498
1.0,1000.0,1,1.8285238286177103,474
1.0,1000.0,2,1.6486212756275918,489
1.0,1000.0,3,1.80495573875185,489
1.0,1000.0,-1,1.7635478490783076,0
1.0,10000.0,0,1.7588145726872333,498
1.0,10000.0,1,1.826476747564981,474
1.0,10000.0,2,1.649894733848019,489
1.0,10000.0,3,1.7982414614684652,489
1.0,10000.0,-1,1.7583568788921746,0
10.0,1.0,0,0.4395081964297522,498
10.0,1.0,1,0.4913534577423136,474
10.0,1.0,2,0.5701380114507077,489
10.0,1.0,3,0.43415770412963584,489
10.0,1.0,-1,0.48378934243810234,0
10.0,10.0,0,1.409367695053376,498
10.0,10.0,1,1.489862098470768,474
10.0,10.0,2,1.2555140285410173,489
10.0,10.0,3,1.4182142923868672,489
10.0,10.0,-1,1.3932395286130073,0
10.0,100.0,0,1.743414548780071,498
10.0,100.0,1,1.8020919488577243,474
10.0,100.0,2,1.5896359974294119,489
10.0,100.0,3,1.7498853489197126,489
10.0,100.0,-1,1.7212569609967299,0
10.0,1000.0,0,1.7651897412419402,498
10.0,1000.0,1,1.8260279956901628,474
10.0,1000.0,2,1.6429697063763984,489
10.0,1000.0,3,1.784524773607676,489
10.0,1000.0,-1,1.7546780542290443,0
10.0,10000.0,0,1.7539545159781698,498
10.0,10000.0,1,1.8262335014074846,474
10.0,10000.0,2,1.6477164770611827,489
10.0,10000.0,3,1.77881339991017,489
10.0,10000.0,-1,1.7516794735892518,0
100.0,1.0,0,1.9943283147326967,498
100.0,1.0,1,2.016348403700639,474
100.0,1.0,2,2.0321714886695683,489
100.0,1.0,3,1.992374648156664,489
100.0,1.0,-1,2.0088057138148923,0
100.0,10.0,0,0.5046880797552342,498
100.0,10.0,1,0.5213618410987855,474
100.0,10.0,2,0.6287093924872624,489
100.0,10.0,3,0.505957729187221,489
100.0,10.0,-1,0.5401792606321258,0
100.0,100.0,0,1.3105580245020492,498
100.0,100.0,1,1.3851833239830664,474
100.0,100.0,2,1.1673300088450325,489
100.0,100.0,3,1.3016522187581776,489
100.0,100.0,-1,1.2911808940220815,0
100.0,1000.0,0,1.606898984745114,498
100.0,1000.0,1,1.6840157481545792,474
100.0,1000.0,2,1.5027371401447662,489
100.0,1000.0,3,1.6124089099574606,489
100.0,1000.0,-1,1.60151519575048,0
100.0,10000.0,0,1.6304259669193275,498
100.0,10000.0,1,1.7194962379719987,474
100.0,10000.0,2,1.5425192886892245,489
100.0,10000.0,3,1.644222287854785,489
100.0,10000.0,-1,1.6341659453588337,0
