candidate,alpha,fold,sigma68_ns,n_pair_residuals,n_features
amp_only,0.0,0,1.7096252960732237,498,6
amp_only,0.0,1,1.7709079178856233,474,6
amp_only,0.0,2,1.608700424832792,489,6
amp_only,0.0,3,1.7259966674414193,489,6
amp_only,0.0,-1,1.7038075765582645,0,6
amp_only,0.01,0,1.7132535838675307,498,6
amp_only,0.01,1,1.772803689704496,474,6
amp_only,0.01,2,1.6107226412728495,489,6
amp_only,0.01,3,1.7307933312352646,489,6
amp_only,0.01,-1,1.7068933115200353,0,6
amp_only,0.1,0,1.730487456395951,498,6
amp_only,0.1,1,1.7966759287670744,474,6
amp_only,0.1,2,1.6242543871042596,489,6
amp_only,0.1,3,1.7605129298810631,489,6
amp_only,0.1,-1,1.727982675537087,0,6
amp_only,1.0,0,1.7566670617135642,498,6
amp_only,1.0,1,1.8261944076190506,474,6
amp_only,1.0,2,1.6498756879003988,489,6
amp_only,1.0,3,1.7965669745054966,489,6
amp_only,1.0,-1,1.7573260329346274,0,6
amp_only,10.0,0,1.7521082330184514,498,6
amp_only,10.0,1,1.825910508019589,474,6
amp_only,10.0,2,1.6480729152147873,489,6
amp_only,10.0,3,1.7787581830765937,489,6
amp_only,10.0,-1,1.7512124598323553,0,6
amp_only,100.0,0,1.6320979023953672,498,6
amp_only,100.0,1,1.7233716445646918,474,6
amp_only,100.0,2,1.546667760396601,489,6
amp_only,100.0,3,1.6464407709501705,489,6
amp_only,100.0,-1,1.6371445195767076,0,6
