run,group,stave,selected_pulses
44,sample_i_analysis,B2,1884
44,sample_i_analysis,B4,93
44,sample_i_analysis,B6,44
44,sample_i_analysis,B8,17
45,sample_i_analysis,B2,22786
45,sample_i_analysis,B4,969
45,sample_i_analysis,B6,401
45,sample_i_analysis,B8,177
46,sample_i_analysis,B2,675
46,sample_i_analysis,B4,7
46,sample_i_analysis,B6,3
46,sample_i_analysis,B8,2
47,sample_i_analysis,B2,5116
47,sample_i_analysis,B4,85
47,sample_i_analysis,B6,50
47,sample_i_analysis,B8,25
48,sample_i_analysis,B2,13044
48,sample_i_analysis,B4,599
48,sample_i_analysis,B6,245
48,sample_i_analysis,B8,112
49,sample_i_analysis,B2,13779
49,sample_i_analysis,B4,640
49,sample_i_analysis,B6,281
49,sample_i_analysis,B8,115
50,sample_i_analysis,B2,34088
50,sample_i_analysis,B4,659
50,sample_i_analysis,B6,330
50,sample_i_analysis,B8,140
51,sample_i_analysis,B2,14200
51,sample_i_analysis,B4,303
51,sample_i_analysis,B6,177
51,sample_i_analysis,B8,60
52,sample_i_analysis,B2,6893
52,sample_i_analysis,B4,148
52,sample_i_analysis,B6,76
52,sample_i_analysis,B8,35
53,sample_i_analysis,B2,31225
53,sample_i_analysis,B4,559
53,sample_i_analysis,B6,296
53,sample_i_analysis,B8,120
54,sample_i_analysis,B2,29493
54,sample_i_analysis,B4,536
54,sample_i_analysis,B6,298
54,sample_i_analysis,B8,113
55,sample_i_analysis,B2,16735
55,sample_i_analysis,B4,372
55,sample_i_analysis,B6,199
55,sample_i_analysis,B8,81
56,sample_i_analysis,B2,38730
56,sample_i_analysis,B4,825
56,sample_i_analysis,B6,421
56,sample_i_analysis,B8,172
57,sample_i_analysis,B2,12774
57,sample_i_analysis,B4,656
57,sample_i_analysis,B6,273
57,sample_i_analysis,B8,130
58,sample_ii_analysis,B2,15791
58,sample_ii_analysis,B4,591
58,sample_ii_analysis,B6,285
58,sample_ii_analysis,B8,114
59,sample_ii_analysis,B2,13565
59,sample_ii_analysis,B4,4527
59,sample_ii_analysis,B6,2366
59,sample_ii_analysis,B8,919
60,sample_ii_analysis,B2,9873
60,sample_ii_analysis,B4,4040
60,sample_ii_analysis,B6,2189
60,sample_ii_analysis,B8,927
61,sample_ii_analysis,B2,11015
61,sample_ii_analysis,B4,4401
61,sample_ii_analysis,B6,2490
61,sample_ii_analysis,B8,1059
62,sample_ii_analysis,B2,11635
62,sample_ii_analysis,B4,4183
62,sample_ii_analysis,B6,2342
62,sample_ii_analysis,B8,929
63,sample_ii_analysis,B2,14566
63,sample_ii_analysis,B4,2645
63,sample_ii_analysis,B6,1153
63,sample_ii_analysis,B8,453
65,sample_ii_analysis,B2,11768
65,sample_ii_analysis,B4,842
65,sample_ii_analysis,B6,323
65,sample_ii_analysis,B8,105
