heldout_run,method,alpha,cv_mae_adc,learning_rate,max_leaf_nodes
58,ridge,0.1,160.30394321266488,,
58,ridge,1.0,160.30897204128527,,
58,ridge,10.0,160.36479554120774,,
58,ridge,100.0,160.9849860776069,,
58,ridge,1000.0,163.33594208166315,,
58,gradient_boosted_trees,,72.61668104018808,0.04,15.0
58,gradient_boosted_trees,,56.43767978765528,0.04,31.0
58,gradient_boosted_trees,,60.88009837558903,0.08,15.0
58,gradient_boosted_trees,,52.426816776982925,0.08,31.0
59,ridge,0.1,151.7960401599994,,
59,ridge,1.0,151.80356113784177,,
59,ridge,10.0,151.87699229207266,,
59,ridge,100.0,152.50390707159227,,
59,ridge,1000.0,154.52708992640032,,
59,gradient_boosted_trees,,68.11879232909443,0.04,15.0
59,gradient_boosted_trees,,53.805529552080145,0.04,31.0
59,gradient_boosted_trees,,57.51934972558823,0.08,15.0
59,gradient_boosted_trees,,49.202071706512804,0.08,31.0
60,ridge,0.1,153.3049591782349,,
60,ridge,1.0,153.30780899002275,,
60,ridge,10.0,153.35139025240878,,
60,ridge,100.0,153.93931689140044,,
60,ridge,1000.0,155.39925638551077,,
60,gradient_boosted_trees,,75.48946228733911,0.04,15.0
60,gradient_boosted_trees,,59.87123803077685,0.04,31.0
60,gradient_boosted_trees,,68.35757260269669,0.08,15.0
60,gradient_boosted_trees,,55.449847953874645,0.08,31.0
61,ridge,0.1,152.846635253901,,
61,ridge,1.0,152.8434002414126,,
61,ridge,10.0,152.8255915309495,,
61,ridge,100.0,153.04505102347434,,
61,ridge,1000.0,155.09362864286308,,
61,gradient_boosted_trees,,72.88783119804481,0.04,15.0
61,gradient_boosted_trees,,57.922144066252905,0.04,31.0
61,gradient_boosted_trees,,64.42260303916173,0.08,15.0
61,gradient_boosted_trees,,54.13447331811074,0.08,31.0
62,ridge,0.1,154.18323839309434,,
62,ridge,1.0,154.18670551287153,,
62,ridge,10.0,154.2253304126022,,
62,ridge,100.0,154.73424220796386,,
62,ridge,1000.0,157.16890416569595,,
62,gradient_boosted_trees,,72.06183071829142,0.04,15.0
62,gradient_boosted_trees,,56.91400680417604,0.04,31.0
62,gradient_boosted_trees,,61.330380243229804,0.08,15.0
62,gradient_boosted_trees,,52.23265616804964,0.08,31.0
63,ridge,0.1,150.32627308246936,,
63,ridge,1.0,150.32587914373758,,
63,ridge,10.0,150.332540864954,,
63,ridge,100.0,150.6255541973487,,
63,ridge,1000.0,151.84629752196702,,
63,gradient_boosted_trees,,69.40298939293966,0.04,15.0
63,gradient_boosted_trees,,55.01366019529215,0.04,31.0
63,gradient_boosted_trees,,59.82757698253632,0.08,15.0
63,gradient_boosted_trees,,52.17311133366019,0.08,31.0
65,ridge,0.1,154.39605657704928,,
65,ridge,1.0,154.39699470470055,,
65,ridge,10.0,154.41354719004366,,
65,ridge,100.0,154.74517425717437,,
65,ridge,1000.0,156.57793550820006,,
65,gradient_boosted_trees,,70.82534277366103,0.04,15.0
65,gradient_boosted_trees,,56.750291500920106,0.04,31.0
65,gradient_boosted_trees,,64.40552728501267,0.08,15.0
65,gradient_boosted_trees,,55.5074308901705,0.08,31.0
