method,value,reference_value,delta,tolerance,pass
hgb_timewalk,1.3941943679323168,1.3929711020483486,0.0012232658839681498,0.005,True
phys_signed_inverse_amp,1.6043573218297749,1.6043573218297749,0.0,1e-09,True
s03a_amp_only,1.551091710977783,1.5510917109777833,-2.220446049250313e-16,1e-09,True
s03b_monotone_binned,1.6451494274970766,1.6451494274970766,0.0,1e-09,True
template_phase_base,2.7414145300852155,2.7414145300852155,0.0,1e-09,True
