power,fold,sigma68_ns,n_pair_residuals,heldout_run
0.5,0,2.1704208475818336,2997,58
0.5,1,1.3851136932488244,3534,58
0.5,2,1.460672209281724,4710,58
0.5,-1,1.6720689167041274,0,58
1.0,0,2.160052653305317,2997,58
1.0,1,1.351560775974443,3534,58
1.0,2,1.453966162938415,4710,58
1.0,-1,1.6551931974060583,0,58
0.5,0,2.22239562324503,2799,59
0.5,1,1.3430697829604505,2841,59
0.5,2,1.397296995902649,3531,59
0.5,-1,1.6542541340360433,0,59
1.0,0,2.215830902449377,2799,59
1.0,1,1.2956677704747035,2841,59
1.0,2,1.383811500297281,3531,59
1.0,-1,1.6317700577404537,0,59
0.5,0,2.1900344480855227,2799,60
0.5,1,1.4275293152990187,2838,60
0.5,2,1.3560905751998675,3399,60
0.5,-1,1.6578847795281364,0,60
1.0,0,2.1864546480588096,2799,60
1.0,1,1.4069466001838646,2838,60
1.0,2,1.3227465113345316,3399,60
1.0,-1,1.6387159198590686,0,60
0.5,0,1.5032201577977333,2622,61
0.5,1,1.5920429875082276,2640,61
0.5,2,1.607956299523014,3399,61
0.5,-1,1.5677398149429917,0,61
1.0,0,1.496627577582227,2622,61
1.0,1,1.574564410282831,2640,61
1.0,2,1.588250090066929,3399,61
1.0,-1,1.5531473593106622,0,61
0.5,0,2.1718046177730237,2799,62
0.5,1,1.353341557370781,2841,62
0.5,2,1.4038824086283461,3399,62
0.5,-1,1.6430095279240504,0,62
1.0,0,2.1712376431998597,2799,62
1.0,1,1.3338748847273343,2841,62
1.0,2,1.3774550086911646,3399,62
1.0,-1,1.6275225122061194,0,62
0.5,0,2.1298787262963246,2799,63
0.5,1,1.3561778870119952,2841,63
0.5,2,1.4470768092596438,4710,63
0.5,-1,1.6443778075226545,0,63
1.0,0,2.1212088718356115,2799,63
1.0,1,1.350394262881764,2841,63
1.0,2,1.4253578845469241,4710,63
1.0,-1,1.6323203397547665,0,63
0.5,0,2.158173236500896,3018,65
0.5,1,1.396608550838877,3534,65
0.5,2,1.4730091261713416,4710,65
0.5,-1,1.675930304503705,0,65
1.0,0,2.1504259279282074,3018,65
1.0,1,1.3685503998324435,3534,65
1.0,2,1.4604227123298195,4710,65
1.0,-1,1.6597996800301569,0,65
