power,shrink_lambda,fold,sigma68_ns,n_pair_residuals,fit_status,heldout_run
0.5,0.0,0,2.6190178003928413,2997,1,58
0.5,0.0,1,1.9327440986480628,3534,1,58
0.5,0.0,2,1.7752580191947582,4710,2,58
0.5,0.0,-1,2.1090066394118874,0,0,58
0.5,0.1,0,2.237525772545287,2997,1,58
0.5,0.1,1,1.4035925680036994,3534,1,58
0.5,0.1,2,1.517005651063206,4710,2,58
0.5,0.1,-1,1.7193746638707308,0,0,58
0.5,1.0,0,2.237818501142484,2997,1,58
0.5,1.0,1,1.398761911235733,3534,1,58
0.5,1.0,2,1.5095885920432723,4710,2,58
0.5,1.0,-1,1.7153896681404965,0,0,58
0.5,10.0,0,2.22744021553209,2997,2,58
0.5,10.0,1,1.3687715542673788,3534,1,58
0.5,10.0,2,1.4617029236238386,4710,1,58
0.5,10.0,-1,1.6859715644744357,0,0,58
0.5,100.0,0,2.122060208094899,2997,3,58
0.5,100.0,1,1.2361190369752373,3534,1,58
0.5,100.0,2,1.3743405454525277,4710,3,58
0.5,100.0,-1,1.5775065968408881,0,0,58
1.0,0.0,0,2.1955819566910906,2997,1,58
1.0,0.0,1,1.3872736545399822,3534,1,58
1.0,0.0,2,1.3714478561786043,4710,1,58
1.0,0.0,-1,1.6514344891365589,0,0,58
1.0,0.1,0,2.1849656197154204,2997,1,58
1.0,0.1,1,1.3316598721937383,3534,1,58
1.0,0.1,2,1.477961193844258,4710,1,58
1.0,0.1,-1,1.6648622285844723,0,0,58
1.0,1.0,0,2.1847016877902394,2997,1,58
1.0,1.0,1,1.3296674939561668,3534,1,58
1.0,1.0,2,1.4800254760313496,4710,1,58
1.0,1.0,-1,1.6647982192592519,0,0,58
1.0,10.0,0,2.17961694285404,2997,1,58
1.0,10.0,1,1.3157798649933983,3534,1,58
1.0,10.0,2,1.4823823100972735,4710,2,58
1.0,10.0,-1,1.6592597059815706,0,0,58
1.0,100.0,0,2.117775200497546,2997,3,58
1.0,100.0,1,1.2531285803327024,3534,1,58
1.0,100.0,2,1.381955070248204,4710,1,58
1.0,100.0,-1,1.5842862836928175,0,0,58
0.5,0.0,0,2.6680325725254432,2799,1,59
0.5,0.0,1,1.9487885421524083,2841,1,59
0.5,0.0,2,1.8845121520280095,3531,2,59
0.5,0.0,-1,2.1671110889019536,0,0,59
0.5,0.1,0,2.267208598120083,2799,1,59
0.5,0.1,1,1.454462814958478,2841,1,59
0.5,0.1,2,1.545926875695633,3531,2,59
0.5,0.1,-1,1.7558660962580646,0,0,59
0.5,1.0,0,2.2671295226817305,2799,1,59
0.5,1.0,1,1.4510243294579381,2841,1,59
0.5,1.0,2,1.5358769778618089,3531,2,59
0.5,1.0,-1,1.7513436100004924,0,0,59
0.5,10.0,0,2.2398148301204945,2799,2,59
0.5,10.0,1,1.4148602504257553,2841,1,59
0.5,10.0,2,1.4711135927263812,3531,1,59
0.5,10.0,-1,1.70859622442421,0,0,59
0.5,100.0,0,2.1692062457413925,2799,3,59
0.5,100.0,1,1.2326834485367015,2841,1,59
0.5,100.0,2,1.3330607354066422,3531,3,59
0.5,100.0,-1,1.578316809894912,0,0,59
1.0,0.0,0,2.2185615056606776,2799,1,59
1.0,0.0,1,1.403250190644838,2841,1,59
1.0,0.0,2,1.4421605668881803,3531,1,59
1.0,0.0,-1,1.6879907543978987,0,0,59
1.0,0.1,0,2.20584157038044,2799,2,59
1.0,0.1,1,1.3370789054393035,2841,1,59
1.0,0.1,2,1.4815758376864472,3531,1,59
1.0,0.1,-1,1.6748321045020635,0,0,59
1.0,1.0,0,2.2064264867406505,2799,2,59
1.0,1.0,1,1.336583492065302,2841,1,59
1.0,1.0,2,1.4732862144941405,3531,1,59
1.0,1.0,-1,1.672098731100031,0,0,59
1.0,10.0,0,2.211256185288026,2799,1,59
1.0,10.0,1,1.3196968302129222,2841,1,59
1.0,10.0,2,1.442469308883922,3531,2,59
1.0,10.0,-1,1.6578074414616235,0,0,59
1.0,100.0,0,2.177563434731889,2799,1,59
1.0,100.0,1,1.2295764369202622,2841,1,59
1.0,100.0,2,1.3356305629640488,3531,1,59
1.0,100.0,-1,1.5809234782054,0,0,59
0.5,0.0,0,2.6605055411796634,2799,1,60
0.5,0.0,1,1.8090556819860613,2838,1,60
0.5,0.0,2,2.035335294388131,3399,1,60
0.5,0.0,-1,2.1682988391846187,0,0,60
0.5,0.1,0,2.28527127329268,2799,1,60
0.5,0.1,1,1.5016655815557196,2838,1,60
0.5,0.1,2,1.5316079469550772,3399,1,60
0.5,0.1,-1,1.7728482672678254,0,0,60
0.5,1.0,0,2.28416853607883,2799,1,60
0.5,1.0,1,1.5060450559757448,2838,1,60
0.5,1.0,2,1.5253627045167715,3399,1,60
0.5,1.0,-1,1.771858765523782,0,0,60
0.5,10.0,0,2.26681791256806,2799,1,60
0.5,10.0,1,1.4537167637590305,2838,1,60
0.5,10.0,2,1.471377519082522,3399,1,60
0.5,10.0,-1,1.7306373984698709,0,0,60
0.5,100.0,0,2.1709159065540184,2799,3,60
0.5,100.0,1,1.314527905282504,2838,3,60
0.5,100.0,2,1.2840114790050483,3399,1,60
0.5,100.0,-1,1.5898184302805236,0,0,60
1.0,0.0,0,2.2416513279919803,2799,1,60
1.0,0.0,1,1.3626738820976014,2838,1,60
1.0,0.0,2,1.453146221692036,3399,1,60
1.0,0.0,-1,1.6858238105938728,0,0,60
1.0,0.1,0,2.1992928621823675,2799,1,60
1.0,0.1,1,1.411410653058285,2838,1,60
1.0,0.1,2,1.428938741803194,3399,1,60
1.0,0.1,-1,1.6798807523479489,0,0,60
1.0,1.0,0,2.1998881985587775,2799,1,60
1.0,1.0,1,1.4141324417485457,2838,1,60
1.0,1.0,2,1.4236913602128576,3399,1,60
1.0,1.0,-1,1.6792373335067268,0,0,60
1.0,10.0,0,2.2012189477142368,2799,1,60
1.0,10.0,1,1.4162212785555948,2838,1,60
1.0,10.0,2,1.3813801743833167,3399,1,60
1.0,10.0,-1,1.6662734668843828,0,0,60
1.0,100.0,0,2.1717797616164405,2799,2,60
1.0,100.0,1,1.3155751658132715,2838,1,60
1.0,100.0,2,1.2718620855358322,3399,1,60
1.0,100.0,-1,1.5864056709885148,0,0,60
0.5,0.0,0,1.9262659339172792,2622,1,61
0.5,0.0,1,1.6495415570941416,2640,1,61
0.5,0.0,2,2.0511667284992363,3399,1,61
0.5,0.0,-1,1.875658073170219,0,0,61
0.5,0.1,0,1.6323681019411884,2622,1,61
0.5,0.1,1,1.6124467386938843,2640,1,61
0.5,0.1,2,1.6377188364622903,3399,1,61
0.5,0.1,-1,1.6275112256991209,0,0,61
0.5,1.0,0,1.6283212218697547,2622,1,61
