feature,coefficient,lower_bound,at_positive_bound,power,shrink_lambda,fit_status,heldout_run
intercept_B4,-4.384337290736009,,False,0.5,100.0,2,58
intercept_B6,1.9531241990711716,,False,0.5,100.0,2,58
intercept_B8,0.5652353977413596,,False,0.5,100.0,2,58
run_offset_60,0.018822488666672008,,False,0.5,100.0,2,58
run_offset_61,-0.0024959173868909284,,False,0.5,100.0,2,58
run_offset_62,0.08511829034256024,,False,0.5,100.0,2,58
run_offset_63,0.029161739101300415,,False,0.5,100.0,2,58
run_offset_65,0.0030387018902893197,,False,0.5,100.0,2,58
slope_global,0.9953901416449915,0.0,False,0.5,100.0,2,58
slope_stave_B4,0.3539202715129974,0.0,False,0.5,100.0,2,58
slope_stave_B6,0.8826157162442612,0.0,False,0.5,100.0,2,58
slope_stave_B8,1.749634437177716,0.0,False,0.5,100.0,2,58
slope_run_59_B4,1.4409440299721961e-09,0.0,True,0.5,100.0,2,58
slope_run_59_B6,0.9250421430260728,0.0,False,0.5,100.0,2,58
slope_run_59_B8,2.1651857406979786,0.0,False,0.5,100.0,2,58
slope_run_60_B4,0.13746656461378234,0.0,False,0.5,100.0,2,58
slope_run_60_B6,1.136801346392411,0.0,False,0.5,100.0,2,58
slope_run_60_B8,1.8545301715541218,0.0,False,0.5,100.0,2,58
slope_run_61_B4,1.0895790690619591,0.0,False,0.5,100.0,2,58
slope_run_61_B6,0.475283902043582,0.0,False,0.5,100.0,2,58
slope_run_61_B8,1.5226063142530695,0.0,False,0.5,100.0,2,58
slope_run_62_B4,0.0020678454344207364,0.0,False,0.5,100.0,2,58
slope_run_62_B6,0.861755543221461,0.0,False,0.5,100.0,2,58
slope_run_62_B8,1.8600833046091723,0.0,False,0.5,100.0,2,58
slope_run_63_B4,0.016574712995403678,0.0,False,0.5,100.0,2,58
slope_run_63_B6,0.9333450259262228,0.0,False,0.5,100.0,2,58
slope_run_63_B8,1.9858900001389197,0.0,False,0.5,100.0,2,58
slope_run_65_B4,0.2363635684461768,0.0,False,0.5,100.0,2,58
slope_run_65_B6,0.8506919114550872,0.0,False,0.5,100.0,2,58
slope_run_65_B8,1.8637553873457573,0.0,False,0.5,100.0,2,58
intercept_B4,-4.270875167012509,,False,0.5,100.0,1,59
intercept_B6,2.050324378530607,,False,0.5,100.0,1,59
intercept_B8,0.5975836549858858,,False,0.5,100.0,1,59
run_offset_60,-0.024147942244586506,,False,0.5,100.0,1,59
run_offset_61,-0.044385464032148235,,False,0.5,100.0,1,59
run_offset_62,0.021244665406443767,,False,0.5,100.0,1,59
run_offset_63,-0.014226131527108596,,False,0.5,100.0,1,59
run_offset_65,-0.033575796737992554,,False,0.5,100.0,1,59
slope_global,0.9256336090767678,0.0,False,0.5,100.0,1,59
slope_stave_B4,0.3367667127453911,0.0,False,0.5,100.0,1,59
slope_stave_B6,0.8348014744001873,0.0,False,0.5,100.0,1,59
slope_stave_B8,1.6053326400847254,0.0,False,0.5,100.0,1,59
slope_run_58_B4,0.11715449854424037,0.0,False,0.5,100.0,1,59
slope_run_58_B6,0.8690786715906899,0.0,False,0.5,100.0,1,59
slope_run_58_B8,1.7169452752361778,0.0,False,0.5,100.0,1,59
slope_run_60_B4,0.07716934275506067,0.0,False,0.5,100.0,1,59
slope_run_60_B6,1.0867547940250868,0.0,False,0.5,100.0,1,59
slope_run_60_B8,1.7734272162152822,0.0,False,0.5,100.0,1,59
slope_run_61_B4,1.0319452666225637,0.0,False,0.5,100.0,1,59
slope_run_61_B6,0.433751813966392,0.0,False,0.5,100.0,1,59
slope_run_61_B8,1.4279902909537148,0.0,False,0.5,100.0,1,59
slope_run_62_B4,1.0219517426700706e-22,0.0,True,0.5,100.0,1,59
slope_run_62_B6,0.8457515211519203,0.0,False,0.5,100.0,1,59
slope_run_62_B8,1.7896416411339506,0.0,False,0.5,100.0,1,59
slope_run_63_B4,1.1204001585736415e-16,0.0,True,0.5,100.0,1,59
slope_run_63_B6,0.883330844937462,0.0,False,0.5,100.0,1,59
slope_run_63_B8,1.8678633100277395,0.0,False,0.5,100.0,1,59
slope_run_65_B4,0.20546427221910515,0.0,False,0.5,100.0,1,59
slope_run_65_B6,0.7993090660529916,0.0,False,0.5,100.0,1,59
slope_run_65_B8,1.735827137949445,0.0,False,0.5,100.0,1,59
intercept_B4,-4.067271145651873,,False,1.0,100.0,1,60
intercept_B6,2.255901304260037,,False,1.0,100.0,1,60
intercept_B8,1.0720544963347753,,False,1.0,100.0,1,60
run_offset_59,-0.050376021222518164,,False,1.0,100.0,1,60
run_offset_61,-0.04778511406650653,,False,1.0,100.0,1,60
run_offset_62,0.016389899701641432,,False,1.0,100.0,1,60
run_offset_63,-0.01628316606150883,,False,1.0,100.0,1,60
run_offset_65,-0.035280088581658424,,False,1.0,100.0,1,60
slope_global,0.7121135744874281,0.0,False,1.0,100.0,1,60
slope_stave_B4,0.2956049608626373,0.0,False,1.0,100.0,1,60
slope_stave_B6,0.5226412265135092,0.0,False,1.0,100.0,1,60
slope_stave_B8,1.3180945360861374,0.0,False,1.0,100.0,1,60
slope_run_58_B4,0.08726845879069273,0.0,False,1.0,100.0,1,60
slope_run_58_B6,0.5393593820624389,0.0,False,1.0,100.0,1,60
slope_run_58_B8,1.3841947898648626,0.0,False,1.0,100.0,1,60
slope_run_59_B4,6.15693321683864e-30,0.0,True,1.0,100.0,1,60
slope_run_59_B6,0.643380377425917,0.0,False,1.0,100.0,1,60
slope_run_59_B8,1.7524743554591118,0.0,False,1.0,100.0,1,60
slope_run_61_B4,1.1034249957798181,0.0,False,1.0,100.0,1,60
slope_run_61_B6,0.09524721431268893,0.0,False,1.0,100.0,1,60
slope_run_61_B8,1.0829261209161298,0.0,False,1.0,100.0,1,60
slope_run_62_B4,6.162975822039155e-33,0.0,True,1.0,100.0,1,60
slope_run_62_B6,0.5441724570851771,0.0,False,1.0,100.0,1,60
slope_run_62_B8,1.3952822848748794,0.0,False,1.0,100.0,1,60
slope_run_63_B4,1.0908994543771104e-15,0.0,True,1.0,100.0,1,60
slope_run_63_B6,0.6057918607934015,0.0,False,1.0,100.0,1,60
slope_run_63_B8,1.5046939963747015,0.0,False,1.0,100.0,1,60
slope_run_65_B4,0.1664276969805212,0.0,False,1.0,100.0,1,60
slope_run_65_B6,0.5184237194275132,0.0,False,1.0,100.0,1,60
slope_run_65_B8,1.3949766306258486,0.0,False,1.0,100.0,1,60
intercept_B4,-4.290615351543597,,False,1.0,100.0,2,61
intercept_B6,2.4535813146306564,,False,1.0,100.0,2,61
intercept_B8,1.3084789429679067,,False,1.0,100.0,2,61
run_offset_59,-0.020027717416355742,,False,1.0,100.0,2,61
run_offset_60,-0.020760607102513214,,False,1.0,100.0,2,61
run_offset_62,0.03743004711534525,,False,1.0,100.0,2,61
run_offset_63,-0.004509630952860997,,False,1.0,100.0,2,61
run_offset_65,-0.01683318905223111,,False,1.0,100.0,2,61
slope_global,0.4990054754366261,0.0,False,1.0,100.0,2,61
slope_stave_B4,0.09590254735013981,0.0,False,1.0,100.0,2,61
slope_stave_B6,0.37141752161837327,0.0,False,1.0,100.0,2,61
slope_stave_B8,1.0296963573413656,0.0,False,1.0,100.0,2,61
slope_run_58_B4,2.183166476552559e-20,0.0,True,1.0,100.0,2,61
