method,heldout_run,threshold,clean_efficiency,gross_rejection,n_clean,n_gross
traditional D_t/curvature,58,3.6566205773050107,0.972972972972973,1.0,37,2
traditional D_t/curvature,59,3.735322923499614,0.9710843373493976,1.0,415,13
traditional D_t/curvature,60,3.5935105050386844,0.9439252336448598,1.0,428,16
traditional D_t/curvature,61,3.547166712442724,0.9390444810543658,1.0,607,25
traditional D_t/curvature,62,3.550124130505132,0.9333333333333333,1.0,420,7
traditional D_t/curvature,63,3.6658880220646566,0.9587628865979382,1.0,194,9
traditional D_t/curvature,65,3.6658880220646566,0.9814814814814815,,54,0
shape-only RF,58,0.1441379227733964,0.918918918918919,1.0,37,2
shape-only RF,59,0.1433476553138289,0.9421686746987952,1.0,415,13
shape-only RF,60,0.14579205117255933,0.955607476635514,1.0,428,16
shape-only RF,61,0.14379283834557266,0.9472817133443163,1.0,607,25
shape-only RF,62,0.14715639707668332,0.9619047619047619,1.0,420,7
shape-only RF,63,0.14347150359950622,0.9381443298969072,1.0,194,9
shape-only RF,65,0.1453443788478057,0.9629629629629629,,54,0
