event_id,run,eventno,evt,d_t_ns,abs_c_t_ns,has_curvature,n_downstream
58:389103:7723:166,58,389103,7723,6.353017221478368,,False,2
58:389210:7823:273,58,389210,7823,5.757045177045171,,False,2
58:389387:7989:450,58,389387,7989,5.344773591892604,,False,2
58:389717:8294:780,58,389717,8294,4.132446548583836,,False,2
58:389807:8371:870,58,389807,8371,6.5015837366892555,,False,2
58:390162:8735:1225,58,390162,8735,3.498475999449397,,False,2
58:390305:8867:1368,58,390305,8867,6.0917424081839044,,False,2
58:390872:9393:1935,58,390872,9393,7.833840315544137,,False,2
58:390990:9506:2052,58,390990,9506,8.34048605435467,,False,2
58:391547:10028:2608,58,391547,10028,3.1846925820687986,,False,2
58:391631:10103:2692,58,391631,10103,4.0725850846936,4.393645038008664,True,3
58:391841:10300:2900,58,391841,10300,4.928271064045262,6.220851213707249,True,3
58:392066:10514:3123,58,392066,10514,3.8833956732449693,6.4138118402557325,True,3
58:392123:10564:3180,58,392123,10564,6.550178077774511,,False,2
58:392125:10565:3182,58,392125,10565,4.322766050950264,,False,2
58:392204:10642:3261,58,392204,10642,5.036936657211463,5.160806749201065,True,3
58:392294:10722:3348,58,392294,10722,4.967859348087487,6.345190185520195,True,3
58:392316:10744:3370,58,392316,10744,5.171524535102819,,False,2
58:392596:11003:3648,58,392596,11003,6.673960655008528,,False,2
58:392636:11042:3687,58,392636,11042,7.036826736577353,8.131817066604171,True,3
58:393248:11615:4294,58,393248,11615,4.128197356234736,4.253938731547109,True,3
58:393465:11822:4507,58,393465,11822,3.78611495592628,,False,2
58:394179:12478:5221,58,394179,12478,4.2931796132508,,False,2
58:394453:12734:5495,58,394453,12734,5.824294616933237,,False,2
58:394504:12781:5546,58,394504,12781,5.5202702261249,,False,2
58:394656:12923:5698,58,394656,12923,6.399708618517899,6.193958898758986,True,3
58:394684:12945:5726,58,394684,12945,3.0336287649517217,4.490894629542428,True,3
58:394786:13037:5828,58,394786,13037,4.229411573683194,5.156585939059795,True,3
58:394965:13201:6007,58,394965,13201,7.1014613011095165,10.388199831890283,True,3
58:395429:13639:6471,58,395429,13639,4.30566549920745,,False,2
58:395467:13673:6509,58,395467,13673,5.661513372472278,7.383252245724215,True,3
58:395497:13697:6539,58,395497,13697,3.26954356846473,,False,2
58:395532:13727:6574,58,395532,13727,4.733934983174194,,False,2
58:395552:13747:6594,58,395552,13747,7.682763040816141,,False,2
58:395781:13959:6823,58,395781,13959,6.191704512356949,,False,2
58:396251:14386:7293,58,396251,14386,5.593545733469696,,False,2
58:396806:14901:7847,58,396806,14901,3.4872570355911527,,False,2
58:396978:15063:8018,58,396978,15063,6.312549304218862,6.422556059019591,True,3
58:397649:15690:8688,58,397649,15690,4.41752136752136,,False,2
58:397767:15802:8805,58,397767,15802,5.039504185773431,,False,2
58:398089:16112:9124,58,398089,16112,5.022867760965767,,False,2
58:398151:16170:9186,58,398151,16170,3.9130475491186516,,False,2
58:398514:134:9549,58,398514,134,6.143143436112723,,False,2
58:398580:196:9615,58,398580,196,5.559270190861298,6.184424509110528,True,3
58:399270:859:10304,58,399270,859,8.494695419785728,3.883788082369989,True,3
58:399602:1163:10635,58,399602,1163,5.175653647791776,2.8252691476419756,True,3
58:399953:1484:10986,58,399953,1484,4.146997285518324,,False,2
58:399989:1517:11021,58,399989,1517,5.452259001605384,6.664055634075936,True,3
58:400335:1859:11366,58,400335,1859,14.901935616250974,,False,2
58:400341:1865:11372,58,400341,1865,6.610470085470098,,False,2
58:400356:1880:11387,58,400356,1880,3.0257898348739047,,False,2
58:400792:2281:11821,58,400792,2281,46.22510665653673,42.39431563526832,True,3
58:401022:2495:12051,58,401022,2495,3.844320903931493,4.245480495689037,True,3
58:401083:2548:12110,58,401083,2548,6.86343361488089,4.296286979559127,True,3
58:401090:2555:12117,58,401090,2555,5.733336817568908,,False,2
58:401250:2707:12277,58,401250,2707,5.082518877979091,,False,2
58:401283:2737:12310,58,401283,2737,6.181472238009341,2.580092384618773,True,3
58:401498:2943:12525,58,401498,2943,6.354903722721438,6.840913243151533,True,3
58:401532:2974:12559,58,401532,2974,4.648288434988849,5.7573426550274505,True,3
58:401733:3159:12760,58,401733,3159,4.226312213123585,2.4309788368486736,True,3
58:402094:3493:13119,58,402094,3493,4.268365513411084,,False,2
58:402499:3875:13522,58,402499,3875,5.506889246926832,,False,2
58:402542:3915:13565,58,402542,3915,7.407867545888735,5.483323638271486,True,3
58:402594:3966:13616,58,402594,3966,4.835515363143742,6.01752537134675,True,3
58:402671:4040:13692,58,402671,4040,5.536326460242037,,False,2
58:402701:4066:13722,58,402701,4066,3.1272111965125617,,False,2
58:402712:4076:13733,58,402712,4076,5.678203661327231,6.1274240189110145,True,3
58:403191:4521:14212,58,403191,4521,3.4312944230162756,,False,2
58:403406:4719:14427,58,403406,4719,5.976116885175344,7.905386826444925,True,3
58:403830:5118:14849,58,403830,5118,5.253493880484257,,False,2
58:404100:5367:15118,58,404100,5367,4.032101171191641,3.173713899336974,True,3
58:404147:5411:15165,58,404147,5411,6.1042555373875445,6.2993260541881995,True,3
58:404180:5444:15198,58,404180,5444,3.069253854612331,3.343607323836167,True,3
58:404270:5525:15288,58,404270,5525,4.042182750240293,,False,2
58:404302:5557:15320,58,404302,5557,4.878201604217907,6.586406384374214,True,3
58:405501:6684:16516,58,405501,6684,5.53207700753417,6.848991173483256,True,3
58:405621:6794:16636,58,405621,6794,3.70431077694235,,False,2
58:405830:6983:16845,58,405830,6983,5.0072050901992,5.440946933933525,True,3
58:405915:7060:16930,58,405915,7060,4.681572372790228,,False,2
58:405995:7135:17010,58,405995,7135,4.608449273619076,7.152213025644446,True,3
58:406641:7736:17656,58,406641,7736,4.296772837170188,6.846878507389171,True,3
58:406766:7856:17781,58,406766,7856,5.20619789165265,4.66088938489834,True,3
58:406793:7882:17808,58,406793,7882,4.346305401324003,,False,2
58:406994:8073:18009,58,406994,8073,6.502517985611519,,False,2
58:407118:8191:18133,58,407118,8191,5.027442250457415,,False,2
58:407215:8277:18230,58,407215,8277,4.659118509799519,7.146396012150376,True,3
58:407221:8283:18236,58,407221,8283,6.660844743247338,3.4208145816496938,True,3
58:407343:8398:18358,58,407343,8398,4.417347147467709,,False,2
58:407565:8601:18580,58,407565,8601,4.046127755794231,,False,2
58:407631:8661:18646,58,407631,8661,6.829200770341828,,False,2
58:408100:9095:19115,58,408100,9095,3.1179115686342413,,False,2
58:408433:9403:19445,58,408433,9403,4.648001726010534,,False,2
58:408518:9481:19530,58,408518,9481,5.686103162622089,,False,2
58:408610:9560:19622,58,408610,9560,4.314430862860377,4.738928314048195,True,3
58:408706:9650:19718,58,408706,9650,5.232153278707656,,False,2
58:408741:9684:19752,58,408741,9684,5.722219429773361,,False,2
58:408850:9787:19861,58,408850,9787,4.1567689603798215,,False,2
58:408871:9807:19882,58,408871,9807,6.721666666666664,3.00124370594159,True,3
58:408897:9829:19908,58,408897,9829,6.244111850992482,7.2110098461456005,True,3
58:408961:9886:19972,58,408961,9886,4.481861348528014,,False,2
58:409030:9947:20041,58,409030,9947,5.012905514507999,,False,2
58:409157:10061:20168,58,409157,10061,7.085679495221569,2.260308190596703,True,3
58:409234:10135:20245,58,409234,10135,4.43462336849889,6.22571433134506,True,3
58:410200:11040:21209,58,410200,11040,4.729267882187941,,False,2
58:410216:11056:21225,58,410216,11056,6.641242893115624,,False,2
58:410621:11439:21629,58,410621,11439,6.9717997421847,5.263564911609407,True,3
58:411219:11981:22225,58,411219,11981,5.374863776669436,,False,2
58:411503:12239:22508,58,411503,12239,4.334057883854271,,False,2
58:412157:12844:23160,58,412157,12844,4.635218312844422,2.4567340971461036,True,3
58:412346:13017:23349,58,412346,13017,4.431355870317233,,False,2
58:412546:13200:23548,58,412546,13200,5.729957064793126,5.910735157667993,True,3
58:412998:13652:24000,58,412998,13652,4.650282694079426,,False,2
58:413325:13961:24327,58,413325,13961,5.906910358336212,3.660282691486195,True,3
58:413373:14005:24375,58,413373,14005,5.731636448163641,,False,2
58:413472:14098:24474,58,413472,14098,4.48733367434204,,False,2
58:413562:14185:24564,58,413562,14185,5.299723996834658,,False,2
58:413638:14256:24640,58,413638,14256,3.672131304019956,1.9249517798324405,True,3
58:413688:14306:24690,58,413688,14306,4.039807555238781,,False,2
58:413750:14366:24752,58,413750,14366,7.924953133708264,,False,2
58:413843:14451:24845,58,413843,14451,3.60097465382092,5.227796271356823,True,3
58:414252:14826:25254,58,414252,14826,3.681681522621915,,False,2
58:414949:15473:25951,58,414949,15473,4.093215562607213,,False,2
58:415334:15831:26336,58,415334,15831,3.8904072906318774,,False,2
58:415793:16253:26795,58,415793,16253,4.557558158175578,,False,2
58:415862:16317:26864,58,415862,16317,4.3092515143213745,,False,2
58:416192:245:27194,58,416192,245,5.567197811622606,,False,2
58:416328:373:27330,58,416328,373,6.995621477472923,9.723625963254825,True,3
58:416359:401:27361,58,416359,401,6.652917146057959,,False,2
58:416463:500:27465,58,416463,500,3.177290230552547,,False,2
58:416484:519:27486,58,416484,519,7.61053882391262,,False,2
58:416801:817:27803,58,416801,817,6.139072787083251,,False,2
58:417165:1152:28167,58,417165,1152,3.7031321526301326,2.498339616819706,True,3
58:417190:1176:28192,58,417190,1176,6.926870215413203,,False,2
58:417278:1288:28280,58,417278,1288,4.134415458937198,3.6375210489992895,True,3
58:417583:1577:28585,58,417583,1577,5.798558165861294,,False,2
58:417735:1712:28737,58,417735,1712,4.740127933493454,2.509400907101906,True,3
58:417804:1777:28806,58,417804,1777,6.028348103441687,8.768907318499345,True,3
58:418054:2008:29056,58,418054,2008,5.754585857612582,5.285679723882382,True,3
58:418608:2522:29610,58,418608,2522,5.294774148157607,,False,2
58:418720:2626:29722,58,418720,2626,5.373427223334296,2.729393289486218,True,3
58:418728:2634:29730,58,418728,2634,30.428413257528945,,False,2
58:418786:2689:29788,58,418786,2689,3.2355494793131356,,False,2
58:419341:3210:30343,58,419341,3210,4.981225114462035,,False,2
58:419425:3289:30427,58,419425,3289,5.126342192206778,,False,2
58:419850:3683:30851,58,419850,3683,6.018566608659114,,False,2
58:419955:3781:30956,58,419955,3781,6.140971593603155,,False,2
58:420193:4003:31193,58,420193,4003,5.135302565516611,,False,2
58:420245:4054:31245,58,420245,4054,6.500537724994821,7.151485734775555,True,3
58:420334:4140:31334,58,420334,4140,3.6138727274789346,4.524441940712876,True,3
58:420564:4350:31561,58,420564,4350,5.012097000280349,,False,2
58:420566:4352:31563,58,420566,4352,4.594635396491611,,False,2
58:420584:4367:31581,58,420584,4367,4.869303154665658,,False,2
58:420856:4621:31853,58,420856,4621,6.199533193994824,,False,2
58:420877:4640:31874,58,420877,4640,4.898245896668072,,False,2
58:420968:4728:31964,58,420968,4728,5.146779872785096,,False,2
58:421109:4861:32105,58,421109,4861,4.7516502088899415,,False,2
58:421487:5218:32482,58,421487,5218,6.892447092409867,4.956971688310915,True,3
58:421531:5255:32526,58,421531,5255,6.512428520253152,9.008882437245653,True,3
58:421877:5573:32871,58,421877,5573,6.695324904439872,7.659217927485912,True,3
58:422340:6010:33333,58,422340,6010,7.502994954249317,3.9646906850377093,True,3
58:422443:6102:33436,58,422443,6102,4.888067308934808,,False,2
58:422752:6387:33742,58,422752,6387,3.0434110331526654,,False,2
59:423218:6825:34206,59,423218,6825,4.006074246700365,,False,2
59:423255:6861:34243,59,423255,6861,5.468057170724389,,False,2
59:423280:6885:34268,59,423280,6885,5.3015751430152065,6.198297468308965,True,3
59:423284:6889:34272,59,423284,6889,4.378461544435126,,False,2
59:423317:6920:34305,59,423317,6920,3.9762931034482563,,False,2
59:423346:6947:34334,59,423346,6947,4.351964313130104,4.877482780441973,True,3
59:423383:6980:34371,59,423383,6980,4.258115591755953,,False,2
59:423389:6986:34377,59,423389,6986,4.9872931710096395,,False,2
59:423397:6993:34385,59,423397,6993,4.6407618829064,6.57970451698651,True,3
59:423398:6994:34386,59,423398,6994,6.804647515271583,,False,2
59:423408:7002:34396,59,423408,7002,7.686381903197265,4.929563490481264,True,3
59:423416:7008:34404,59,423416,7008,7.521986518870044,0.684875917053553,True,3
59:423420:7012:34408,59,423420,7012,6.609637753406453,,False,2
59:423435:7027:34423,59,423435,7027,5.05971382357356,4.721547199752962,True,3
59:423446:7037:34434,59,423446,7037,3.3562062657507283,4.864490682173926,True,3
59:423474:7062:34462,59,423474,7062,4.476401857789362,4.729115574348931,True,3
59:423478:7064:34466,59,423478,7064,3.971291403453499,,False,2
59:423481:7067:34469,59,423481,7067,4.86454971880449,5.624600537677253,True,3
59:423511:7094:34499,59,423511,7094,4.923402292016959,6.734282410285296,True,3
59:423538:7121:34526,59,423538,7121,6.174275696703511,,False,2
