method,stratum,level,n,bias_ns,sigma68_ns,rms_ns,tail_fraction_abs_gt_5ns,tail_fraction_abs_gt_10ns
1d_cnn,curvature_energy_bin,curved,1636,-0.1505560789667344,8.820028903075205,10.572013516408674,0.5660146699266504,0.26833740831295844
compact_waveform_transformer,curvature_energy_bin,curved,1636,-1.7822542415127227,6.093843682612984,7.861692647621821,0.41625916870415647,0.16136919315403422
derivative_gate_transformer_new,curvature_energy_bin,curved,1636,-1.465619831375557,5.001899898247817,7.133118693885699,0.31907090464547677,0.0776283618581907
gradient_boosted_trees,curvature_energy_bin,curved,1636,-0.375211788677285,3.683155462339589,5.151030123307914,0.1790953545232274,0.039119804400977995
mlp,curvature_energy_bin,curved,1636,-0.5470762431437854,4.211461620607167,5.250505126304362,0.2396088019559902,0.040342298288508556
ridge,curvature_energy_bin,curved,1636,-0.48319649729423375,4.050588624458022,5.658373628216067,0.24327628361858192,0.05012224938875306
traditional_cfd_template_derivative,curvature_energy_bin,curved,1636,0.3008630924348479,1.1879060817623215,1.1202248648512863,0.0,0.0
1d_cnn,curvature_energy_bin,moderate,1897,2.3890121178651498,6.160274193960248,7.76415141012134,0.4644175013178703,0.16130732735898787
compact_waveform_transformer,curvature_energy_bin,moderate,1897,1.2557004807332888,5.936027963983586,7.103021378356816,0.4164470216130733,0.10226673695308382
derivative_gate_transformer_new,curvature_energy_bin,moderate,1897,-1.7697940644863674,4.597234214361671,6.053057877090912,0.2999472851871376,0.06273062730627306
gradient_boosted_trees,curvature_energy_bin,moderate,1897,0.10666963500281668,3.9268136509759035,5.439340497658516,0.20453347390616763,0.049551924090669476
mlp,curvature_energy_bin,moderate,1897,-0.5029703447780212,4.34814197491543,5.676149357342324,0.26462836056932,0.04797047970479705
ridge,curvature_energy_bin,moderate,1897,-0.2758873001724922,4.381002207072294,5.59496876987954,0.24512387981022668,0.04322614654717976
traditional_cfd_template_derivative,curvature_energy_bin,moderate,1897,0.42787570462576907,0.9337298976241374,0.9332210712828746,0.0,0.0
1d_cnn,curvature_energy_bin,smooth,1933,-1.852526318411968,5.702680944957273,6.987564816206191,0.4066218313502328,0.12829798241076049
compact_waveform_transformer,curvature_energy_bin,smooth,1933,1.2583887251376886,5.48401539657993,6.57610712497037,0.4014485256078634,0.06983962752198655
derivative_gate_transformer_new,curvature_energy_bin,smooth,1933,-1.945077528057027,4.692322932745558,5.837691612404309,0.3098810139679255,0.060527677185721676
gradient_boosted_trees,curvature_energy_bin,smooth,1933,-0.6030196031206403,3.5618110041724744,5.061734201955185,0.15830315571650286,0.03776513191929643
mlp,curvature_energy_bin,smooth,1933,-0.7534249150441212,4.328962402391284,5.397950780522943,0.25038799793067773,0.0387997930677703
ridge,curvature_energy_bin,smooth,1933,0.4723785026852383,4.117526186546366,5.452717920354796,0.24107604759441284,0.03724780134505949
traditional_cfd_template_derivative,curvature_energy_bin,smooth,1933,0.2576470671707858,0.900940409790663,0.991998516362757,0.0,0.0
1d_cnn,derivative_onset_bin,nominal,1840,-0.7521469590452377,6.299155275283773,6.779894883207344,0.43478260869565216,0.11956521739130435
compact_waveform_transformer,derivative_onset_bin,nominal,1840,0.3424893884995033,5.935535589969022,6.7329207091053,0.3847826086956522,0.09239130434782608
derivative_gate_transformer_new,derivative_onset_bin,nominal,1840,-1.9277461499638724,4.484225779931615,5.408222502809732,0.27608695652173915,0.05217391304347826
gradient_boosted_trees,derivative_onset_bin,nominal,1840,-0.5769006096214764,3.2141826846570365,4.397158518855098,0.11956521739130435,0.022282608695652174
mlp,derivative_onset_bin,nominal,1840,-0.8158263228887268,4.074556998729643,4.83735217425781,0.23532608695652174,0.027717391304347826
ridge,derivative_onset_bin,nominal,1840,-0.6205049040163786,3.860722210155555,4.924583129401662,0.19619565217391305,0.03097826086956522
traditional_cfd_template_derivative,derivative_onset_bin,nominal,1840,0.40977191820434156,1.0189426674243733,1.0021745436588154,0.0,0.0
1d_cnn,derivative_onset_bin,sharp,1945,0.005042275709229216,6.982416443799165,7.281647550420922,0.4616966580976864,0.14087403598971723
compact_waveform_transformer,derivative_onset_bin,sharp,1945,0.607080854794015,5.800897956152676,6.571179370517651,0.41182519280205654,0.08688946015424165
derivative_gate_transformer_new,derivative_onset_bin,sharp,1945,-1.940613787373394,4.439848503514995,5.549084301174113,0.31002570694087406,0.04524421593830334
gradient_boosted_trees,derivative_onset_bin,sharp,1945,-0.5334816155436393,3.15053199541551,4.058730533841875,0.11362467866323907,0.016452442159383032
mlp,derivative_onset_bin,sharp,1945,-0.6751758513408372,4.061599044989194,4.700932498170197,0.2133676092544987,0.02365038560411311
ridge,derivative_onset_bin,sharp,1945,-0.4086424158245574,4.037034153270085,5.066487924867843,0.20565552699228792,0.024678663239074552
traditional_cfd_template_derivative,derivative_onset_bin,sharp,1945,0.4978518813543644,1.007235856886136,1.0149584983545659,0.0,0.0
1d_cnn,derivative_onset_bin,slow,1681,1.215043814378312,8.951072029793448,11.310079627429095,0.5324211778703153,0.29684711481261156
compact_waveform_transformer,derivative_onset_bin,slow,1681,0.17415250679282224,6.42246745858402,8.515876623097174,0.43902439024390244,0.15110053539559787
derivative_gate_transformer_new,derivative_onset_bin,slow,1681,-1.3181458240539463,5.420106892247279,7.920210060321236,0.34443783462224864,0.10648423557406306
gradient_boosted_trees,derivative_onset_bin,slow,1681,0.911412098094992,4.784542817158286,7.0057299667703825,0.32480666270077335,0.09399167162403331
mlp,derivative_onset_bin,slow,1681,-0.2736183687333522,4.929631153404765,6.779743223581888,0.31528851873884595,0.08030933967876264
ridge,derivative_onset_bin,slow,1681,0.5780053809515948,4.703188278310687,6.646778299086256,0.33789411064842356,0.07792980368828079
traditional_cfd_template_derivative,derivative_onset_bin,slow,1681,0.13640189911804157,0.9535572092247449,1.0263234602241718,0.0,0.0
1d_cnn,energy_bin,q1_low,1419,-2.271322292681008,7.408981280136832,9.974714906537612,0.51092318534179,0.24171952078928824
compact_waveform_transformer,energy_bin,q1_low,1419,0.7956172895830278,5.968339964679689,7.122190984192711,0.427061310782241,0.09513742071881606
derivative_gate_transformer_new,energy_bin,q1_low,1419,-1.906709973033088,5.20791689133633,6.804185325844879,0.350246652572234,0.08104298801973221
gradient_boosted_trees,energy_bin,q1_low,1419,-0.5502833469409012,3.7237103372273914,5.27981577266515,0.18745595489781536,0.04369274136715997
mlp,energy_bin,q1_low,1419,-0.4599583298185612,4.244063799766316,5.540819636066148,0.2459478505990134,0.046511627906976744
ridge,energy_bin,q1_low,1419,0.5683267070799332,4.211282434752435,5.501852467366871,0.2544045102184637,0.04298801973220578
traditional_cfd_template_derivative,energy_bin,q1_low,1419,0.0649470613895673,1.0214020544095308,1.1218712122072465,0.0,0.0
1d_cnn,energy_bin,q2,1516,-0.22953767092261046,5.596581721829068,7.61450523671716,0.36147757255936674,0.11609498680738786
compact_waveform_transformer,energy_bin,q2,1516,1.5935281119967453,5.71814895201738,7.287986009571154,0.420844327176781,0.09300791556728233
derivative_gate_transformer_new,energy_bin,q2,1516,-1.8111210200002787,4.603707453434774,6.310110432195006,0.3027704485488127,0.06398416886543536
gradient_boosted_trees,energy_bin,q2,1516,-0.15055939093521098,3.7714626568300056,5.679971029201108,0.1787598944591029,0.04947229551451187
mlp,energy_bin,q2,1516,-0.8142773012779738,4.637981866820256,5.869037866385272,0.2836411609498681,0.04683377308707124
ridge,energy_bin,q2,1516,0.061736587583297364,4.26203433086511,5.829163719789967,0.24670184696569922,0.04551451187335093
traditional_cfd_template_derivative,energy_bin,q2,1516,0.45897068197746815,0.8100344777159088,0.8615643461664277,0.0,0.0
1d_cnn,energy_bin,q3,1393,3.88470361469291,5.217295653477253,7.185069632309341,0.49318018664752333,0.15577889447236182
compact_waveform_transformer,energy_bin,q3,1393,0.9522874788572953,6.023069426631362,7.298757947319876,0.42498205312275666,0.12562814070351758
derivative_gate_transformer_new,energy_bin,q3,1393,-1.9862748452916659,4.551814487415616,6.0536877776854245,0.3108399138549892,0.05671213208901651
gradient_boosted_trees,energy_bin,q3,1393,-0.03880334641812411,3.7547855154027037,5.085369523341485,0.18808327351040918,0.0416367552045944
mlp,energy_bin,q3,1393,-0.6480630008512,4.339228288730825,5.349697053435892,0.2555635319454415,0.04235463029432879
ridge,energy_bin,q3,1393,-0.48107343696879923,4.442903503284816,5.42655024105511,0.26202440775305097,0.04235463029432879
traditional_cfd_template_derivative,energy_bin,q3,1393,0.49583974826973076,0.9444977742785312,0.9380923885868973,0.0,0.0
1d_cnn,energy_bin,q4_high,1138,-2.3592279217882615,7.975146858151137,8.41478523137191,0.5562390158172232,0.22583479789103691
compact_waveform_transformer,energy_bin,q4_high,1138,-2.3294330785947714,5.221682397171884,6.71894746588731,0.36115992970123023,0.12478031634446397
derivative_gate_transformer_new,energy_bin,q4_high,1138,-1.0534486511915828,4.653664702174323,6.064778046786489,0.26449912126537783,0.0632688927943761
gradient_boosted_trees,energy_bin,q4_high,1138,-0.40914049438251465,3.248115882872705,4.659679632363599,0.16520210896309315,0.03163444639718805
mlp,energy_bin,q4_high,1138,-0.4373576716769185,3.8922168592735495,4.882958505013644,0.21353251318101935,0.03163444639718805
ridge,energy_bin,q4_high,1138,-0.7030210911299344,3.7532031599547526,5.3714491980657115,0.20123022847100175,0.04130052724077329
traditional_cfd_template_derivative,energy_bin,q4_high,1138,0.26783924725016406,1.2303749210196953,1.089272531713984,0.0,0.0
1d_cnn,late_tail_morphology,compact,3299,-0.25746269142178946,7.0245788646609855,7.8962405433887355,0.4710518338890573,0.16277659896938465
compact_waveform_transformer,late_tail_morphology,compact,3299,0.6022406512343981,6.350305533718997,7.09863127712672,0.44073961806608064,0.10912397696271597
derivative_gate_transformer_new,late_tail_morphology,compact,3299,-2.017728956829652,4.627380233144387,5.6887639394674565,0.32615944225522886,0.05668384358896635
gradient_boosted_trees,late_tail_morphology,compact,3299,-0.6340162857565712,3.442271025011305,4.540177467630488,0.1333737496210973,0.023946650500151562
mlp,late_tail_morphology,compact,3299,-0.68264650864363,4.1661023778028685,4.984711184951256,0.23067596241285238,0.027887238557138528
ridge,late_tail_morphology,compact,3299,-0.11961299933434333,4.167907671342627,5.244534385095988,0.2212791755077296,0.030615337981206425
traditional_cfd_template_derivative,late_tail_morphology,compact,3299,0.41526095900451665,0.9746867399778045,1.0141883813453472,0.0,0.0
1d_cnn,late_tail_morphology,diffuse_tail,610,-0.3251527127073981,5.90497096137773,6.770187014720017,0.38524590163934425,0.11475409836065574
compact_waveform_transformer,late_tail_morphology,diffuse_tail,610,-0.3748896674919724,4.74425185119811,5.810374475799908,0.3262295081967213,0.05737704918032787
derivative_gate_transformer_new,late_tail_morphology,diffuse_tail,610,-2.2019787687131895,3.8503800674596507,4.991295346522405,0.2459016393442623,0.04426229508196721
