method,run,n,bias_ns,sigma68_ns,rms_ns,tail_fraction_abs_gt_5ns,tail_fraction_abs_gt_10ns
1d_cnn,42,657,2.5830576026710794,7.965131789458064,8.753715366923949,0.5403348554033486,0.2222222222222222
1d_cnn,50,680,-2.3873358682726584,11.949412563795832,11.619277749685104,0.5220588235294118,0.3235294117647059
1d_cnn,57,670,2.190656957256861,8.265830686427348,8.520779327407887,0.5597014925373134,0.23582089552238805
1d_cnn,58,654,-1.2285646468268707,7.294896737844914,8.076948881184935,0.5076452599388379,0.16972477064220184
1d_cnn,60,720,1.7544832852339445,6.039508158830895,7.216189072146269,0.43194444444444446,0.12916666666666668
1d_cnn,62,720,0.429898205302611,6.528390429228358,7.661498210501388,0.4263888888888889,0.13194444444444445
1d_cnn,64,720,-0.9417422531184307,5.809523353176877,6.811268538143348,0.3861111111111111,0.12083333333333333
1d_cnn,65,645,-1.2611472245233433,6.307723360411526,7.478187252192832,0.43410852713178294,0.12868217054263567
compact_waveform_transformer,42,657,1.5188401519401165,5.119589084733173,6.022738362789529,0.3546423135464231,0.0989345509893455
compact_waveform_transformer,50,680,-0.10931054561562181,11.880600731804051,12.176955523780316,0.4073529411764706,0.3
compact_waveform_transformer,57,670,-0.06744260020751103,6.489534709718882,6.516858841782297,0.4373134328358209,0.13134328358208955
compact_waveform_transformer,58,654,-1.3712273042507892,6.479330744301942,6.126802730064652,0.44495412844036697,0.09327217125382263
compact_waveform_transformer,60,720,1.6047885178351287,6.357064164066253,6.14945216550329,0.4597222222222222,0.07361111111111111
compact_waveform_transformer,62,720,1.017221242812015,6.317103383381895,6.544913232145973,0.4444444444444444,0.07083333333333333
compact_waveform_transformer,64,720,0.08879182047226308,5.279079413900954,5.630025542546874,0.33611111111111114,0.05416666666666667
compact_waveform_transformer,65,645,0.0917037300554302,5.65332928702239,6.226679406955837,0.40310077519379844,0.04961240310077519
