method,run_family,n,bias_ns,sigma68_ns,rms_ns,tail_fraction_abs_gt_5ns,tail_fraction_abs_gt_10ns
traditional_cfd_template_derivative,sample_i_analysis,1350,-0.2014361766602737,1.0975807615766942,1.0396804721821427,0.0,0.0
gradient_boosted_trees,sample_i_analysis,1350,0.6717233221223731,4.540566107650768,8.479897167556983,0.2814814814814815,0.14592592592592593
mlp,sample_i_analysis,1350,0.009396100772869564,5.501106744425589,8.435051057031332,0.3422222222222222,0.14222222222222222
ridge,sample_i_analysis,1350,0.15360929302560455,6.467778832981866,8.934003520390803,0.38296296296296295,0.1437037037037037
derivative_gate_transformer_new,sample_i_analysis,1350,-0.9877619166070657,7.157516231616661,9.680310251025412,0.42074074074074075,0.17185185185185184
compact_waveform_transformer,sample_i_analysis,1350,-0.10439938778768898,7.842959287965941,9.788544375347874,0.4222222222222222,0.2162962962962963
1d_cnn,sample_i_analysis,1350,-0.2018095651262719,9.739300700571071,10.658729159372472,0.5407407407407407,0.28
traditional_cfd_template_derivative,sample_i_calib,657,-0.46787483368369465,0.995644002973084,0.9345397691420989,0.0,0.0
gradient_boosted_trees,sample_i_calib,657,1.7337609899073296,3.0322828649426707,3.5226432729981187,0.1963470319634703,0.0213089802130898
mlp,sample_i_calib,657,1.2530710174235633,3.7160888375331016,3.5400879028898937,0.258751902587519,0.0091324200913242
ridge,sample_i_calib,657,1.9120397197563506,4.160413155765711,3.898562018627223,0.2617960426179604,0.0076103500761035
derivative_gate_transformer_new,sample_i_calib,657,0.4374006458002597,4.781614086217419,5.227134744612511,0.2694063926940639,0.0136986301369863
compact_waveform_transformer,sample_i_calib,657,1.5188401519401165,5.119589084733173,6.022738362789529,0.3546423135464231,0.0989345509893455
1d_cnn,sample_i_calib,657,2.5830576026710794,7.965131789458064,8.753715366923949,0.5403348554033486,0.2222222222222222
traditional_cfd_template_derivative,sample_ii_analysis,2739,0.6171656041596414,0.9425857377442093,0.918376023171476,0.0,0.0
gradient_boosted_trees,sample_ii_analysis,2739,-0.8649453377877414,3.7493106969074264,3.71819127913819,0.1566265060240964,0.005841548010222709
ridge,sample_ii_analysis,2739,-0.35360221999841457,4.117511948604538,3.93691661132122,0.1986126323475721,0.012413289521723256
derivative_gate_transformer_new,sample_ii_analysis,2739,-1.9703716106361284,4.267941690365639,4.790015175727582,0.27710843373493976,0.0397955458196422
mlp,sample_ii_analysis,2739,-1.0040202179128954,4.333524093482976,4.292591864285253,0.2438846294267981,0.011317999269806499
compact_waveform_transformer,sample_ii_analysis,2739,0.35716361588627876,6.191125972174476,6.315380505842671,0.438846294267981,0.0719240598758671
1d_cnn,sample_ii_analysis,2739,0.02549056548569162,6.732896301135637,7.670082416139306,0.44906900328587074,0.13946695874406717
traditional_cfd_template_derivative,sample_ii_calib,720,0.6155670130209439,0.5091394567078005,0.6115553433665897,0.0,0.0
gradient_boosted_trees,sample_ii_calib,720,-1.3945068326461252,2.6276500512792027,3.043472486212136,0.06805555555555555,0.005555555555555556
ridge,sample_ii_calib,720,-1.386120376005195,3.0875291657074193,3.0968302646861434,0.13333333333333333,0.004166666666666667
mlp,sample_ii_calib,720,-1.7497442292609975,3.360885783261149,3.2673315659284583,0.10833333333333334,0.004166666666666667
derivative_gate_transformer_new,sample_ii_calib,720,-3.066147574931054,3.521181471542702,3.9085701440997127,0.25833333333333336,0.018055555555555554
compact_waveform_transformer,sample_ii_calib,720,0.08879182047226308,5.279079413900954,5.630025542546874,0.33611111111111114,0.05416666666666667
1d_cnn,sample_ii_calib,720,-0.9417422531184307,5.809523353176877,6.811268538143348,0.3861111111111111,0.12083333333333333
