method,sim_res68_frac,real_s24a_res68_frac,delta_sim_minus_real,interpretation
gradient_boosted_trees,0.047726971617137175,0.0566846321762142,-0.008957660559077027,matched method
mlp,0.06827878533093937,0.6923472493440915,-0.6240684640131522,matched method
1d_cnn,0.21195787113445316,0.2657039478238139,-0.05374607668936074,matched method
ridge,0.250550680558264,0.0966729355403716,0.15387774501789242,matched method
truth_birks_lookup,0.666341937221036,0.0402439783091376,0.6260979589118983,matched method
