diagnostic,spearman_rho,p_value,ci_low,ci_high,best_alpha,loo_rmse_ns,loo_r2
event_count,-0.03603749850782236,0.938860561394214,-0.9906401658278405,0.9607843137254901,,,
a1_amp_median,0.14285714285714288,0.7599453002180929,-0.7326923076923078,1.0,,,
a3_amp_median,0.5714285714285715,0.1802019889115274,-0.1764705882352941,0.9999999999999999,,,
log_amp_sum_median,0.28571428571428575,0.5345092286010406,-0.693178519593614,0.8823529411764706,,,
log_amp_diff_median,-0.03571428571428572,0.9394082054712856,-1.0,0.867173913043478,,,
peak_left_median,-0.019702760155977515,0.9665580474495397,-0.8892972917998875,0.8140915784106943,,,
peak_right_median,0.10811249552346709,0.8175332656241182,-0.8396834395345669,0.7789412237287441,,,
tail_left_median,0.10714285714285716,0.8191508555699912,-0.8829078801331853,0.6470588235294117,,,
tail_right_median,0.3214285714285715,0.4820720382996776,-0.75,1.0,,,
area_over_amp_left_median,-0.14285714285714288,0.7599453002180929,-0.8829078801331853,1.0,,,
area_over_amp_right_median,-0.07142857142857144,0.8790481931481541,-0.7647058823529412,1.0,,,
width_half_left_median,,,,,,,
width_half_right_median,,,,,,,
all_run_diagnostics_ridge_best,,,,,100.0,0.5587938849800144,-0.5716360839418659
