method,run,n_pairs,full_binned_sigma_ns,exclude_run_sigma_ns,delta_full_minus_exclude_ns,delta_ci_low_ns,delta_ci_high_ns,run_only_binned_sigma_ns,run_robust_width_ns,run_rms_ns,run_median_residual_ns
historical_run64_poly,58,25,1.9921759383821824,2.227996747081799,-0.23582080869961675,-2.5651730378352418,2.491515977383252,4.999999999999981,1.1794444569447704,1.386176328285027,-0.0891807732192973
historical_run64_poly,59,11,1.9921759383821824,1.8808826952136046,0.1112932431685778,-2.6123958644086613,2.4570076304341253,4.999999999997378,2.2422312446483144,2.2939662510907115,-0.4705803548869696
historical_run64_poly,60,11,1.9921759383821824,2.032735897571085,-0.04055995918890276,-2.6401461498942504,1.815739776858191,4.999999999423755,1.1044027464664374,1.2984645135000263,-1.219742971404095
historical_run64_poly,61,18,1.9921759383821824,1.9993982265143264,-0.007222288132143984,-2.481444098884503,2.713605109481748,3.5855823964290696,1.8566704442325421,2.2007001684277796,-1.3993343099091575
historical_run64_poly,62,7,1.9921759383821824,2.3292894463791196,-0.3371135079969372,-2.437962874619729,2.308245416375415,,0.8256969887102225,1.4020420416563277,-0.9468490236117191
historical_run64_poly,63,28,1.9921759383821824,3.225455359508942,-1.2332794211267595,-3.09690290407821,2.1202854212448914,3.415795131590206,1.8243369124504434,1.5905917070809787,-0.31352281316687325
historical_run64_poly,65,27,1.9921759383821824,1.8085997109486107,0.18357622743357171,-2.5994471341878227,2.397858264045564,2.626313181766823,1.933092793896281,1.8096815281039829,-0.2768941656651833
traditional_period_poly_runheldout,58,25,2.0766680808704043,1.7601640949073645,0.31650398596303986,-2.902410070081294,1.7774397244882638,2.4170843789925827,1.1481813420264437,1.326012014657794,-0.003170583616324052
traditional_period_poly_runheldout,59,11,2.0766680808704043,2.2903602708971884,-0.21369219002678408,-2.4115410936345385,1.5579936309520315,3.542837692538492,0.9544777387597393,1.0306464704758243,-0.10901852644443766
traditional_period_poly_runheldout,60,11,2.0766680808704043,1.6464520073355318,0.43021607353487257,-1.9260451573254058,1.9592851386191312,3.2919955267221854,1.0201425392540706,1.0546625307029995,-0.5732562540227164
traditional_period_poly_runheldout,61,18,2.0766680808704043,1.663990024835423,0.4126780560349814,-2.2106733659904947,2.0482336265778605,4.9999999999998295,1.5190997569449647,1.8590431405389702,-0.48624702545999376
traditional_period_poly_runheldout,62,7,2.0766680808704043,1.605291251684091,0.4713768291863134,-2.3613727053809708,1.6739637600423862,,1.0489632855211894,1.666124705258171,-0.747531937407544
traditional_period_poly_runheldout,63,28,2.0766680808704043,1.9968127801364242,0.07985530073398017,-2.8964954808583023,1.9694745835261034,2.492708832575775,1.29011310652244,1.3540288111024896,0.36983260027827924
traditional_period_poly_runheldout,65,27,2.0766680808704043,1.542389918915495,0.5342781619549093,-1.8087420996399841,2.390821741853033,4.999999999997265,1.6376778325239532,1.6153622545334168,0.009060949749006397
ml_extratrees_shape_runheldout,58,25,1.773234048414724,4.9999996749639575,-3.2267656265492333,-3.0503956962694154,1.2162250608210163,3.026285948105527,1.1151405644433396,1.6017190819554987,-0.0976986816741654
ml_extratrees_shape_runheldout,59,11,1.773234048414724,4.146300606904183,-2.373066558489459,-2.8013629315449613,1.5184812168677615,4.99999999996144,1.8990908496228514,2.8700248459648234,0.1559435744151103
ml_extratrees_shape_runheldout,60,11,1.773234048414724,2.056348738350564,-0.2831146899358401,-2.393906204215098,2.3390798672899016,4.999999999997141,0.9417218166449159,1.3038586213971683,-0.5962947161342464
ml_extratrees_shape_runheldout,61,18,1.773234048414724,1.9166571500738516,-0.14342310165912764,-2.0401962162567835,2.2562762899212383,4.999999999999309,1.907627909733252,1.9342288389920346,0.6790646399810791
ml_extratrees_shape_runheldout,62,7,1.773234048414724,2.235828264458879,-0.46259421604415496,-2.1477137505406723,2.3135069874068415,,1.9742129043133123,3.0116899032668933,0.9943050534749369
ml_extratrees_shape_runheldout,63,28,1.773234048414724,2.0142920336131542,-0.24105798519843025,-2.3885226678427274,2.201344917800767,4.9999999999911475,1.4629351833764246,2.2938326458605403,0.3076557550199406
ml_extratrees_shape_runheldout,65,27,1.773234048414724,2.3581447216447495,-0.5849106732300255,-2.5676454871607652,2.1257264386206756,4.999999999999999,1.4994516125356931,2.3635722642150516,0.7733001844165677
