min_samples_leaf,max_features,cv_rmse_ns_mean,cv_rmse_ns_std,heldout_run,best_min_samples_leaf,best_max_features
4,sqrt,2.4425625773659,1.0251820096914745,58,4,sqrt
10,sqrt,2.473502972578106,1.163609925126354,58,4,sqrt
4,sqrt,2.5388734982084844,1.088325392563461,59,10,sqrt
10,sqrt,2.480897072925253,1.150631297840796,59,10,sqrt
4,sqrt,2.556129516814423,1.1091133554484545,60,10,sqrt
10,sqrt,2.4835952761181725,1.1508270349325398,60,10,sqrt
4,sqrt,2.5243854103593786,0.9595885203720053,61,10,sqrt
10,sqrt,2.507942568956744,1.118103310959956,61,10,sqrt
4,sqrt,2.42121541363352,1.0390046453678472,62,4,sqrt
10,sqrt,2.475272972991227,1.163737029932854,62,4,sqrt
4,sqrt,2.5299194291854166,0.9606753184962772,63,10,sqrt
10,sqrt,2.4950349673413967,1.1279107621092732,63,10,sqrt
4,sqrt,2.4901335913955585,1.052932966157917,65,10,sqrt
10,sqrt,2.4752727687535137,1.1588374562141672,65,10,sqrt
