method,run,event_index,eventno,evt,stave,amplitude_adc,taxon,traditional_score,ml_score,q_template_rmse,pca_recon_mse,ae_recon_mse,isolation_anomaly_score,peak_sample,late_fraction,baseline_mad,saturation_count,secondary_peak,post_peak_min,timing_span_dup
traditional_robust_template,42,9921,777223,9973,B8,2093.5,novel_early_pretrigger,467.2674,4.214863,0.6203861,0.00796276,0.03001896,0.5504609,3,0.0,1706.0,1,0.63123953,-0.7487461,1.6587789
traditional_robust_template,42,10976,778278,10958,B8,1361.5,novel_early_pretrigger,369.9312,9.869636,1.0575383,0.021311171,0.058483176,0.67761505,2,0.0,1350.0,1,0.5196474,-1.7462357,1.5965925
traditional_robust_template,42,29588,796894,11931,B8,1953.0,novel_early_pretrigger,312.53467,2.410323,0.57059824,0.0032495256,0.017976401,0.54312575,3,0.0,1142.0,1,0.94009215,-0.59037375,1.7300353
traditional_robust_template,42,22796,790100,5603,B8,1070.5,novel_early_pretrigger,241.16385,5.911295,1.1652267,0.0011754162,0.05270231,0.648451,3,0.0,880.5,1,0.980383,-1.6314806,1.6550326
traditional_robust_template,42,8693,775995,8850,B8,1004.5,novel_early_pretrigger,236.03532,8.49679,1.3130839,0.001859774,0.079815015,0.6761423,3,0.0,861.5,1,0.96217024,-1.8750622,1.6398052
traditional_robust_template,42,23836,791141,6560,B8,1421.0,unassigned_common,203.4996,1.4039323,0.6120345,0.0009283861,0.011343459,0.53312683,4,0.0,744.5,1,0.73962,-0.66924703,1.8075757
traditional_robust_template,42,26794,794100,9300,B8,1211.0,unassigned_common,126.6307,0.9452826,0.50628,0.0013897808,0.00815534,0.50435686,4,0.0,464.5,1,0.793559,-0.42774567,1.8489914
traditional_robust_template,57,6993,364644,1396,B2,7582.5,baseline_excursion,1825.9358,38.899277,0.462719,0.13299343,0.20161693,0.6278482,3,0.2876512,6660.5,1,0.8784042,0.24009232,2.1425734
traditional_robust_template,57,17621,375274,11345,B2,9943.5,baseline_excursion,1497.5538,22.69758,0.35784602,0.05607299,0.15518206,0.61263317,4,0.310557,5463.5,1,0.7637653,0.42585608,0.0
traditional_robust_template,57,15788,373441,9634,B2,10824.0,baseline_excursion,1179.097,22.032967,0.33655196,0.06323186,0.13574615,0.5895144,1,0.3113744,4302.0,1,0.93865484,-0.39745012,2.7144845
traditional_robust_template,57,16168,373821,9992,B2,7109.0,baseline_excursion,1114.931,39.56057,0.4335916,0.15921791,0.15977746,0.61701167,2,0.24878907,4067.5,1,0.9631453,-1.0950907,1.0650666
traditional_robust_template,57,22116,379769,15464,B2,4690.5,baseline_excursion,1086.6647,106.77208,0.9404249,0.42984736,0.44792148,0.6723055,3,0.0,3964.0,1,0.69022495,-0.51604307,2.278312
traditional_robust_template,57,16447,374100,10247,B2,4549.0,baseline_excursion,1016.2179,10.571234,0.76883036,0.008622014,0.09940837,0.61217225,3,0.019791748,3707.5,1,0.21367334,-0.32996264,18.0
traditional_robust_template,57,27481,385134,4051,B2,4177.0,baseline_excursion,972.0663,8.336083,0.83887583,0.010103945,0.07024503,0.6027353,3,0.0,3546.0,1,0.17117548,-0.6521427,1.6432933
traditional_robust_template,57,3408,361059,14444,B2,4177.5,baseline_excursion,959.998,7.8541493,0.8354044,0.009707011,0.06541025,0.6002264,3,0.0,3502.0,1,0.16935967,-0.6610413,1.6477976
traditional_robust_template,57,58,357709,11280,B4,2504.0,baseline_excursion,607.46295,10.0883255,1.1500951,0.00611052,0.09550099,0.63723123,3,0.0,2216.0,1,0.0,-1.2208467,1.6298755
traditional_robust_template,57,13791,371444,7779,B4,4412.0,baseline_excursion,592.26514,5.7884865,0.557649,0.0095243575,0.0472655,0.54154766,3,0.13134266,2162.5,1,0.54329103,-0.16885766,18.0
traditional_robust_template,57,17642,375295,11364,B4,3919.5,baseline_excursion,591.0593,5.812495,0.5661415,0.010322392,0.0465961,0.53640795,3,0.105648175,2158.0,1,0.51932645,-0.25169027,18.0
traditional_robust_template,57,23550,381203,420,B4,2384.5,novel_early_pretrigger,521.98376,5.2549458,0.5976546,0.008490345,0.041355003,0.5536305,3,0.017332392,1905.5,1,0.511428,-0.72069615,1.663266
traditional_robust_template,57,17144,374797,10894,B4,2137.0,novel_early_pretrigger,478.67853,4.821679,0.64631987,0.009073845,0.03401274,0.56140757,3,0.0,1747.5,1,0.56574637,-0.827796,1.6573638
traditional_robust_template,57,9959,367610,4201,B4,3112.5,novel_early_pretrigger,435.49854,4.6462946,0.50319976,0.009060091,0.036491934,0.5216368,3,0.11285405,1591.0,1,0.69188756,-0.27325302,18.0
traditional_robust_template,57,14810,372463,8727,B4,1582.5,novel_early_pretrigger,424.79398,8.652365,1.3120456,0.007668413,0.068436764,0.6929588,2,0.0,1549.5,1,0.24612954,-1.9402844,1.5914811
traditional_robust_template,57,416,358067,11639,B4,1555.5,novel_early_pretrigger,397.8648,7.320528,1.0186939,0.010609577,0.051155917,0.651764,3,0.0,1452.0,1,0.4252652,-1.5515912,1.6153504
