method,family,energy_method,pid_method,timing_method,description,energy_res68_frac,energy_res68_ci95,energy_mae_mev,pid_roc_auc,pid_roc_auc_ci95,pid_balanced_accuracy,timing_sigma68_ns,timing_sigma68_ci95,leading_edge_sigma68_ns,secondary_delay_sigma68_ns,detection_ap,pileup_miss_rate,false_split_rate,energy_proxy_distortion_sigma68,pid_confusion_stave_bias_span,joint_loss,complete_joint_candidate
joint_residual_stack_new,new_hybrid_architecture,range_gated_residual_mlp_new,range_gated_residual_mlp_new,template_residual_boosted_stack_new,new hybrid: physics residual MLP for energy/PID plus boosted residual stack on template timing outputs,0.0586825849603852,"[0.049507856862864574, 0.07423858536186492]",0.2219019299057725,0.9994284506934102,"[0.9993086860669168, 0.9995282052948364]",0.9969428287684992,7.327766254794671,"[6.433808090940723, 8.34940479226752]",5.147897747261334,10.076857382624176,0.8546697692854948,0.3138888888888889,0.1555555555555555,0.0677647872763981,0.0420998634075187,0.4712291014812417,True
gradient_boosted_trees,tree_ml,gradient_boosted_trees,gradient_boosted_trees,gradient_boosted_trees,"boosted decision trees for energy regression, PID scoring, and pile-up timing endpoints",0.058091506141769,"[0.04997316199487904, 0.06870293779108373]",0.2142591478989148,0.9998807634415052,"[0.9998407994318201, 0.9999212437669026]",0.9982095805230924,7.22427986325753,"[6.633976469437182, 8.535152536621169]",5.004447650632709,10.545098026345812,0.8519374742069363,0.3222222222222222,0.1444444444444444,0.0731352173930261,0.0696733882439868,0.48094389420176104,True
ridge,linear_ml,ridge,ridge,ridge,standardized ridge/logistic linear heads on event and waveform summary features,0.0966917384333727,"[0.08872065682693188, 0.11727745712927652]",0.2973852297273477,0.9992461954666272,"[0.9990776789922683, 0.9994071946920459]",0.9967174861759256,10.101575881903685,"[9.058944099111836, 10.61299065636597]",7.2278431017415965,15.018119615856673,0.8407337184627077,0.2888888888888888,0.1833333333333333,0.0676750318245345,0.0682771900251826,0.5811394013758009,True
1d_cnn,waveform_nn,1d_cnn,1d_cnn,1d_cnn,compact one-dimensional convolutional network over B-stave waveform samples,0.1077539773331382,"[0.09096631165660496, 0.15317694685680575]",0.3397846617887725,0.9941012794731636,"[0.9906942479588701, 0.9951806597814103]",0.9727661881667764,11.15465232868387,"[10.3273094367697, 12.731267052042956]",7.595150390267726,16.130846214294433,0.8229410454089844,0.3666666666666666,0.1694444444444444,0.0829773445575397,0.0745799399371965,0.6806134191204719,True
mlp,tabular_nn,mlp,mlp,mlp,multilayer perceptron heads over fixed event-level pulse-shape features,0.1832730997575002,"[0.1427930343213011, 0.2443283243779723]",0.5376367509451159,0.9996053404035538,"[0.999518616816057, 0.9997040554673771]",0.9977352567061112,10.637619676281496,"[9.660707075143552, 10.90853529483594]",8.997258271588837,14.128715158463066,0.8332442595234891,0.3277777777777778,0.175,0.1052204845611162,0.099563601470927,0.7072923473074296,True
traditional_dedx_template_likelihood,traditional,geant4_birks_lookup,traditional_dedx_likelihood,two_pulse_template_cfd_baseline,GEANT4/Birks deltaE-E energy plus Gaussian charge-depth likelihood plus bounded two-pulse template score,0.0402476780185758,"[0.038856418352992535, 0.0416112695450198]",0.2282076557167133,0.9968660277793356,"[0.9961561416155131, 0.9975396274113366]",0.9924338993867056,10.19610888041943,"[8.293071830517288, 12.778820358630512]",6.157358153925898,17.499999999999996,0.687839512302372,0.5666666666666667,0.1833333333333333,0.0889757566394432,0.0757015645281559,0.7087918973778523,True
tiny_sequence_transformer,sequence_nn,,,tiny_sequence_transformer,one-layer self-attention model for timing/pile-up only; no independent PID energy head in this synthesis,,"[nan, nan]",,,"[nan, nan]",,12.491177574001515,"[10.77343000957894, 13.940876992211956]",11.50027003242744,17.5539113998413,0.8316229797834811,0.2944444444444444,0.225,0.1297664599001546,0.0754943806914769,2.8250721142839144,False
pileup_mask_transformer_new,new_sequence_architecture,,,pileup_mask_transformer_new,new late-mask transformer for timing/pile-up only; included as an architecture ablation,,"[nan, nan]",,,"[nan, nan]",,16.903051782770856,"[15.126059866041413, 18.271045767437062]",13.040745907582538,25.622071838378908,0.8140135278868348,0.45,0.1027777777777777,0.114813800496773,0.0893240677669156,2.964717231947078,False
