method,heldout_run,target_pair,charge_bin,n_cal_excluding_run_and_pair,scale68,fallback_global,abstention_budget,abstention_cutoff_abs_pull_train
traditional,58,B4-B6,"charge[1000,4000)",32,6.05866091904127,False,0.0,inf
traditional,58,B4-B6,"charge[14000,24000)",3499,1.510143914696876,False,0.0,inf
traditional,58,B4-B6,"charge[24000,40000)",3219,1.9208917923561009,False,0.0,inf
traditional,58,B4-B6,"charge[4000,8000)",127,6.185547006253965,False,0.0,inf
traditional,58,B4-B6,"charge[8000,14000)",596,4.680733238268894,False,0.0,inf
traditional,58,B4-B6,"charge[1000,4000)",32,6.05866091904127,False,0.05,6.0499661223052374
traditional,58,B4-B6,"charge[14000,24000)",3499,1.510143914696876,False,0.05,6.0499661223052374
traditional,58,B4-B6,"charge[24000,40000)",3219,1.9208917923561009,False,0.05,6.0499661223052374
traditional,58,B4-B6,"charge[4000,8000)",127,6.185547006253965,False,0.05,6.0499661223052374
traditional,58,B4-B6,"charge[8000,14000)",596,4.680733238268894,False,0.05,6.0499661223052374
traditional,58,B4-B8,"charge[1000,4000)",39,12.396177893977585,False,0.0,inf
traditional,58,B4-B8,"charge[14000,24000)",4151,1.8220257050189992,False,0.0,inf
traditional,58,B4-B8,"charge[24000,40000)",1974,1.5851527201587126,False,0.0,inf
traditional,58,B4-B8,"charge[4000,8000)",193,13.226646535446186,False,0.0,inf
traditional,58,B4-B8,"charge[40000,80000)",15,2.3100514013205657,True,0.0,inf
traditional,58,B4-B8,"charge[8000,14000)",1122,9.69939818550649,False,0.0,inf
traditional,58,B4-B8,"charge[1000,4000)",39,12.396177893977585,False,0.05,16.436268066020094
traditional,58,B4-B8,"charge[14000,24000)",4151,1.8220257050189992,False,0.05,16.436268066020094
traditional,58,B4-B8,"charge[24000,40000)",1974,1.5851527201587126,False,0.05,16.436268066020094
traditional,58,B4-B8,"charge[4000,8000)",193,13.226646535446186,False,0.05,16.436268066020094
traditional,58,B4-B8,"charge[40000,80000)",15,2.3100514013205657,True,0.05,16.436268066020094
traditional,58,B4-B8,"charge[8000,14000)",1122,9.69939818550649,False,0.05,16.436268066020094
traditional,58,B6-B8,"charge[1000,4000)",35,12.650989510702287,False,0.0,inf
traditional,58,B6-B8,"charge[14000,24000)",4126,2.5406886088208984,False,0.0,inf
traditional,58,B6-B8,"charge[24000,40000)",1949,2.8981158306391115,False,0.0,inf
traditional,58,B6-B8,"charge[4000,8000)",214,12.970843729127523,False,0.0,inf
traditional,58,B6-B8,"charge[8000,14000)",1148,9.493675345484059,False,0.0,inf
traditional,58,B6-B8,"charge[1000,4000)",35,12.650989510702287,False,0.05,16.58949166562869
traditional,58,B6-B8,"charge[14000,24000)",4126,2.5406886088208984,False,0.05,16.58949166562869
traditional,58,B6-B8,"charge[24000,40000)",1949,2.8981158306391115,False,0.05,16.58949166562869
traditional,58,B6-B8,"charge[4000,8000)",214,12.970843729127523,False,0.05,16.58949166562869
traditional,58,B6-B8,"charge[8000,14000)",1148,9.493675345484059,False,0.05,16.58949166562869
traditional,59,B4-B6,"charge[1000,4000)",30,5.886195881451181,False,0.0,inf
traditional,59,B4-B6,"charge[14000,24000)",2685,1.5936895139581353,False,0.0,inf
traditional,59,B4-B6,"charge[24000,40000)",2768,1.9430527534121351,False,0.0,inf
traditional,59,B4-B6,"charge[4000,8000)",127,6.185547006253965,False,0.0,inf
traditional,59,B4-B6,"charge[40000,80000)",22,2.3100514013205657,True,0.0,inf
traditional,59,B4-B6,"charge[8000,14000)",482,4.892082056434136,False,0.0,inf
traditional,59,B4-B6,"charge[1000,4000)",30,5.886195881451181,False,0.05,6.220226724530038
traditional,59,B4-B6,"charge[14000,24000)",2685,1.5936895139581353,False,0.05,6.220226724530038
traditional,59,B4-B6,"charge[24000,40000)",2768,1.9430527534121351,False,0.05,6.220226724530038
traditional,59,B4-B6,"charge[4000,8000)",127,6.185547006253965,False,0.05,6.220226724530038
traditional,59,B4-B6,"charge[40000,80000)",22,2.3100514013205657,True,0.05,6.220226724530038
traditional,59,B4-B6,"charge[8000,14000)",482,4.892082056434136,False,0.05,6.220226724530038
traditional,59,B4-B8,"charge[1000,4000)",39,12.635668375478659,False,0.0,inf
traditional,59,B4-B8,"charge[14000,24000)",3322,1.9651176231622178,False,0.0,inf
traditional,59,B4-B8,"charge[24000,40000)",1732,1.6210677123778956,False,0.0,inf
traditional,59,B4-B8,"charge[4000,8000)",180,13.214651959733937,False,0.0,inf
traditional,59,B4-B8,"charge[8000,14000)",829,10.957095472857631,False,0.0,inf
traditional,59,B4-B8,"charge[1000,4000)",39,12.635668375478659,False,0.05,16.636701263092977
traditional,59,B4-B8,"charge[14000,24000)",3322,1.9651176231622178,False,0.05,16.636701263092977
traditional,59,B4-B8,"charge[24000,40000)",1732,1.6210677123778956,False,0.05,16.636701263092977
traditional,59,B4-B8,"charge[4000,8000)",180,13.214651959733937,False,0.05,16.636701263092977
traditional,59,B4-B8,"charge[8000,14000)",829,10.957095472857631,False,0.05,16.636701263092977
traditional,59,B6-B8,"charge[1000,4000)",35,12.673866720188038,False,0.0,inf
traditional,59,B6-B8,"charge[14000,24000)",3291,2.77918969420659,False,0.0,inf
traditional,59,B6-B8,"charge[24000,40000)",1710,2.8952060291562165,False,0.0,inf
traditional,59,B6-B8,"charge[4000,8000)",195,12.98338653654574,False,0.0,inf
traditional,59,B6-B8,"charge[8000,14000)",863,10.38175369573269,False,0.0,inf
traditional,59,B6-B8,"charge[1000,4000)",35,12.673866720188038,False,0.05,16.767333824791958
traditional,59,B6-B8,"charge[14000,24000)",3291,2.77918969420659,False,0.05,16.767333824791958
traditional,59,B6-B8,"charge[24000,40000)",1710,2.8952060291562165,False,0.05,16.767333824791958
traditional,59,B6-B8,"charge[4000,8000)",195,12.98338653654574,False,0.05,16.767333824791958
traditional,59,B6-B8,"charge[8000,14000)",863,10.38175369573269,False,0.05,16.767333824791958
traditional,60,B4-B6,"charge[1000,4000)",25,2.3100514013205657,True,0.0,inf
traditional,60,B4-B6,"charge[14000,24000)",2974,1.5468593702992628,False,0.0,inf
traditional,60,B4-B6,"charge[24000,40000)",2383,1.9213355475316618,False,0.0,inf
traditional,60,B4-B6,"charge[4000,8000)",111,6.2258535339853225,False,0.0,inf
traditional,60,B4-B6,"charge[40000,80000)",17,2.3100514013205657,True,0.0,inf
traditional,60,B4-B6,"charge[8000,14000)",514,4.600487674174443,False,0.0,inf
traditional,60,B4-B6,"charge[1000,4000)",25,2.3100514013205657,True,0.05,6.063306968207476
traditional,60,B4-B6,"charge[14000,24000)",2974,1.5468593702992628,False,0.05,6.063306968207476
traditional,60,B4-B6,"charge[24000,40000)",2383,1.9213355475316618,False,0.05,6.063306968207476
traditional,60,B4-B6,"charge[4000,8000)",111,6.2258535339853225,False,0.05,6.063306968207476
traditional,60,B4-B6,"charge[40000,80000)",17,2.3100514013205657,True,0.05,6.063306968207476
traditional,60,B4-B6,"charge[8000,14000)",514,4.600487674174443,False,0.05,6.063306968207476
traditional,60,B4-B8,"charge[1000,4000)",31,12.653151436521297,False,0.0,inf
traditional,60,B4-B8,"charge[14000,24000)",3385,1.9192993492386616,False,0.0,inf
traditional,60,B4-B8,"charge[24000,40000)",1430,1.557135521477661,False,0.0,inf
traditional,60,B4-B8,"charge[4000,8000)",168,13.212814990234092,False,0.0,inf
traditional,60,B4-B8,"charge[40000,80000)",11,2.3100514013205657,True,0.0,inf
traditional,60,B4-B8,"charge[8000,14000)",999,9.209374923083994,False,0.0,inf
traditional,60,B4-B8,"charge[1000,4000)",31,12.653151436521297,False,0.05,16.638392497505883
traditional,60,B4-B8,"charge[14000,24000)",3385,1.9192993492386616,False,0.05,16.638392497505883
traditional,60,B4-B8,"charge[24000,40000)",1430,1.557135521477661,False,0.05,16.638392497505883
traditional,60,B4-B8,"charge[4000,8000)",168,13.212814990234092,False,0.05,16.638392497505883
traditional,60,B4-B8,"charge[40000,80000)",11,2.3100514013205657,True,0.05,16.638392497505883
traditional,60,B4-B8,"charge[8000,14000)",999,9.209374923083994,False,0.05,16.638392497505883
traditional,60,B6-B8,"charge[1000,4000)",28,2.3100514013205657,True,0.0,inf
traditional,60,B6-B8,"charge[14000,24000)",3383,2.7347949811268943,False,0.0,inf
traditional,60,B6-B8,"charge[24000,40000)",1391,3.0069450599263385,False,0.0,inf
traditional,60,B6-B8,"charge[4000,8000)",187,12.979302465092454,False,0.0,inf
traditional,60,B6-B8,"charge[40000,80000)",18,2.3100514013205657,True,0.0,inf
traditional,60,B6-B8,"charge[8000,14000)",1017,9.188430574517115,False,0.0,inf
traditional,60,B6-B8,"charge[1000,4000)",28,2.3100514013205657,True,0.05,16.857267159399086
traditional,60,B6-B8,"charge[14000,24000)",3383,2.7347949811268943,False,0.05,16.857267159399086
traditional,60,B6-B8,"charge[24000,40000)",1391,3.0069450599263385,False,0.05,16.857267159399086
traditional,60,B6-B8,"charge[4000,8000)",187,12.979302465092454,False,0.05,16.857267159399086
traditional,60,B6-B8,"charge[40000,80000)",18,2.3100514013205657,True,0.05,16.857267159399086
traditional,60,B6-B8,"charge[8000,14000)",1017,9.188430574517115,False,0.05,16.857267159399086
traditional,61,B4-B6,"charge[1000,4000)",36,5.98364673402622,False,0.0,inf
traditional,61,B4-B6,"charge[14000,24000)",2760,1.3531069108826783,False,0.0,inf
traditional,61,B4-B6,"charge[24000,40000)",2371,1.7877918343557488,False,0.0,inf
traditional,61,B4-B6,"charge[4000,8000)",102,5.610183591816105,False,0.0,inf
traditional,61,B4-B6,"charge[8000,14000)",490,4.491334593243518,False,0.0,inf
traditional,61,B4-B6,"charge[1000,4000)",36,5.98364673402622,False,0.05,5.6555763555210685
traditional,61,B4-B6,"charge[14000,24000)",2760,1.3531069108826783,False,0.05,5.6555763555210685
traditional,61,B4-B6,"charge[24000,40000)",2371,1.7877918343557488,False,0.05,5.6555763555210685
traditional,61,B4-B6,"charge[4000,8000)",102,5.610183591816105,False,0.05,5.6555763555210685
traditional,61,B4-B6,"charge[8000,14000)",490,4.491334593243518,False,0.05,5.6555763555210685
traditional,61,B4-B8,"charge[14000,24000)",3215,1.5512706024687943,False,0.0,inf
traditional,61,B4-B8,"charge[24000,40000)",1424,1.497373998582527,False,0.0,inf
traditional,61,B4-B8,"charge[4000,8000)",152,12.1593342597215,False,0.0,inf
traditional,61,B4-B8,"charge[40000,80000)",13,2.3100514013205657,True,0.0,inf
traditional,61,B4-B8,"charge[8000,14000)",929,9.04596375019881,False,0.0,inf
traditional,61,B4-B8,"charge[14000,24000)",3215,1.5512706024687943,False,0.05,15.87841471827138
traditional,61,B4-B8,"charge[24000,40000)",1424,1.497373998582527,False,0.05,15.87841471827138
traditional,61,B4-B8,"charge[4000,8000)",152,12.1593342597215,False,0.05,15.87841471827138
traditional,61,B4-B8,"charge[40000,80000)",13,2.3100514013205657,True,0.05,15.87841471827138
traditional,61,B4-B8,"charge[8000,14000)",929,9.04596375019881,False,0.05,15.87841471827138
traditional,61,B6-B8,"charge[14000,24000)",3175,1.9915065691928528,False,0.0,inf
traditional,61,B6-B8,"charge[24000,40000)",1427,2.4622210496130115,False,0.0,inf
traditional,61,B6-B8,"charge[4000,8000)",166,11.905735211845009,False,0.0,inf
traditional,61,B6-B8,"charge[40000,80000)",18,2.3100514013205657,True,0.0,inf
traditional,61,B6-B8,"charge[8000,14000)",951,8.933487762648152,False,0.0,inf
traditional,61,B6-B8,"charge[14000,24000)",3175,1.9915065691928528,False,0.05,15.958666120292015
traditional,61,B6-B8,"charge[24000,40000)",1427,2.4622210496130115,False,0.05,15.958666120292015
traditional,61,B6-B8,"charge[4000,8000)",166,11.905735211845009,False,0.05,15.958666120292015
traditional,61,B6-B8,"charge[40000,80000)",18,2.3100514013205657,True,0.05,15.958666120292015
traditional,61,B6-B8,"charge[8000,14000)",951,8.933487762648152,False,0.05,15.958666120292015
traditional,62,B4-B6,"charge[1000,4000)",31,5.832051053674531,False,0.0,inf
traditional,62,B4-B6,"charge[14000,24000)",2800,1.5436367992500173,False,0.0,inf
traditional,62,B4-B6,"charge[24000,40000)",2592,2.0010175932015266,False,0.0,inf
traditional,62,B4-B6,"charge[4000,8000)",115,6.156489787651597,False,0.0,inf
traditional,62,B4-B6,"charge[40000,80000)",15,2.3100514013205657,True,0.0,inf
traditional,62,B4-B6,"charge[8000,14000)",473,4.783159851814322,False,0.0,inf
traditional,62,B4-B6,"charge[1000,4000)",31,5.832051053674531,False,0.05,6.0969267041049555
traditional,62,B4-B6,"charge[14000,24000)",2800,1.5436367992500173,False,0.05,6.0969267041049555
traditional,62,B4-B6,"charge[24000,40000)",2592,2.0010175932015266,False,0.05,6.0969267041049555
traditional,62,B4-B6,"charge[4000,8000)",115,6.156489787651597,False,0.05,6.0969267041049555
traditional,62,B4-B6,"charge[40000,80000)",15,2.3100514013205657,True,0.05,6.0969267041049555
traditional,62,B4-B6,"charge[8000,14000)",473,4.783159851814322,False,0.05,6.0969267041049555
traditional,62,B4-B8,"charge[1000,4000)",38,12.474758176079007,False,0.0,inf
traditional,62,B4-B8,"charge[14000,24000)",3295,1.920924048831092,False,0.0,inf
traditional,62,B4-B8,"charge[24000,40000)",1612,1.6229423081500332,False,0.0,inf
traditional,62,B4-B8,"charge[4000,8000)",165,13.420210534918688,False,0.0,inf
traditional,62,B4-B8,"charge[40000,80000)",9,2.3100514013205657,True,0.0,inf
traditional,62,B4-B8,"charge[8000,14000)",907,9.614384833677997,False,0.0,inf
traditional,62,B4-B8,"charge[1000,4000)",38,12.474758176079007,False,0.05,16.883833742094055
traditional,62,B4-B8,"charge[14000,24000)",3295,1.920924048831092,False,0.05,16.883833742094055
traditional,62,B4-B8,"charge[24000,40000)",1612,1.6229423081500332,False,0.05,16.883833742094055
traditional,62,B4-B8,"charge[4000,8000)",165,13.420210534918688,False,0.05,16.883833742094055
traditional,62,B4-B8,"charge[40000,80000)",9,2.3100514013205657,True,0.05,16.883833742094055
traditional,62,B4-B8,"charge[8000,14000)",907,9.614384833677997,False,0.05,16.883833742094055
traditional,62,B6-B8,"charge[1000,4000)",35,12.650989510702287,False,0.0,inf
traditional,62,B6-B8,"charge[14000,24000)",3261,2.8017255737907014,False,0.0,inf
traditional,62,B6-B8,"charge[24000,40000)",1604,3.0587003721214483,False,0.0,inf
traditional,62,B6-B8,"charge[4000,8000)",182,13.148288207814721,False,0.0,inf
traditional,62,B6-B8,"charge[40000,80000)",16,2.3100514013205657,True,0.0,inf
