abstention_budget,run,method,n,n_events,n_runs,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,pull_width68,coverage68,coverage95,calibration_loss,mean_sigma_hat_ns,accepted_fraction
0.0,58,cnn1d,219,73,1,1.4039555478213432,2.4031789212928265,0.0182648401826484,0.881693450862628,0.639269406392694,0.9817351598173516,0.06448726489967656,1.8806825836031378,1.0
0.0,58,gradient_boosted_trees,219,73,1,1.4616986823631595,2.617548331453194,0.0228310502283105,0.746447265579624,0.6757990867579908,0.9680365296803652,0.09282655649325015,2.1220951813188527,1.0
0.0,58,mlp,219,73,1,1.6339445465206723,2.356310141256754,0.0182648401826484,0.7338899121722637,0.6210045662100456,0.954337899543379,0.11071097109935657,2.2092970849189606,1.0
0.0,58,phase_conformal_gated_cnn,219,73,1,1.444963991653738,2.6062312122154925,0.0182648401826484,0.8874769966586922,0.6073059360730594,0.9863013698630136,0.07473597642275405,2.0207063916205272,1.0
0.0,58,ridge,219,73,1,1.3432764816401601,2.092346212221755,0.0182648401826484,0.7072389809567183,0.6484018264840182,0.9634703196347032,0.1135063347769889,1.882677043681675,1.0
0.0,58,traditional,219,73,1,1.1874833645739167,2.677930132419911,0.0182648401826484,1.3116289190839427,0.6529680365296804,0.7808219178082192,0.1701761522943477,2.7856288577389026,1.0
0.0,59,cnn1d,2289,763,1,1.4608511677820182,2.443574295440962,0.014416775884665793,0.8635602359773337,0.6535605067715159,0.9654871122761031,0.06035195388808453,1.8364087019332669,1.0
0.0,59,gradient_boosted_trees,2289,763,1,1.449954031665229,2.164975044680816,0.013543031891655745,0.7936005093265125,0.6815203145478375,0.9497597204019222,0.06926964928690926,1.8889773014801858,1.0
0.0,59,mlp,2289,763,1,1.5275712609098593,2.412828746937189,0.013979903888160769,0.7807464048793945,0.6985583224115334,0.9501965923984272,0.07843967259785538,2.057316850370045,1.0
0.0,59,phase_conformal_gated_cnn,2289,763,1,1.4551668344494617,2.4219353148949243,0.012232415902140673,0.929986774189218,0.6880733944954128,0.9619921363040629,0.029129754824419225,1.9005948872022003,1.0
0.0,59,ridge,2289,763,1,1.5061781009973858,2.4413239210942446,0.01616426387068589,0.8551473708871431,0.6312800349497597,0.9458278724333771,0.06681140462224004,1.8383628014793794,1.0
0.0,59,traditional,2289,763,1,1.4587081303487366,2.5401850621944355,0.020969855832241154,1.0037350144102084,0.7370030581039755,0.8527741371778069,0.05175814773312563,3.2667916907749666,1.0
0.0,60,cnn1d,2424,808,1,1.3738857922491532,2.1785644377114437,0.014026402640264026,0.7314835407426348,0.7982673267326733,0.9698844884488449,0.1346595941006278,2.0812296717744623,1.0
