feature,ap_importance_mean,ap_importance_std
late_fraction,0.0017479103998307211,0.0013032018743853809
wf_late_frac,0.0017479103998307211,0.0013032018743853809
post_peak_min,0.001555038334667469,0.0023172959656975827
wf_width50,0.0014414248411197983,0.0009424146429671909
traditional_score,0.0007186927124768483,0.0007451213964238593
baseline_mad,0.0006514738514571794,0.0006969013450546028
saturation_count,0.0005198151945354334,0.0006932692353889822
timing_span_dup,0.00036072711934775903,0.00023907423751206027
isolation_anomaly_score,0.00027075458822283237,0.00019976472380670455
wf_tail_min,0.00018442578158625044,0.00030802970019269655
wf_width35,9.87012584192537e-05,0.00013704350083890856
secondary_peak,6.978605234060909e-05,0.00010332875367936905
wf_secondary_peak,6.978605234060909e-05,0.00010332875367936905
ae_recon_mse,6.776602372771112e-05,5.99851913124702e-05
pca_recon_mse,1.2430529874934982e-05,2.770706959519096e-05
