method,n,positives,roc_auc,average_precision,top25_precision,top50_precision,brier
ridge_logistic,256,248,0.9747983870967742,0.9991852161025804,1.0,1.0,0.05320945496639365
mlp,256,248,0.964717741935484,0.9988605758148571,1.0,1.0,0.026814548620015505
gradient_boosted_trees,256,248,0.9165826612903226,0.9967109966978001,1.0,1.0,0.01832013659454755
traditional_shape_outlier,256,248,0.7686491935483872,0.99135303273887,1.0,1.0,0.03125
hybrid_review_fusion_new,256,248,0.8109879032258065,0.9911289564492454,1.0,0.984375,0.14780618682967536
one_dimensional_cnn,256,248,0.5892137096774195,0.9815887851911975,0.984375,0.9765625,0.20132841655100014
