method,run,n,positives,roc_auc,average_precision,top25_precision,top50_precision,brier
gradient_boosted_trees,42,64,61,1.0,1.0,1.0,1.0,0.006383822763839447
gradient_boosted_trees,57,64,63,1.0,0.9999999999999998,1.0,1.0,0.00021645134342289742
gradient_boosted_trees,64,64,62,0.8387096774193548,0.9944983061735574,1.0,1.0,0.030960406559158143
gradient_boosted_trees,65,64,62,0.7137096774193549,0.9868065384058391,1.0,0.96875,0.03571986571176972
hybrid_review_fusion_new,42,64,61,1.0,1.0,1.0,1.0,0.06796359407556707
hybrid_review_fusion_new,57,64,63,1.0,0.9999999999999998,1.0,1.0,0.21284138146780573
hybrid_review_fusion_new,64,64,62,0.5483870967741935,0.9816202706360493,1.0,1.0,0.07998079364230223
hybrid_review_fusion_new,65,64,62,0.7096774193548387,0.9865030782184889,1.0,0.96875,0.23043897813302638
mlp,42,64,61,0.9890710382513661,0.9994668446740818,1.0,1.0,0.03816637320600491
mlp,57,64,63,1.0,1.0,1.0,1.0,0.010492766762728034
mlp,64,64,62,0.9758064516129032,0.9992358220603537,1.0,1.0,0.023354700058785816
mlp,65,64,62,0.9516129032258065,0.9984292210630635,1.0,1.0,0.03524435445254326
one_dimensional_cnn,42,64,61,0.48633879781420764,0.9623785783283951,0.9375,0.96875,0.20566717046208968
one_dimensional_cnn,57,64,63,0.9047619047619048,0.9984502173021732,1.0,1.0,0.1631242636260537
one_dimensional_cnn,64,64,62,0.5080645161290323,0.9790968931420065,1.0,0.96875,0.19904644017795184
one_dimensional_cnn,65,64,62,0.45967741935483875,0.9761738097077922,1.0,0.96875,0.23747579193790536
ridge_logistic,42,64,61,0.9726775956284153,0.9986775284765766,1.0,1.0,0.05938190119876322
ridge_logistic,57,64,63,0.9841269841269841,0.999751984126984,1.0,1.0,0.03901021256780262
ridge_logistic,64,64,62,0.9919354838709677,0.9997439836149513,1.0,1.0,0.039226274988525336
ridge_logistic,65,64,62,0.9516129032258065,0.9983991501730094,1.0,1.0,0.07521943111048343
traditional_shape_outlier,42,64,61,0.7978142076502732,0.989511364144805,1.0,1.0,0.046875
traditional_shape_outlier,57,64,63,0.7301587301587301,0.9951440148892856,1.0,1.0,0.015625
traditional_shape_outlier,64,64,62,0.9112903225806452,0.9969882094740805,1.0,1.0,0.03125
traditional_shape_outlier,65,64,62,0.6129032258064516,0.9829500129087902,1.0,0.96875,0.03125
