method,metric,ci_low,ci_high,bootstrap_replicates
gradient_boosted_trees,average_precision,0.9907047546654775,1.0,2000
gradient_boosted_trees,roc_auc,0.770223752151463,1.0,2000
gradient_boosted_trees,top25_precision,1.0,1.0,2000
gradient_boosted_trees,top50_precision,0.9765625,1.0,2000
gradient_boosted_trees,brier,0.0033001370536311723,0.03334013613546394,2000
hybrid_review_fusion_new,average_precision,0.9828395728187862,0.9999510236066216,2000
hybrid_review_fusion_new,roc_auc,0.5826612903225806,0.998,2000
hybrid_review_fusion_new,top25_precision,1.0,1.0,2000
hybrid_review_fusion_new,top50_precision,0.96875,1.0,2000
hybrid_review_fusion_new,brier,0.07397219385893465,0.22164017980041606,2000
mlp,average_precision,0.9984612495775919,0.999811636328701,2000
mlp,roc_auc,0.9559154295996402,0.9904382470119523,2000
mlp,top25_precision,1.0,1.0,2000
mlp,top50_precision,1.0,1.0,2000
mlp,brier,0.01370825008674248,0.036705363829274085,2000
one_dimensional_cnn,average_precision,0.967660924767298,0.9940018973404886,2000
one_dimensional_cnn,roc_auc,0.47479674796747967,0.7577689243027887,2000
one_dimensional_cnn,top25_precision,0.953125,1.0,2000
one_dimensional_cnn,top50_precision,0.9609375,1.0,2000
one_dimensional_cnn,brier,0.1737599903350627,0.227868453997917,2000
ridge_logistic,average_precision,0.99847405241968,0.9997470316210474,2000
ridge_logistic,roc_auc,0.9581181870338498,0.9893333333333333,2000
ridge_logistic,top25_precision,1.0,1.0,2000
ridge_logistic,top50_precision,1.0,1.0,2000
ridge_logistic,brier,0.039118243778163975,0.06730066615462332,2000
traditional_shape_outlier,average_precision,0.9856309380678354,0.9959427611995744,2000
traditional_shape_outlier,roc_auc,0.6581196581196582,0.8672964462438146,2000
traditional_shape_outlier,top25_precision,1.0,1.0,2000
traditional_shape_outlier,top50_precision,0.9765625,1.0,2000
traditional_shape_outlier,brier,0.01953125,0.04296875,2000
