heldout_run,sentinel,roc_auc,average_precision
44,run_family_only_sentinel,0.5,0.6019874476987448
44,amplitude_stave_only_sentinel,0.969515738471146,0.9780715788722818
45,run_family_only_sentinel,0.5,0.6399860948159736
45,amplitude_stave_only_sentinel,0.9706413329849795,0.9818156954080173
46,run_family_only_sentinel,0.5,0.6070901033973413
46,amplitude_stave_only_sentinel,0.986457933154053,0.9904106967801927
47,run_family_only_sentinel,0.5,0.6337919007944197
47,amplitude_stave_only_sentinel,0.9866152609350408,0.9913887482927789
48,run_family_only_sentinel,0.5,0.5652635570724308
48,amplitude_stave_only_sentinel,0.9681088718893341,0.9716433715023893
49,run_family_only_sentinel,0.5,0.5749443926239506
49,amplitude_stave_only_sentinel,0.9686713513228377,0.9735920422797553
50,run_family_only_sentinel,0.5,0.9032314563446887
50,amplitude_stave_only_sentinel,0.9860190325440299,0.9983714445864349
51,run_family_only_sentinel,0.5,0.8687653025533403
51,amplitude_stave_only_sentinel,0.9856490956923251,0.9976820382325035
52,run_family_only_sentinel,0.5,0.8727823453050627
52,amplitude_stave_only_sentinel,0.9852587098850998,0.9976798539438718
53,run_family_only_sentinel,0.5,0.9136876314280252
53,amplitude_stave_only_sentinel,0.9829862315076541,0.9980907724832686
54,run_family_only_sentinel,0.5,0.9158604415978425
54,amplitude_stave_only_sentinel,0.9827337343489138,0.9982423554392004
55,run_family_only_sentinel,0.5,0.865091146606496
55,amplitude_stave_only_sentinel,0.9843992290450783,0.9971814927270652
56,run_family_only_sentinel,0.5,0.8908353025788555
56,amplitude_stave_only_sentinel,0.9855087636577033,0.9980652712929015
57,run_family_only_sentinel,0.5,0.5706005100857872
57,amplitude_stave_only_sentinel,0.967431211760678,0.972430138649412
