run_family,stave,amp_bin,late_tail_class,n_residuals,conditioned
sample_ii_analysis,B2,all,all,1100,False
sample_ii_analysis,B4,all,all,1100,False
sample_ii_analysis,B6,all,all,1068,False
sample_ii_analysis,B8,all,all,951,False
sample_ii_analysis,B2,0,all,363,False
sample_ii_analysis,B2,0,balanced,82,True
sample_ii_analysis,B2,0,fast_tail,147,True
sample_ii_analysis,B2,0,slow_tail,134,True
sample_ii_analysis,B2,1,all,363,False
sample_ii_analysis,B2,1,balanced,123,True
sample_ii_analysis,B2,1,fast_tail,91,True
sample_ii_analysis,B2,1,slow_tail,149,True
sample_ii_analysis,B2,2,all,374,False
sample_ii_analysis,B2,2,balanced,158,True
sample_ii_analysis,B2,2,fast_tail,125,True
sample_ii_analysis,B2,2,slow_tail,91,True
sample_ii_analysis,B2,all,all,1100,False
sample_ii_analysis,B2,all,balanced,363,False
sample_ii_analysis,B2,all,fast_tail,363,False
sample_ii_analysis,B2,all,slow_tail,374,False
sample_ii_analysis,B4,0,all,363,False
sample_ii_analysis,B4,0,balanced,79,True
sample_ii_analysis,B4,0,fast_tail,161,True
sample_ii_analysis,B4,0,slow_tail,123,True
sample_ii_analysis,B4,1,all,363,False
sample_ii_analysis,B4,1,balanced,120,True
sample_ii_analysis,B4,1,fast_tail,118,True
sample_ii_analysis,B4,1,slow_tail,125,True
sample_ii_analysis,B4,2,all,374,False
sample_ii_analysis,B4,2,balanced,164,True
sample_ii_analysis,B4,2,fast_tail,84,True
sample_ii_analysis,B4,2,slow_tail,126,True
sample_ii_analysis,B4,all,all,1100,False
sample_ii_analysis,B4,all,balanced,363,False
sample_ii_analysis,B4,all,fast_tail,363,False
sample_ii_analysis,B4,all,slow_tail,374,False
sample_ii_analysis,B6,0,all,353,False
sample_ii_analysis,B6,0,balanced,92,True
sample_ii_analysis,B6,0,fast_tail,149,True
sample_ii_analysis,B6,0,slow_tail,112,True
sample_ii_analysis,B6,1,all,352,False
sample_ii_analysis,B6,1,balanced,117,True
sample_ii_analysis,B6,1,fast_tail,109,True
sample_ii_analysis,B6,1,slow_tail,126,True
sample_ii_analysis,B6,2,all,363,False
sample_ii_analysis,B6,2,balanced,143,True
sample_ii_analysis,B6,2,fast_tail,95,True
sample_ii_analysis,B6,2,slow_tail,125,True
sample_ii_analysis,B6,all,all,1068,False
sample_ii_analysis,B6,all,balanced,352,False
sample_ii_analysis,B6,all,fast_tail,353,False
sample_ii_analysis,B6,all,slow_tail,363,False
sample_ii_analysis,B8,0,all,314,False
sample_ii_analysis,B8,0,balanced,74,True
sample_ii_analysis,B8,0,fast_tail,133,True
sample_ii_analysis,B8,0,slow_tail,107,True
sample_ii_analysis,B8,1,all,313,False
sample_ii_analysis,B8,1,balanced,107,True
sample_ii_analysis,B8,1,fast_tail,80,True
sample_ii_analysis,B8,1,slow_tail,126,True
sample_ii_analysis,B8,2,all,324,False
sample_ii_analysis,B8,2,balanced,132,True
sample_ii_analysis,B8,2,fast_tail,101,True
sample_ii_analysis,B8,2,slow_tail,91,True
sample_ii_analysis,B8,all,all,951,False
sample_ii_analysis,B8,all,balanced,313,False
sample_ii_analysis,B8,all,fast_tail,314,False
sample_ii_analysis,B8,all,slow_tail,324,False
