method,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,ap_ci_low,ap_ci_high,brier,notes,family
traditional D_t cut baseline,1.0,0.9999999999999999,1.0,1.0,0.9999999999999998,1.0000000000000002,0.0,Direct label-defining span score; equivalent to the D_t cut baseline.,traditional
shape_only_random_forest_reference,0.9987174529517918,0.9977736338914239,0.9992397196206305,0.9647692114442399,0.9345193720964997,0.9814623091861963,0.006118330364716417,"Reference S07b-style RF; best params={'n_estimators': 500, 'max_depth': 7, 'min_samples_leaf': 8}.",ML
timing_shape_hybrid_new,0.9976475895849446,0.9966075365349941,0.9989139102654006,0.9350220985377303,0.9097553123470096,0.9691136069851586,0.0071613100348531305,"New hybrid residual stack fusing shape, compact convolutional responses, and non-label curvature.",new
gradient_boosted_trees,0.9974413508636246,0.9961856821867222,0.9988958425406445,0.9476783699265985,0.9257515794256969,0.9750396447449126,0.006650513505468297,Histogram gradient boosting on the same strict shape summaries.,ML
ridge,0.99328435163702,0.9816631210143199,0.9991023782992281,0.9373278556425375,0.8881130703443159,0.9742223289217992,0.006979098451148486,L2 logistic regression on strict normalized shape summaries.,ML
mlp,0.9798466099510182,0.9514796673156883,0.9945337678081986,0.8904946025681194,0.8221694618480324,0.9468404074838142,0.009213308034469169,Two-layer MLP on standardized strict shape summaries.,NN
1d_cnn,0.6732276359886569,0.5786776052604161,0.7590019727142052,0.204761071885002,0.09140761442181994,0.3506145473418718,0.03246844759278573,Compact neural head over fixed 1D convolutional response features.,NN
curvature-only traditional cross-check,0.6563225058004641,0.6110090025517654,0.6806510633625849,0.3315026235368737,0.23302828170620513,0.3784905655587038,0.24773968670314864,Uses |C_t| where available; not label-defining for events missing one downstream stave.,traditional
