n_estimators,max_depth,min_samples_leaf,roc_auc,average_precision,brier
200,3,20,0.9982985305491107,0.954556585096112,0.0067344940653170145
300,4,15,0.9985047692704304,0.9592208790538724,0.006825552259488693
400,5,10,0.9986852281515854,0.9636633904128631,0.006679178196687487
500,7,8,0.9987174529517918,0.9647692114442399,0.006118330364716417
