heldout_run,method,family,baseline,n_heldout_events,n_pair_residuals,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,bias_vs_log_amp_slope_ns,ci_low,ci_high,delta_vs_traditional_ns,delta_ci_low,delta_ci_high
58,ml_ridge_all_root_proxies,ml,traditional_global_no_proxy,73,219,1.3507156013582085,2.783177839521935,0.0182648401826484,-0.16228703223770954,1.15150036404549,1.5204259642951135,-0.17207673080636732,-0.5975185815859532,0.08518570397631513
58,ml_cnn1d_proxy_all_root_proxies,ml,traditional_global_no_proxy,73,219,1.3633826035126884,2.8114572211064837,0.0228310502283105,-0.19951287647587082,1.18464914202073,1.6155422449489596,-0.1594097286518874,-0.4749483781692019,0.16145586303779233
58,ml_gated_proxy_all_root_proxies,ml,traditional_global_no_proxy,73,219,1.420292165501971,2.7165918347286895,0.0228310502283105,-0.1593716540401848,1.179774200366869,1.7560035049860585,-0.10250016666260486,-0.14737040827083037,-0.02003894287578988
58,ml_mlp_all_root_proxies_shuffled,shuffled_target_control,traditional_global_no_proxy,73,219,1.4684354245571012,2.7291922607903127,0.0228310502283105,-0.1623362689200026,1.2407542895707488,1.8023659970355275,-0.05435690760747458,-0.10093179429844605,0.002717521609800666
58,ml_gated_proxy_all_root_proxies_shuffled,shuffled_target_control,traditional_global_no_proxy,73,219,1.5057429378987233,2.7419952502152802,0.0228310502283105,-0.16286326768551432,1.2286219251770536,1.8146350192910963,-0.017049394265852502,-0.04019167330922172,0.01502288058674022
58,traditional_global_no_proxy,traditional,traditional_global_no_proxy,73,219,1.5227923321645758,2.750018817648731,0.0228310502283105,-0.16228701930269285,1.2867266400448072,1.8530973626123268,0.0,0.0,0.0
58,ml_cnn1d_proxy_all_root_proxies_shuffled,shuffled_target_control,traditional_global_no_proxy,73,219,1.523294146517023,2.749319107942499,0.0228310502283105,-0.16204975066575716,1.2362961885201404,1.844873332269428,0.0005018143524473384,-0.009396038821442793,0.01189025421021755
58,ml_hgb_all_root_proxies_shuffled,shuffled_target_control,traditional_global_no_proxy,73,219,1.5344201326307794,2.756888432919553,0.0228310502283105,-0.17901893431849542,1.3498196089256913,1.8950520316277986,0.011627800466203597,-0.022553754093212232,0.05973882492614984
58,ml_ridge_all_root_proxies_shuffled,shuffled_target_control,traditional_global_no_proxy,73,219,1.5478758871463614,2.7566457931378268,0.0228310502283105,-0.16228701930269332,1.3168201627977083,1.8644905686151638,0.025083554981785605,-0.003845013924508289,0.02784973382949829
58,ml_hgb_all_root_proxies,ml,traditional_global_no_proxy,73,219,1.6268783789590384,2.9121673821476266,0.0228310502283105,-0.27489048725183485,1.4331712024849508,1.8197432847963493,0.10408604679446265,-0.30636052601519076,0.40403689324346015
58,ml_mlp_all_root_proxies,ml,traditional_global_no_proxy,73,219,2.260759900378715,3.214909563754468,0.0319634703196347,-0.16228749137464166,2.0430366774824216,2.4392091206795996,0.7379675682141391,0.2720927044039286,1.003116378071137
58,traditional_binned_no_proxy,traditional,traditional_global_no_proxy,73,219,3.6348446474299303,4.614739176663568,0.1917808219178082,1.0928719477478428,3.219366777961315,4.08849440900166,2.1120523152653545,1.5230539947959296,2.5986869514126014
58,traditional_proxy_dynamic_boundary,traditional_proxy,traditional_global_no_proxy,73,219,23.40867644325336,21.694213071457128,0.365296803652968,-0.11269709675687928,23.21223713712259,23.597091164292266,21.885884111088785,21.444201029454344,22.22322588795276
58,traditional_proxy_all_root_proxies,traditional_proxy,traditional_global_no_proxy,73,219,23.40867792297339,21.694214424246027,0.365296803652968,-0.11269709926199763,23.21943555297266,23.606646328544187,21.88588559080881,21.454273934750226,22.238509286956777
58,traditional_proxy_baseline_rate,traditional_proxy,traditional_global_no_proxy,73,219,25.628815590307102,23.841760364332124,0.365296803652968,-0.19370407488094357,25.47298421321745,25.816502484739484,24.106023258142528,23.68495213644828,24.481537209174885
59,ml_cnn1d_proxy_all_root_proxies,ml,traditional_global_no_proxy,763,2289,1.2327725217974093,2.303404918539572,0.011795543905635648,-0.7868317581584898,1.1673755311352334,1.2896402129486404,-0.36398780550795395,-0.42918455121685034,-0.3054289879161544
59,ml_mlp_all_root_proxies,ml,traditional_global_no_proxy,763,2289,1.297191587323336,2.335366528504567,0.012232415902140673,-0.7478655796393929,1.2279062642322442,1.3774953411380666,-0.29956873998202727,-0.38500505343291935,-0.22218669324798723
59,ml_hgb_all_root_proxies,ml,traditional_global_no_proxy,763,2289,1.3032197392772344,2.315987991235467,0.012669287898645697,-0.755594123002648,1.2273929518385698,1.3828263281261766,-0.29354058802812877,-0.37862320470376654,-0.2173559058909862
59,ml_gated_proxy_all_root_proxies,ml,traditional_global_no_proxy,763,2289,1.3247745159804438,2.3354224063817046,0.012232415902140673,-0.7828324114072233,1.2638310284663548,1.4030325172697535,-0.2719858113249194,-0.35024446423631334,-0.1940860487332503
59,ml_ridge_all_root_proxies,ml,traditional_global_no_proxy,763,2289,1.3601683919586876,2.35101879566693,0.012669287898645697,-0.8128109004691304,1.302738686608319,1.4399688368762176,-0.23659193534667566,-0.30471117036369433,-0.1609567841904771
59,ml_gated_proxy_all_root_proxies_shuffled,shuffled_target_control,traditional_global_no_proxy,763,2289,1.5425673960897233,2.4557073825133786,0.012232415902140673,-0.8109713632698228,1.491641308697339,1.5934708669059032,-0.05419293121563995,-0.0756511002862497,-0.03718004019943493
59,ml_ridge_all_root_proxies_shuffled,shuffled_target_control,traditional_global_no_proxy,763,2289,1.5911964166257118,2.482393796995094,0.012669287898645697,-0.81281090074668,1.5362430819926836,1.6441867818996576,-0.0055639106796514515,-0.009736772407777655,-0.0003888373046376177
59,traditional_proxy_baseline_rate,traditional_proxy,traditional_global_no_proxy,763,2289,1.5940055426647393,2.481916460013496,0.012669287898645697,-0.8129191421664869,1.5364095534530742,1.6449231019058776,-0.002754784640623953,-0.009807130760112737,0.0015233447610561958
59,traditional_global_no_proxy,traditional,traditional_global_no_proxy,763,2289,1.5967603273053632,2.486164828184508,0.012669287898645697,-0.8128109004691244,1.5500771199864765,1.6525963572177635,0.0,0.0,0.0
59,ml_cnn1d_proxy_all_root_proxies_shuffled,shuffled_target_control,traditional_global_no_proxy,763,2289,1.5993845845169368,2.48810226130882,0.01310615989515072,-0.8125517093247907,1.549831478537554,1.6550041287964212,0.002624257211573555,0.0001279628820803847,0.00882812361848232
59,ml_hgb_all_root_proxies_shuffled,shuffled_target_control,traditional_global_no_proxy,763,2289,1.6059108950663767,2.496531259273646,0.01310615989515072,-0.7836650174698648,1.5409932058857714,1.662612616674645,0.009150567761013528,-0.02376012854238943,0.024986745424216552
59,ml_mlp_all_root_proxies_shuffled,shuffled_target_control,traditional_global_no_proxy,763,2289,1.6160122444652134,2.5016184300399398,0.01310615989515072,-0.8014133877586695,1.5657751219732274,1.6668209643507272,0.019251917159850196,0.002698633149224933,0.035398131906067484
59,traditional_proxy_dynamic_boundary,traditional_proxy,traditional_global_no_proxy,763,2289,1.6296983310156035,2.494925909547718,0.013543031891655745,-0.7403274882709927,1.570288616235174,1.6851881564360718,0.03293800371024025,0.021261513753268863,0.0468061271277132
59,traditional_proxy_all_root_proxies,traditional_proxy,traditional_global_no_proxy,763,2289,1.6296983323535654,2.4949259097880887,0.013543031891655745,-0.7403274869302718,1.5706166280001645,1.6821588870184798,0.03293800504820221,0.01864769955189599,0.04397710431960979
59,traditional_binned_no_proxy,traditional,traditional_global_no_proxy,763,2289,3.6379339992367563,4.005458946469902,0.1581476627348187,-2.9292249644287787,3.4860245293369485,3.7696612647792413,2.041173671931393,1.880943347398742,2.1692998208174616
60,ml_mlp_all_root_proxies,ml,traditional_global_no_proxy,808,2424,1.1655629910087186,2.133603558343491,0.010726072607260726,-0.8707249697486736,1.1099714264663694,1.223809995791013,-0.3063340364889262,-0.3665993856033436,-0.24216252044895775
60,ml_gated_proxy_all_root_proxies,ml,traditional_global_no_proxy,808,2424,1.2264603698567833,2.163643346681205,0.010726072607260726,-0.8805840327132691,1.1517092065329062,1.296635866260668,-0.24543665764086153,-0.311488472588454,-0.16239844742742332
60,ml_hgb_all_root_proxies,ml,traditional_global_no_proxy,808,2424,1.3265402325163471,2.212948626320826,0.010313531353135313,-0.9845658052430605,1.2519559906314346,1.4029691428621311,-0.14535679498129772,-0.22538762762883913,-0.06165560908726973
60,traditional_proxy_all_root_proxies,traditional_proxy,traditional_global_no_proxy,808,2424,1.3526525944731724,2.2095000976670494,0.010726072607260726,-0.737801118018412,1.3021767117174263,1.3990910686051268,-0.11924443302447241,-0.1388690452149874,-0.09370998993770244
