method,family,n_runs,mean_sigma68_ns,ci_low,ci_high,delta_vs_traditional_ns,delta_ci_low,delta_ci_high,mean_full_rms_ns,mean_tail_frac_abs_gt5ns,mean_bias_vs_log_amp_slope_ns
ml_gated_proxy_all_root_proxies,ml,7,1.2874021416424857,1.219717500318644,1.3494823004108514,-0.36776189833642536,-0.5472477676448408,-0.2349001513259706,2.2603460089768466,0.013206244643817271,-0.12904094373512515
ml_cnn1d_proxy_all_root_proxies,ml,7,1.3386414753255598,1.2592703486874446,1.4136897954278425,-0.3165225646533508,-0.53186411522708,-0.15678486480045573,2.3120025505440935,0.013881782002441683,-0.13059303898772762
ml_hgb_all_root_proxies,ml,7,1.3642099479179994,1.2880786158648658,1.4625260722708644,-0.2909540920609112,-0.502833949612723,-0.10193856091201225,2.291440429280461,0.013915283470249751,-0.18922223011141995
ml_ridge_all_root_proxies,ml,7,1.3711393686917752,1.3277108191528035,1.4249169247802727,-0.2840246712871358,-0.5097458873298805,-0.1357884383565422,2.316299750467014,0.013922744693897298,-0.12924729729371384
ml_mlp_all_root_proxies,ml,7,1.448565434871289,1.2558227428005522,1.7233487626728827,-0.20659860510762149,-0.526871452887156,0.14976729463667954,2.350907541796723,0.014690614850382783,-0.14194334442827342
ml_mlp_all_root_proxies_shuffled,shuffled_target_control,7,1.6275694044862388,1.5179943859927048,1.781260975463752,-0.027594635492672066,-0.07252742251953853,0.00776029760625521,2.447672379280093,0.014743700106842486,-0.12729134083530436
ml_gated_proxy_all_root_proxies_shuffled,shuffled_target_control,7,1.6384820698360762,1.520676586270277,1.793014222088936,-0.016681970142834616,-0.05038752382739117,0.019532069890960485,2.460817671420061,0.014866103859946581,-0.13113736553518038
ml_ridge_all_root_proxies_shuffled,shuffled_target_control,7,1.6409520891330902,1.530531402120186,1.8023198326008698,-0.014211950845820593,-0.0463925715416535,0.010028933559188356,2.4554736297432305,0.01493648300286568,-0.12924729843141317
traditional_global_no_proxy,traditional,7,1.6551640399789107,1.5302256419373894,1.8471011243982511,0.0,0.0,0.0,2.464448383679764,0.015293753456599156,-0.12924729913369667
ml_cnn1d_proxy_all_root_proxies_shuffled,shuffled_target_control,7,1.656287562559698,1.5307468575088783,1.8326852761415535,0.001123522580787295,3.572972668748819e-05,0.0023149426611724444,2.465637227300308,0.01535616374181416,-0.12938687613613645
ml_hgb_all_root_proxies_shuffled,shuffled_target_control,7,1.664607949679997,1.5343355663754166,1.8694638321790726,0.009443909701086581,-0.001656072943740832,0.021814675922323414,2.476735557974411,0.015823480325747007,-0.12597452201823625
traditional_binned_no_proxy,traditional,7,3.1484944174882767,2.7981865557221326,3.4781330923368503,1.4933303775093658,1.1194497662734781,1.867453446636822,3.6679000023978188,0.12211622135297551,-1.855837349392564
traditional_proxy_baseline_rate,traditional_proxy,7,5.096280708419882,1.5602463918554488,11.971291206500585,3.4411166684409715,-0.004970302994348292,10.330005536256357,5.474180880087886,0.06427644001121624,-0.13495683741607487
traditional_proxy_dynamic_boundary,traditional_proxy,7,5.1807940295117865,1.6786171794300166,11.45377599993228,3.5256299895328764,-0.015540078510130069,9.803580524181342,5.483655808563663,0.11196096212119455,-0.06613602886845349
traditional_proxy_all_root_proxies,traditional_proxy,7,5.180794244997748,1.6578697648739982,11.332075085117822,3.5256302050188357,-0.0005479110562110241,9.759490555861294,5.483656004943205,0.11196096212119455,-0.06613602722627401
