quantity,heldout_run,reproduced_sigma68_ns,reference_sigma68_ns,delta_ns,pass
S02b global-template timewalk,65,1.6354173420044433,1.635417339803972,2.200471360680467e-09,True
S02b binned-template timewalk,65,3.403701345862392,3.4037013456536833,2.0870860595323393e-10,True
