pool,method,run,n_pairs,robust_width_ns,full_rms_ns,gate_mode,cfd_fraction,amplitude_cut_adc
adc_cfd0.10_cut1000,constrained_monotone_timewalk,58,25,2.0456780836450124,1.979033982903886,fixed_adc,0.1,1000.0
adc_cfd0.10_cut1000,constrained_monotone_timewalk,59,11,1.5174306708703944,1.4607965439147341,fixed_adc,0.1,1000.0
adc_cfd0.10_cut1000,constrained_monotone_timewalk,60,11,1.3451289039765597,1.3354315728717696,fixed_adc,0.1,1000.0
adc_cfd0.10_cut1000,constrained_monotone_timewalk,61,18,1.4995958339506517,2.3266797185875885,fixed_adc,0.1,1000.0
adc_cfd0.10_cut1000,constrained_monotone_timewalk,62,7,2.1789195642227943,2.3971254114251934,fixed_adc,0.1,1000.0
adc_cfd0.10_cut1000,constrained_monotone_timewalk,63,28,2.0358607743149797,1.7799057154463875,fixed_adc,0.1,1000.0
adc_cfd0.10_cut1000,constrained_monotone_timewalk,65,27,1.3376823749362445,1.3541650659160962,fixed_adc,0.1,1000.0
adc_cfd0.10_cut1000,ridge,58,25,2.008349244844308,2.732097817774507,fixed_adc,0.1,1000.0
adc_cfd0.10_cut1000,ridge,59,11,3.356242976545709,2.8615484516267466,fixed_adc,0.1,1000.0
adc_cfd0.10_cut1000,ridge,60,11,0.9840259110252534,0.98164589502481,fixed_adc,0.1,1000.0
adc_cfd0.10_cut1000,ridge,61,18,2.2915651680771845,2.590980536100133,fixed_adc,0.1,1000.0
adc_cfd0.10_cut1000,ridge,62,7,3.438371727014301,4.486441016314111,fixed_adc,0.1,1000.0
adc_cfd0.10_cut1000,ridge,63,28,1.828256069146002,1.8281068884475582,fixed_adc,0.1,1000.0
adc_cfd0.10_cut1000,ridge,65,27,1.7244129126843597,2.219333664574532,fixed_adc,0.1,1000.0
adc_cfd0.10_cut1000,gradient_boosted_trees,58,25,0.7174534518459021,1.372989613566872,fixed_adc,0.1,1000.0
adc_cfd0.10_cut1000,gradient_boosted_trees,59,11,1.4449336685880656,1.9434619714473733,fixed_adc,0.1,1000.0
