pool,comparison,ci_low_ns,ci_high_ns,p_value,gate_mode,cfd_fraction,amplitude_cut_adc
adc_cfd0.10_cut1000,ridge_minus_constrained_monotone_timewalk,-0.19773767375493354,0.9092719592488437,0.225,fixed_adc,0.1,1000.0
adc_cfd0.10_cut1000,gradient_boosted_trees_minus_constrained_monotone_timewalk,-1.0954470844054205,0.28568315804391464,0.28,fixed_adc,0.1,1000.0
adc_cfd0.10_cut1000,mlp_minus_constrained_monotone_timewalk,-1.1425117855926177,-0.5238244908864684,0.0,fixed_adc,0.1,1000.0
adc_cfd0.10_cut1000,cnn_1d_minus_constrained_monotone_timewalk,0.12842726069022742,1.7629945866571741,0.0,fixed_adc,0.1,1000.0
adc_cfd0.10_cut1000,gated_residual_cnn_new_minus_constrained_monotone_timewalk,-0.18773254338962025,1.454002666384008,0.755,fixed_adc,0.1,1000.0
adc_cfd0.20_cut1000,ridge_minus_constrained_monotone_timewalk,-0.2768796397083406,0.9095862269639097,0.8,fixed_adc,0.2,1000.0
adc_cfd0.20_cut1000,gradient_boosted_trees_minus_constrained_monotone_timewalk,-0.9546280275757288,0.007589085188097052,0.055,fixed_adc,0.2,1000.0
adc_cfd0.20_cut1000,mlp_minus_constrained_monotone_timewalk,-1.0883007643769782,-0.26255864882688174,0.005,fixed_adc,0.2,1000.0
adc_cfd0.20_cut1000,cnn_1d_minus_constrained_monotone_timewalk,0.18659395560043754,1.5633642633689007,0.025,fixed_adc,0.2,1000.0
adc_cfd0.20_cut1000,gated_residual_cnn_new_minus_constrained_monotone_timewalk,-0.848074286172569,0.8857534409872928,0.615,fixed_adc,0.2,1000.0
adc_cfd0.40_cut1000,ridge_minus_constrained_monotone_timewalk,-0.867952194514152,-0.42379549049778786,0.0,fixed_adc,0.4,1000.0
adc_cfd0.40_cut1000,gradient_boosted_trees_minus_constrained_monotone_timewalk,-0.984543618489724,-0.21106501457619586,0.02,fixed_adc,0.4,1000.0
adc_cfd0.40_cut1000,mlp_minus_constrained_monotone_timewalk,-1.0813015288750214,-0.3530059802150126,0.0,fixed_adc,0.4,1000.0
adc_cfd0.40_cut1000,cnn_1d_minus_constrained_monotone_timewalk,-0.18057954985643798,0.12157508678765529,0.67,fixed_adc,0.4,1000.0
adc_cfd0.40_cut1000,gated_residual_cnn_new_minus_constrained_monotone_timewalk,-1.117571151569854,-0.777987189638258,0.0,fixed_adc,0.4,1000.0
eff_cfd0.10_cut1000,ridge_minus_constrained_monotone_timewalk,-14.50655676145373,-11.41125832321709,0.0,fixed_efficiency,0.1,1000.0
eff_cfd0.10_cut1000,gradient_boosted_trees_minus_constrained_monotone_timewalk,-26.127127568335016,-22.767233731796342,0.0,fixed_efficiency,0.1,1000.0
eff_cfd0.10_cut1000,mlp_minus_constrained_monotone_timewalk,-21.064569784099117,-17.233972702701337,0.0,fixed_efficiency,0.1,1000.0
eff_cfd0.10_cut1000,cnn_1d_minus_constrained_monotone_timewalk,-8.196964257266028,-4.054431479983897,0.0,fixed_efficiency,0.1,1000.0
eff_cfd0.10_cut1000,gated_residual_cnn_new_minus_constrained_monotone_timewalk,-18.555638929639258,-14.679904838667824,0.0,fixed_efficiency,0.1,1000.0
eff_cfd0.20_cut1000,ridge_minus_constrained_monotone_timewalk,-24.688273523425863,-20.13260855521358,0.0,fixed_efficiency,0.2,1000.0
eff_cfd0.20_cut1000,gradient_boosted_trees_minus_constrained_monotone_timewalk,-34.0154580235528,-28.414731713667056,0.0,fixed_efficiency,0.2,1000.0
eff_cfd0.20_cut1000,mlp_minus_constrained_monotone_timewalk,-30.93812531366809,-26.07943071254132,0.0,fixed_efficiency,0.2,1000.0
eff_cfd0.20_cut1000,cnn_1d_minus_constrained_monotone_timewalk,-17.160614571184333,-13.106795167663465,0.0,fixed_efficiency,0.2,1000.0
eff_cfd0.20_cut1000,gated_residual_cnn_new_minus_constrained_monotone_timewalk,-28.928715174153655,-23.33261017609355,0.0,fixed_efficiency,0.2,1000.0
eff_cfd0.40_cut1000,ridge_minus_constrained_monotone_timewalk,-29.607384246049804,-25.039470214853562,0.0,fixed_efficiency,0.4,1000.0
eff_cfd0.40_cut1000,gradient_boosted_trees_minus_constrained_monotone_timewalk,-36.01496468545016,-31.240469287044924,0.0,fixed_efficiency,0.4,1000.0
eff_cfd0.40_cut1000,mlp_minus_constrained_monotone_timewalk,-34.410826543087055,-30.047534537780038,0.0,fixed_efficiency,0.4,1000.0
eff_cfd0.40_cut1000,cnn_1d_minus_constrained_monotone_timewalk,-25.27274692736871,-19.928342788670832,0.0,fixed_efficiency,0.4,1000.0
eff_cfd0.40_cut1000,gated_residual_cnn_new_minus_constrained_monotone_timewalk,-30.71148478454582,-26.28118909879633,0.0,fixed_efficiency,0.4,1000.0
