run,matched_events,b2_selected_denominator,a_any_supported,a_pair_supported,b2_and_downstream
31,16383,11294,229,80,237
32,16383,11564,207,72,218
33,16383,13656,8,1,161
34,16383,13830,16,5,165
35,16288,6130,221,67,217
36,16268,7216,295,97,251
37,16383,7036,292,104,280
39,16377,7238,324,120,333
40,16350,6854,265,83,321
41,16381,7197,295,113,376
42,16383,8114,279,92,318
44,1376,602,30,11,24
45,16383,7597,302,91,316
46,0,0,0,0,0
47,5558,2653,92,30,50
48,16352,6294,260,98,259
49,16319,7235,288,103,301
50,16383,12260,61,15,255
51,16160,11154,25,2,235
52,2499,1743,6,2,39
53,16383,12830,17,3,230
54,16383,12890,18,1,241
55,16268,11113,27,2,255
56,16383,12118,68,20,268
57,16290,6619,276,110,321
58,16382,7427,34,6,267
59,16383,5175,9,2,1789
60,16383,4665,10,1,1784
61,16383,4749,6,0,1998
62,16383,4863,8,1,1824
63,16381,6401,39,7,1135
64,16383,6239,35,2,727
65,16381,4874,13,1,345
