axis,stratum,n,a_support_count,a_support_fraction,a_support_exact95_low,a_support_exact95_high,winner_mean_support_score,winner_accept_fraction
sample,sample_iii_analysis,105108,1470,0.013985614796209613,0.013284367300556035,0.014713865339684294,0.015500746200003548,0.042480115690527835
sample,sample_iii_calibration,100129,2431,0.024278680502152223,0.02333415507209489,0.02525089835918634,0.02200461785037109,0.03426579712171299
sample,sample_iv_analysis,38154,119,0.003118939036536143,0.0025844405291988288,0.0037311303594929407,0.019825799548396767,0.01735073648896577
sample,sample_iv_calibration,6239,35,0.005609873377143773,0.003910501190227892,0.007793419312077877,0.003895851112987349,0.0012822567719185766
current_stratum,high_current_proxy,70018,2848,0.04067525493444543,0.039224017431743,0.04216471081499105,0.03883755098770828,0.09937444657088178
current_stratum,low_current_proxy,99799,157,0.0015731620557320213,0.0013368596573401649,0.0018391464851295904,0.009669955018710302,0.007905890840589585
current_stratum,mid_current_proxy,79813,1050,0.013155751569293222,0.012376736473334813,0.013970445206661157,0.01163861898968352,0.010261486224048714
b_depth_idx,0,234090,3889,0.016613268401042335,0.01609934256813676,0.017139212713826204,0.018767041740972327,0.034328677004570894
b_depth_idx,1,8522,102,0.011969021356489086,0.009769555310586358,0.014510935079776879,0.014045276554193053,0.028045059845106784
b_depth_idx,2,4351,49,0.011261778901401976,0.008342818502538188,0.014861628732852355,0.014901376118679423,0.04688577338542864
b_depth_idx,3,2667,15,0.00562429696287964,0.003151191090270124,0.009259481598579238,0.013343100098169424,0.03262092238470191
b_downstream_mult,0,234090,3889,0.016613268401042335,0.01609934256813676,0.017139212713826204,0.018767041740972327,0.034328677004570894
b_downstream_mult,1,9068,109,0.012020291133656815,0.009880015742035802,0.01448203258899612,0.014339413862921657,0.030436700485222762
b_downstream_mult,2,4157,44,0.010584556170315132,0.007700994644199564,0.014183486092783222,0.014370880163878968,0.04330045706038008
b_downstream_mult,3,2315,13,0.005615550755939525,0.002993330891776243,0.009583619166825076,0.013108522029722154,0.031965442764578834
b2_saturated,0,203168,3468,0.017069617262561034,0.016510813857842404,0.01764225970273166,0.0192793045971891,0.03394727516144275
b2_saturated,1,46462,587,0.012633980457147777,0.01163819308314178,0.013691334743140434,0.014987620571467528,0.03592182859110671
downstream_dropout,0,15540,166,0.010682110682110682,0.009125755983142442,0.01242547660556759,0.014164464752189526,0.0341055341055341
downstream_dropout,1,234090,3889,0.016613268401042335,0.01609934256813676,0.017139212713826204,0.018767041740972327,0.034328677004570894
