method,comparison,delta_proxy_rmse_log,delta_support_coverage,delta_abstention_rate,delta_false_support_rate,delta_spearman
ridge,ridge_minus_traditional_exact_binomial,-0.04274275045940046,0.8826140567200986,-0.8801546288506991,0.8801140181207371,-0.0056533291722324665
gradient_boosted_trees,gradient_boosted_trees_minus_traditional_exact_binomial,-0.03453784575820473,-0.0246609124537608,0.01045547410167047,-0.010220910108928026,-0.0368896373192286
mlp,mlp_minus_traditional_exact_binomial,3.1715264915940056,0.10604192355117138,-0.03820854865200496,0.03708846584546473,-0.08266176508744881
cnn_1d,cnn_1d_minus_traditional_exact_binomial,0.17809967436978136,0.8969173859432799,-0.9552297400152225,0.9561926091825308,-0.025267130141710156
support_gated_hybrid_cnn,support_gated_hybrid_cnn_minus_traditional_exact_binomial,0.028384184156262315,0.8969173859432799,-0.9552097103713496,0.9561722488038278,-0.0405015076543391
